wavelength,transmission
200,54.1209
201,88.3799
202,72.107
203,77.6874
204,75.8874
205,90.8774
206,24.5961
207,0.1961
208,0.0353
209,0.0006
210,0.0005
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0.0012
227,0.1169
228,0.025
229,2.424
230,0.8548
231,0.6981
232,1.523
233,6.316
234,12.481
235,1.0585
236,11.6964
237,20.6805
238,1.4735
239,3.6473
240,31.8399
241,3.052
242,2.0351
243,84.5434
244,10.3898
245,1.6376
246,29.1016
247,52.0348
248,1.4499
249,6.6197
250,16.842
251,2.1342
252,0.4287
253,0.0289
254,0.0095
255,0.0005
256,0.0002
257,0.0004
258,0.0001
259,0
260,0
261,0.0001
262,0
263,0
264,0
265,0.0001
266,0
267,0.0001
268,0.0002
269,0.0002
270,0.0002
271,0.0005
272,0.0032
273,0.0028
274,0.0051
275,0.0348
276,0.2939
277,0.6422
278,14.296
279,47.8525
280,60.0128
281,61.6532
282,73.7961
283,63.0683
284,93.3515
285,80.4885
286,86.4117
287,73.1593
288,90.697
289,90.2414
290,88.0794
291,83.2176
292,83.5852
293,92.8914
294,87.8801
295,91.1219
296,86.0278
297,87.4808
298,93.4588
299,88.2924
300,93.0259
301,89.0669
302,87.0493
303,95.3382
304,89.1701
305,89.826
306,92.437
307,85.3943
308,92.0902
309,93.2214
310,84.1281
311,90.8106
312,91.4713
313,83.8715
314,91.6918
315,94.3332
316,87.4399
317,93.0618
318,93.274
319,84.2961
320,87.1997
321,94.734
322,96.0525
323,91.7306
324,76.6809
325,68.021
326,75.7035
327,81.6886
328,71.8566
329,72.9169
330,89.7613
331,94.3999
332,88.1072
333,92.4122
334,89.8154
335,77.3197
336,77.6386
337,90.5801
338,95.7259
339,92.9724
340,95.4614
341,93.0808
342,84.6749
343,85.0507
344,93.447
345,95.3267
346,92.2725
347,94.4781
348,95.0179
349,88.4863
350,86.2085
351,93.4828
352,95.148
353,91.3706
354,94.521
355,94.5864
356,88.951
357,90.6831
358,95.9043
359,93.9441
360,92.6274
361,95.6569
362,94.3518
363,91.2342
364,93.6064
365,96.0862
366,93.6049
367,92.9103
368,95.376
369,94.6136
370,92.2159
371,93.7655
372,96.0893
373,94.2524
374,92.3185
375,93.6905
376,94.746
377,93.4986
378,93.5609
379,95.5345
380,95.5846
381,93.5072
382,92.7194
383,93.2563
384,93.1269
385,93.3858
386,95.2544
387,95.3457
388,91.1292
389,87.4317
390,89.08
391,94.0733
392,95.2796
393,91.3976
394,88.9643
395,91.2133
396,95.0192
397,95.806
398,94.261
399,93.7952
400,94.6859
401,94.8333
402,93.8662
403,93.5428
404,94.5246
405,95.4176
406,95.0527
407,94.1455
408,93.7925
409,93.8675
410,93.7212
411,93.5087
412,93.8669
413,94.689
414,95.1178
415,94.7869
416,94.3159
417,94.2638
418,94.3212
419,93.9437
420,93.3727
421,93.408
422,94.2793
423,95.2431
424,95.4679
425,95.0823
426,94.883
427,95.1827
428,95.4425
429,95.0916
430,94.4005
431,94.1738
432,94.745
433,95.5915
434,95.9608
435,95.7542
436,95.5342
437,95.6948
438,95.9505
439,95.7419
440,95.0261
441,94.4109
442,94.4646
443,95.1027
444,95.6986
445,95.7798
446,95.5298
447,95.4755
448,95.7917
449,96.0681
450,95.7897
451,95.0007
452,94.3316
453,94.3566
454,95.0218
455,95.6818
456,95.7181
457,95.1611
458,94.6104
459,94.5635
460,94.9121
461,95.0622
462,94.5586
463,93.608
464,92.9129
465,93.0309
466,93.9077
467,94.9148
468,95.354
469,95.0516
470,94.4609
471,94.1774
472,94.4129
473,94.8744
474,95.0703
475,94.7724
476,94.2167
477,93.864
478,93.9987
479,94.5314
480,95.1094
481,95.4143
482,95.4004
483,95.2651
484,95.2202
485,95.3029
486,95.386
487,95.3426
488,95.1934
489,95.0931
490,95.1786
491,95.4346
492,95.6984
493,95.7994
494,95.7094
495,95.5567
496,95.4925
497,95.5396
498,95.5655
499,95.411
500,95.0665
501,94.7253
502,94.6458
503,94.9357
504,95.428
505,95.7572
506,95.6218
507,95.0415
508,94.3717
509,94.0443
510,94.2513
511,94.7953
512,95.2009
513,95.0552
514,94.3551
515,93.5451
516,93.1972
517,93.6165
518,94.6289
519,95.6494
520,96.0454
521,95.6049
522,94.7122
523,94.042
524,94.0704
525,94.7805
526,95.6878
527,96.1687
528,95.9269
529,95.2153
530,94.5912
531,94.4565
532,94.7792
533,95.169
534,95.2427
535,94.9928
536,94.7947
537,95.0184
538,95.6146
539,96.0711
540,95.8815
541,95.1598
542,94.6481
543,94.9431
544,95.6816
545,95.7161
546,94.8018
547,94.7718
548,95.8288
549,84.8634
550,49.5219
551,20.9843
552,8.8282
553,4.1451
554,2.1798
555,1.2471
556,0.743
557,0.4386
558,0.2473
559,0.133
560,0.0702
561,0.0376
562,0.021
563,0.0123
564,0.0076
565,0.005
566,0.0035
567,0.0026
568,0.002
569,0.0016
570,0.0014
571,0.0012
572,0.001
573,0.0008
574,0.0006
575,0.0004
576,0.0003
577,0.0002
578,0.0001
579,0.0001
580,0.0001
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0.0001
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0.0003
701,0.0003
702,0.0001
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
