wavelength,transmission
19.999,94.52084
19.991,94.5444
19.980,94.57534
19.969,94.60575
19.961,94.62822
19.950,94.65771
19.939,94.68669
19.931,94.70808
19.921,94.73616
19.910,94.76373
19.899,94.7908
19.891,94.81078
19.880,94.83698
19.869,94.86268
19.861,94.88164
19.850,94.9065
19.839,94.93088
19.831,94.94885
19.820,94.97239
19.810,94.99546
19.799,95.01807
19.791,95.03473
19.780,95.05653
19.769,95.07788
19.761,95.09359
19.750,95.11415
19.739,95.13427
19.731,95.14907
19.720,95.16842
19.710,95.18733
19.701,95.20124
19.691,95.2194
19.680,95.23714
19.669,95.25447
19.661,95.26718
19.650,95.28378
19.639,95.29997
19.631,95.31184
19.620,95.32732
19.610,95.3424
19.601,95.35345
19.591,95.36783
19.580,95.38183
19.569,95.39544
19.561,95.4054
19.550,95.41835
19.539,95.43092
19.531,95.4401
19.520,95.45202
19.509,95.46357
19.501,95.47199
19.490,95.48291
19.480,95.49347
19.471,95.50116
19.461,95.5111
19.450,95.5207
19.439,95.52995
19.431,95.53666
19.420,95.54532
19.409,95.55363
19.401,95.55966
19.390,95.5674
19.379,95.57481
19.371,95.58016
19.360,95.58701
19.350,95.59354
19.341,95.59823
19.331,95.60422
19.320,95.60989
19.312,95.61395
19.301,95.61909
19.290,95.62393
19.279,95.62847
19.271,95.63169
19.260,95.63572
19.249,95.63946
19.241,95.64208
19.230,95.64533
19.220,95.64829
19.211,95.65033
19.201,95.65281
19.190,95.65502
19.182,95.6565
19.171,95.65824
19.160,95.65972
19.149,95.66093
19.141,95.66167
19.130,95.66244
19.119,95.66295
19.111,95.66317
19.100,95.66324
19.090,95.66307
19.081,95.66278
19.071,95.66219
19.060,95.66136
19.052,95.66058
19.041,95.65934
19.030,95.65787
19.022,95.65662
19.011,95.65475
19.000,95.65266
18.989,95.65035
18.981,95.64847
18.970,95.64578
18.959,95.64288
18.951,95.64057
18.940,95.6373
18.930,95.63383
18.921,95.63109
18.911,95.62727
18.900,95.62324
18.892,95.62009
18.881,95.61573
18.870,95.61117
18.862,95.60763
18.851,95.60274
18.840,95.59767
18.832,95.59375
18.821,95.58836
18.810,95.58279
18.799,95.57705
18.791,95.57263
18.780,95.56659
18.770,95.56038
18.761,95.55561
18.751,95.54911
18.740,95.54244
18.732,95.53734
18.721,95.5304
18.710,95.5233
18.702,95.51788
18.691,95.51051
18.680,95.50299
18.672,95.49726
18.661,95.48949
18.650,95.48157
18.642,95.47554
18.631,95.46738
18.620,95.45908
18.612,95.45277
18.601,95.44423
18.590,95.43556
18.580,95.42677
18.571,95.42009
18.561,95.41107
