wavelength,transmission
200.08,6.207
201.02,6.432
201.6,6.571
204.14,7.176
212.06,9.191
216.87,10.696
217.1,10.777
224.5,15.381
226.7,18.158
230.6,19.88
231.49,20.021
238.28,20.218
241.35,20.015
247.41,19.132
249.77,18.513
256.04,15.097
256.59,14.636
262.31,11.09
265.77,10.14
266.41,10.014
268.83,9.624
273.88,9.111
282.58,8.836
285.66,8.89
288.7,9.018
294.56,9.48
297.84,9.849
308.52,11.499
313.13,12.395
313.57,12.483
321.49,14.232
330.41,16.291
331.46,16.52
334.46,17.153
342.08,18.715
344.13,19.146
349.71,20.438
349.78,20.457
355.21,22.206
357.34,23.176
360.38,24.902
360.47,24.956
361.47,25.592
366.48,29.068
370.62,32.304
371.05,32.659
371.14,32.735
374.09,35.291
378.66,39.606
380.28,41.262
380.48,41.47
381.71,42.803
384.86,45.948
389.33,49.291
390.95,50.634
394.91,54.671
395.53,55.132
398.49,57.136
409.25,63.379
410.78,64.157
412.23,64.85
419.94,67.878
424.26,69.409
432.15,72.377
439.9,75.676
442.83,76.876
447.37,78.553
453.37,80.616
455.04,81.188
465.17,84.592
468.78,85.687
480.32,88.917
485.58,90.562
488.64,91.696
493.32,93.333
500.85,94.874
523.78,96.436
523.85,96.439
534.46,96.752
539.51,96.866
558.93,97.123
568.93,97.144
572.66,97.132
595.6,96.807
600.25,96.685
609.33,96.387
624.7,95.711
632.27,95.33
644.48,94.705
648.38,94.512
667.41,93.562
679.63,92.835
699.96,91.191
710.2,90.216
716.3,89.621
738.93,87.257
739.24,87.221
751.44,85.717
765.23,83.664
769.88,82.833
785.1,79.731
789.65,78.818
795.11,77.748
804.98,75.798
823.04,71.75
823.33,71.678
824.8,71.303
838.62,67.37
852.38,63.061
852.41,63.052
853.84,62.625
864.62,59.315
876.77,54.85
876.86,54.819
879.38,53.955
892.15,49.761
893.59,49.265
904.39,45.265
907.8,44.011
908.88,43.625
916.62,40.957
921.12,39.483
930.39,36.461
934.89,34.942
936.64,34.334
942.63,32.152
950.27,29.155
956.37,27.22
959.37,26.299
964.04,24.847
978.5,20.227
979.33,19.976
980.94,19.503
994.63,15.668
997.63,14.771
999.76,14.128
1009.92,11.36
1019.05,9.449
1029.79,7.427
1031.61,7.08
1040.47,5.426
1047.71,4.324
1052.71,3.689
1062.88,2.568
1066.47,2.212
1075.15,1.436
1086.35,0.629
1098.98,-0.066
1101.63,-0.202
