wavelength ,transmission 
350,0.093242437
351,0.010738515
352,0.236258242
353,-0.128715053
354,0.06493059
355,-0.142611647
356,0.041859768
357,0.153903198
358,0.084078707
359,-0.038636703
360,-0.251455931
361,0.088366252
362,0.071905077
363,-0.018845674
364,-0.170835996
365,0.134819577
366,-0.00446869
367,0.046684309
368,-0.055934636
369,0.025593052
370,0.131578449
371,-0.043895318
372,0.037358215
373,0.041593645
374,0.045577223
375,0.017064486
376,-0.112368081
377,0.16150246
378,0.276717223
379,0.117251635
380,0.277964436
381,0.448496074
382,0.930680046
383,1.739566267
384,3.097388953
385,5.218482943
386,8.685962945
387,13.99122703
388,20.96323526
389,28.73219895
390,37.16057205
391,45.97609663
392,54.6952858
393,63.68825722
394,72.40311241
395,79.95513916
396,86.1904068
397,90.45626831
398,92.96682358
399,94.18871308
400,94.80999375
401,95.16856003
402,95.39988709
403,95.49745942
404,95.73584747
405,95.89219284
406,96.15336609
407,96.09366227
408,96.14010239
409,96.26862336
410,96.32335663
411,96.25781632
412,96.46924973
413,96.55329895
414,96.68400956
415,96.5664177
416,96.60972595
417,96.54995346
418,96.54229737
419,96.49819946
420,96.5352974
421,96.57920456
422,96.70330048
423,96.89880371
424,97.07721329
425,97.20033646
426,97.25912094
427,97.17827225
428,97.02654267
429,96.96440506
430,96.84270478
431,96.74287796
432,96.7611084
433,96.75327301
434,96.74552918
435,96.74194718
436,96.73834992
437,96.78516388
438,96.8320961
439,96.99592209
440,96.99473954
441,96.88277436
442,96.68809891
443,96.48604203
444,96.39101791
445,96.39430237
446,96.48426819
447,96.63380814
448,96.75364304
449,96.75243759
450,96.79783631
451,96.72097779
452,96.68929673
453,96.70495224
454,96.70594406
455,96.81180954
456,96.86191178
457,96.92434311
458,97.00799942
459,97.04180527
460,97.09038163
461,97.18316651
462,97.22748948
463,97.28996277
464,97.23598099
465,97.25008393
466,97.17185593
467,97.12517166
468,97.06727982
469,96.99305725
470,96.94533539
471,96.86263657
472,96.8258133
473,96.89760208
474,96.94175721
475,97.07710648
476,97.17136002
477,97.24581146
478,97.25444412
479,97.2122612
480,97.17409516
481,97.15757752
482,97.13512039
483,97.07835007
484,97.00291062
485,96.94866944
486,96.89458466
487,96.86553574
488,96.84299851
489,96.78090668
490,96.74697113
491,96.71022034
492,96.71229935
493,96.70618057
494,96.7538147
495,96.78507996
496,96.81754685
497,96.89242554
498,96.94378662
499,96.99031448
500,97.08748627
501,97.14969254
502,97.10940552
503,97.00766755
504,96.91713715
505,96.85004044
506,96.80329132
507,96.83363724
508,96.90901947
509,96.99796677
510,97.00480271
511,96.98406983
512,96.92903519
513,96.88525391
514,96.84951782
515,96.86208344
516,96.83596039
517,96.82898712
518,96.83454514
519,96.81162262
520,96.75946808
521,96.69615555
522,96.64440155
523,96.698555
524,96.76869202
525,96.82997895
526,96.88019181
527,96.96403122
528,96.97491074
529,97.02309037
530,97.04237747
531,97.1150322
532,97.17042923
533,97.3006134
534,97.37591172
535,97.4267273
536,97.44577027
537,97.42337036
538,97.41197205
539,97.35964966
540,97.32334137
541,97.26037598
542,97.23137284
543,97.21972657
544,97.16753006
545,97.11518097
546,97.05639649
547,96.9769783
548,96.96691132
549,96.93780899
550,96.96101761
551,96.95190811
552,96.99787903
553,97.03434754
554,97.04375839
555,97.13482667
556,97.17881775
557,97.25782395
558,97.35411072
559,97.44978333
560,97.50696182
561,97.50759125
562,97.49150467
563,97.40533447
564,97.32158661
565,97.21532059
566,97.14569092
567,97.12176896
568,97.11029053
569,97.16351319
570,97.16696167
571,97.14300919
572,97.09825897
573,97.02123642
574,96.96201706
