wavelength,transmission
2600,74.7545929
2599,74.74887848
2598,74.65599823
2597,74.49758911
2596,74.40583801
2595,74.37393951
2594,74.26391602
2593,74.17621613
2592,74.08255005
2591,73.97951508
2590,73.85359955
2589,73.66059113
2588,73.5931015
2587,73.48838043
2586,73.32102966
2585,73.19624329
2584,73.08158112
2583,72.94218445
2582,72.92237854
2581,72.82171631
2580,72.79450989
2579,72.67108154
2578,72.62158203
2577,72.60675049
2576,72.59393311
2575,72.40711212
2574,72.27219391
2573,72.36209106
2572,72.27645874
2571,72.21525574
2570,72.15232849
2569,72.05419159
2568,72.06086731
2567,71.95692444
2566,71.93067932
2565,71.70664978
2564,71.69384766
2563,71.69551086
2562,71.7067337
2561,71.59765625
2560,71.51075745
2559,71.58469391
2558,71.41344452
2557,71.34323883
2556,71.35297394
2555,71.27735901
2554,71.25026703
2553,71.18099213
2552,71.07907104
2551,70.9729538
2550,71.04681396
2549,70.96712494
2548,70.97920227
2547,70.91569519
2546,70.90779877
2545,70.79546356
2544,70.79904938
2543,70.64245605
2542,70.67938995
2541,70.5774231
2540,70.52858734
2539,70.4128952
2538,70.34079742
2537,70.18885803
2536,70.20496368
2535,69.98529053
2534,69.97756958
2533,69.7375412
2532,69.75602722
2531,69.51506042
2530,69.48116302
2529,69.31074524
2528,69.11840057
2527,68.99934387
2526,68.96452332
2525,68.72389221
2524,68.54760742
2523,68.51525116
2522,68.39464569
2521,68.17932892
2520,68.115242
2519,67.99809265
2518,67.89943695
2517,67.71214294
2516,67.62818909
2515,67.5368576
2514,67.35813904
2513,67.43320465
2512,67.39237213
2511,67.32038116
2510,67.33724213
2509,67.25154877
2508,67.27072906
2507,67.27742004
2506,67.28778839
2505,67.37944794
2504,67.3217926
2503,67.25985718
2502,67.42887878
2501,67.27218628
2500,67.38280487
2499,67.52687073
2498,67.50830078
2497,67.52047729
2496,67.49511719
2495,67.54288483
2494,67.59503937
2493,67.56391144
2492,67.6229248
2491,67.63707733
2490,67.64122772
2489,67.74890137
2488,67.62991333
2487,67.62659454
2486,67.74686432
2485,67.63336945
2484,67.6926651
2483,67.71810913
2482,67.64614868
2481,67.66119385
2480,67.51174927
2479,67.43997955
2478,67.45227814
2477,67.17017365
2476,67.15487671
2475,66.95846558
2474,66.81481934
2473,66.69966888
2472,66.37652588
2471,66.35929108
2470,66.09024048
2469,65.91689301
2468,65.71702576
2467,65.38793182
2466,65.37065125
2465,65.18264771
2464,65.08132935
2463,65.05869293
2462,64.90072632
2461,64.99297333
2460,65.05403137
2459,65.15623474
2458,65.30915833
2457,65.41387177
2456,65.6346283
2455,65.8507309
2454,66.17716217
2453,66.30909729
2452,66.4836731
2451,66.69854736
2450,66.99530792
2449,67.12223053
2448,67.42356873
2447,67.71963501
2446,67.88421631
2445,68.16872406
2444,68.29530334
2443,68.60268402
2442,68.75242615
2441,69.00038147
2440,69.06123352
2439,69.2077179
2438,69.47927856
2437,69.52311707
2436,69.59450531
2435,69.71411896
2434,69.81276703
2433,69.83831024
2432,69.91030121
2431,70.04937744
2430,69.98096466
2429,70.11257172
2428,70.0845871
2427,70.19592285
2426,70.20349884
2425,70.26258087
2424,70.18141174
2423,70.24175262
2422,70.23261261
2421,70.25788116
2420,70.13951111
2419,70.23687744
2418,70.06594849
2417,70.08565521
2416,70.09829712
2415,69.96925354
2414,69.97029114
2413,69.92644501
2412,69.81034851
2411,69.73370361
2410,69.65382385
2409,69.62515259
2408,69.44931793
2407,69.46168518
2406,69.36962128
2405,69.18733978
2404,69.30266571
2403,69.09529877
2402,69.13806915
2401,69.13618469
2400,69.18254852
2399,69.24974823
2398,69.20393372
2397,69.38898468
2396,69.25659943
2395,69.42064667
2394,69.44047546
2393,69.43213654
2392,69.52677155
2391,69.54272461
2390,69.64923859
2389,69.65027618
2388,69.68553925
2387,69.68177795
2386,69.79962158
2385,69.8571167
2384,69.88873291
2383,69.93768311
2382,70.00737
2381,70.0276413
2380,70.108284
2379,70.10419464
2378,70.18811035
2377,70.17168427
2376,70.09048462
2375,70.1075058
2374,70.02671051
2373,70.08649445
2372,70.00341034
2371,70.12827301
2370,70.16277313
2369,70.09316254
2368,70.01822662
2367,69.99395752
2366,69.99285126
2365,69.98802185
2364,70.05130768
2363,70.0453186
2362,70.10575104
2361,70.18003845
2360,70.11068726
2359,70.31147766
2358,70.20521545
2357,70.28354645
2356,70.3669281
2355,70.2826767
2354,70.22055054
2353,70.17357635
2352,70.30145264
2351,70.19387817
2350,70.39582825
2349,70.33486176
2348,70.28172302
2347,70.53805542
2346,70.40369415
2345,70.47052765
2344,70.53956604
2343,70.52103424
2342,70.63092804
2341,70.71724701
2340,70.71360016
2339,70.71703339
2338,70.7432785
2337,70.62071228
2336,70.70088196
2335,70.6145401
2334,70.54286194
2333,70.44772339
2332,70.32267761
2331,70.31321716
2330,70.23235321
2329,70.18569946
2328,70.14224243
2327,69.9623642
2326,69.74102783
2325,69.66401672
2324,69.44500732
2323,69.22840118
2322,69.10166931
2321,68.81530762
2320,68.69524384
2319,68.38238525
2318,68.16421509
2317,68.03646851
2316,67.8582077
2315,67.8263092
2314,67.83454895
2313,67.85538483
2312,67.89928436
2311,68.00734711
2310,68.08513641
2309,68.10611725
2308,68.24333954
2307,68.29885101
2306,68.28668976
2305,68.50097656
2304,68.53748322
2303,68.74312592
2302,68.65968323
2301,68.80722046
2300,68.85910797
2299,69.01976013
2298,69.21181488
2297,69.23326111
2296,69.41818237
2295,69.63652039
2294,69.84194183
2293,69.96529388
2292,70.18454742
2291,70.34767914
2290,70.68115234
2289,70.74076843
2288,70.95638275
2287,71.09416962
2286,71.26854706
2285,71.46507263
2284,71.77584839
2283,72.00079346
2282,72.12879181
2281,72.23616028
2280,72.54087067
2279,72.66350555
2278,72.78209686
2277,72.88419342
2276,73.10906982
2275,73.23330688
2274,73.33573914
2273,73.63805389
2272,73.79033661
2271,74.1504364
2270,74.35496521
2269,74.66895294
2268,74.95870972
2267,75.33938599
2266,75.65888977
2265,76.0370636
