# wavelength,transmission
2.000000000000000111e-01,3.299855498932264469e-22
2.001000125015627018e-01,5.607188952571708956e-19
2.002000250031253925e-01,8.512338016733508276e-19
2.003000375046881110e-01,1.079877903233543983e-18
2.004000500062508017e-01,1.250910179936075734e-18
2.005000625078134924e-01,1.368710304352915508e-18
2.006000750093761831e-01,1.437780331735464566e-18
2.007000875109388738e-01,1.462746173213267371e-18
2.008001000125015645e-01,1.448358844573633327e-18
2.009001125140642829e-01,1.399495483061115677e-18
2.010001250156269736e-01,1.321160124604829762e-18
2.011001375171896643e-01,1.218484233869370950e-18
2.012001500187523551e-01,1.096726979533179285e-18
2.013001625203150458e-01,9.612752472257755181e-19
2.014001750218777365e-01,8.176433826043506484e-19
2.015001875234404549e-01,6.714726571202925569e-19
2.016002000250031456e-01,5.285304491188845877e-19
2.017002125265658363e-01,3.947091777713841042e-19
2.018002250281285270e-01,2.760249182011987916e-19
2.019002375296912177e-01,1.786154303981039171e-19
2.020002500312539084e-01,1.087382439146449864e-19
2.021002625328165991e-01,7.113130746054459056e-20
2.022002750343793176e-01,6.408162124888484486e-20
2.023002875359420083e-01,8.419734245870794306e-20
2.024003000375046990e-01,1.280069312993963415e-19
2.025003125390673897e-01,1.919615256271013217e-19
2.026003250406300804e-01,2.724367659512991660e-19
2.027003375421927989e-01,3.657340507479584722e-19
2.028003500437554896e-01,4.680812022748160330e-19
2.029003625453181803e-01,5.756325232066408409e-19
2.030003750468808710e-01,6.844682244142997501e-19
2.031003875484435617e-01,7.915486438807036360e-19
2.032004000500062524e-01,8.975725078847106673e-19
2.033004125515689708e-01,1.004194769645210623e-18
2.034004250531316615e-01,1.113101980457964468e-18
2.035004375546943522e-01,1.226012875804868598e-18
2.036004500562570430e-01,1.344678816249584245e-18
2.037004625578197337e-01,1.470884078081346395e-18
2.038004750593824244e-01,1.606445988576059243e-18
2.039004875609451428e-01,1.753214900674012316e-18
2.040005000625078335e-01,1.913074001629660900e-18
2.041005125640705242e-01,1.843812443988957043e-14
2.042005250656332149e-01,2.004125105525953387e-14
2.043005375671959056e-01,2.164196008387400472e-14
2.044005500687585963e-01,2.317035190805123782e-14
2.045005625703212870e-01,2.455505038728469465e-14
2.046005750718840055e-01,2.572322647600875148e-14
2.047005875734466962e-01,2.660063146152732133e-14
2.048006000750093869e-01,2.711164011079178332e-14
2.049006125765720776e-01,2.717930400226859019e-14
2.050006250781347683e-01,2.672541531615224768e-14
2.051006375796974868e-01,2.570624259463264060e-14
2.052006500812601775e-01,2.421821515345051645e-14
2.053006625828228682e-01,2.239445198246916905e-14
2.054006750843855589e-01,2.037061510581841929e-14
2.055006875859482496e-01,1.828482745516226693e-14
2.056007000875109403e-01,1.627762745232330015e-14
2.057007125890736587e-01,1.449196145630723506e-14
2.058007250906363494e-01,1.307321521529650356e-14
2.059007375921990401e-01,1.216928546748578927e-14
2.060007500937617309e-01,1.193069283521307142e-14
2.061007625953244216e-01,1.245894450239263292e-14
2.062007750968871123e-01,1.365401796618313883e-14
2.063007875984498307e-01,1.536410562855270637e-14
2.064008001000125214e-01,1.743453617674372910e-14
2.065008126015752121e-01,1.970765880368707657e-14
2.066008251031379028e-01,2.202275452943225516e-14
2.067008376047005935e-01,2.421597551196911704e-14
