# wavelength,transmission
2.000000000000000111e-01,1.000000000000000048e-04
2.001000125015627018e-01,1.000000000000000048e-04
2.002000250031253925e-01,1.000000000000000048e-04
2.003000375046881110e-01,1.000000000000000048e-04
2.004000500062508017e-01,1.000000000000000048e-04
2.005000625078134924e-01,1.000000000000000048e-04
2.006000750093761831e-01,1.000000000000000048e-04
2.007000875109388738e-01,1.000000000000000048e-04
2.008001000125015645e-01,1.000000000000000048e-04
2.009001125140642829e-01,1.000000000000000048e-04
2.010001250156269736e-01,1.000000000000000048e-04
2.011001375171896643e-01,1.000000000000000048e-04
2.012001500187523551e-01,1.000000000000000048e-04
2.013001625203150458e-01,1.000000000000000048e-04
2.014001750218777365e-01,1.000000000000000048e-04
2.015001875234404549e-01,1.000000000000000048e-04
2.016002000250031456e-01,1.000000000000000048e-04
2.017002125265658363e-01,1.000000000000000048e-04
2.018002250281285270e-01,1.000000000000000048e-04
2.019002375296912177e-01,1.000000000000000048e-04
2.020002500312539084e-01,1.000000000000000048e-04
2.021002625328165991e-01,1.000000000000000048e-04
2.022002750343793176e-01,1.000000000000000048e-04
2.023002875359420083e-01,1.000000000000000048e-04
2.024003000375046990e-01,1.000000000000000048e-04
2.025003125390673897e-01,1.000000000000000048e-04
2.026003250406300804e-01,1.000000000000000048e-04
2.027003375421927989e-01,1.000000000000000048e-04
2.028003500437554896e-01,1.000000000000000048e-04
2.029003625453181803e-01,1.000000000000000048e-04
2.030003750468808710e-01,1.000000000000000048e-04
2.031003875484435617e-01,1.000000000000000048e-04
2.032004000500062524e-01,1.000000000000000048e-04
2.033004125515689708e-01,1.000000000000000048e-04
2.034004250531316615e-01,1.000000000000000048e-04
2.035004375546943522e-01,1.000000000000000048e-04
2.036004500562570430e-01,1.000000000000000048e-04
2.037004625578197337e-01,1.000000000000000048e-04
2.038004750593824244e-01,1.000000000000000048e-04
2.039004875609451428e-01,1.000000000000000048e-04
2.040005000625078335e-01,1.000000000000000048e-04
2.041005125640705242e-01,1.000000000000000048e-04
2.042005250656332149e-01,1.000000000000000048e-04
2.043005375671959056e-01,1.000000000000000048e-04
2.044005500687585963e-01,1.000000000000000048e-04
2.045005625703212870e-01,1.000000000000000048e-04
2.046005750718840055e-01,1.000000000000000048e-04
2.047005875734466962e-01,1.000000000000000048e-04
2.048006000750093869e-01,1.000000000000000048e-04
2.049006125765720776e-01,1.000000000000000048e-04
2.050006250781347683e-01,1.000000000000000048e-04
2.051006375796974868e-01,1.000000000000000048e-04
2.052006500812601775e-01,1.000000000000000048e-04
2.053006625828228682e-01,1.000000000000000048e-04
2.054006750843855589e-01,1.000000000000000048e-04
2.055006875859482496e-01,1.000000000000000048e-04
2.056007000875109403e-01,1.000000000000000048e-04
2.057007125890736587e-01,1.000000000000000048e-04
2.058007250906363494e-01,1.000000000000000048e-04
2.059007375921990401e-01,1.000000000000000048e-04
2.060007500937617309e-01,1.000000000000000048e-04
2.061007625953244216e-01,1.000000000000000048e-04
2.062007750968871123e-01,1.000000000000000048e-04
2.063007875984498307e-01,1.000000000000000048e-04
2.064008001000125214e-01,1.000000000000000048e-04
2.065008126015752121e-01,1.000000000000000048e-04
2.066008251031379028e-01,1.000000000000000048e-04
2.067008376047005935e-01,1.000000000000000048e-04
2.068008501062632842e-01,1.000000000000000048e-04
2.069008626078260027e-01,1.000000000000000048e-04
2.070008751093886934e-01,1.000000000000000048e-04
2.071008876109513841e-01,1.000000000000000048e-04
2.072009001125140748e-01,1.000000000000000048e-04
2.073009126140767655e-01,1.000000000000000048e-04
2.074009251156394562e-01,1.000000000000000048e-04
2.075009376172021747e-01,1.000000000000000048e-04
2.076009501187648654e-01,1.000000000000000048e-04
2.077009626203275561e-01,1.000000000000000048e-04
2.078009751218902468e-01,1.000000000000000048e-04
2.079009876234529375e-01,1.000000000000000048e-04
2.080010001250156282e-01,1.000000000000000048e-04
2.081010126265783189e-01,1.000000000000000048e-04
2.082010251281410373e-01,1.000000000000000048e-04
2.083010376297037280e-01,1.000000000000000048e-04
2.084010501312664188e-01,1.000000000000000048e-04
2.085010626328291095e-01,1.000000000000000048e-04
2.086010751343918002e-01,1.000000000000000048e-04
2.087010876359545186e-01,1.000000000000000048e-04
2.088011001375172093e-01,1.000000000000000048e-04
2.089011126390799000e-01,1.000000000000000048e-04
2.090011251406425907e-01,1.000000000000000048e-04
2.091011376422052814e-01,1.000000000000000048e-04
2.092011501437679721e-01,1.000000000000000048e-04
2.093011626453306628e-01,1.000000000000000048e-04
2.094011751468933813e-01,1.000000000000000048e-04
2.095011876484560720e-01,1.000000000000000048e-04
2.096012001500187627e-01,1.000000000000000048e-04
2.097012126515814534e-01,1.000000000000000048e-04
2.098012251531441441e-01,1.000000000000000048e-04
2.099012376547068626e-01,1.000000000000000048e-04
2.100012501562695533e-01,1.000000000000000048e-04
2.101012626578322440e-01,1.000000000000000048e-04
2.102012751593949347e-01,1.000000000000000048e-04
2.103012876609576254e-01,1.000000000000000048e-04
2.104013001625203161e-01,1.000000000000000048e-04
