wavelength,transmission
200.77,4.992
202.24,4.986
216.95,4.958
225.77,5.018
234.59,5.206
237.59,5.32
249.33,6.141
258.18,7.126
259.9,7.324
271.46,8.586
274.5,9.017
287.35,12.011
296.45,15.816
296.49,15.836
302.33,19.917
306.58,24.247
314.07,29.101
320.04,31.731
322.89,33.037
330.23,37.138
339.05,41.074
339.17,41.153
344.92,46.322
352.26,50.258
353.88,51.229
358.14,54.358
364.01,58.459
364.18,58.573
368.41,62.559
372.71,70.036
372.99,70.46
378.65,76.664
378.86,76.829
383.26,79.836
384.53,80.764
388.93,84.7
389.13,84.835
395.01,87.675
397.74,88.8
402.32,90.498
411.16,92.194
413.93,92.409
419.97,92.585
427.32,92.506
436.14,92.192
446.43,91.666
447.81,91.588
456.72,91.066
467.02,90.432
477.31,89.795
480.22,89.62
489.08,89.14
506.74,88.636
531.76,88.685
542.09,88.8
567.11,89.211
577.43,89.456
602.46,90.224
611.3,90.604
618.67,91.26
631.93,91.588
654.01,92.081
658.45,92.196
679.09,92.795
689.36,93.065
698.25,93.241
717.42,93.412
724.7,93.393
732.16,93.318
746.91,92.976
760.06,92.409
760.18,92.402
773.46,91.541
786.73,90.401
789.53,90.112
800,88.607
802.79,88.144
811.81,86.768
823.43,84.864
823.61,84.831
836.88,81.833
839.64,81.092
848.68,78.576
852.92,77.32
861.96,74.37
864.72,73.383
875.05,69.447
875.23,69.379
885.38,65.511
891.09,63.016
894.23,61.575
903.09,57.639
909.89,54.617
911.94,53.702
920.8,49.602
927.21,46.151
928.18,45.666
937.04,41.566
941.96,38.896
944.42,37.63
953.28,33.693
960.66,29.593
961.86,29.004
969.52,25.657
978.37,21.721
980.28,20.952
988.7,17.784
999.03,13.848
1001.29,13.024
1010.83,9.912
1025.58,6.14
1037.75,3.656
1044.74,2.696
1074.21,0.564
1074.58,0.543
1095.2,-0.768
