wavelength,transmission,log,
200,0,-4,
201,0.0001,-6,
202,0.0009,-5.045757491,-4.646595557
203,0.0002,-5.698970004,-4.668176636
204,0.3249,-2.488250289,-4.268176636
205,0.0078,-4.107905397,-4.059025138
206,0,-4,-3.998819139
207,0,-4,-4.640963082
208,0.0004,-5.397940009,-5.019382003
209,0.0002,-5.698970004,-5.019382003
210,0.0001,-6,-5.419382003
211,0,-4,-5.163631282
212,0.0001,-6,-4.819599422
213,0.0076,-4.119186408,-4.455690635
214,0.0105,-3.978810701,-4.479527916
215,0.0066,-4.180456064,-4.050302309
216,0.0076,-4.119186408,-3.846173363
217,0.014,-3.853871964,-3.625771608
218,0.0797,-3.098541679,-3.457697155
219,0.1328,-2.876801925,-3.382805373
220,0.0457,-3.3400838,-3.589242309
221,0.018,-3.744727495,-3.686539304
222,0.0013,-4.886056648,-3.818699319
223,0.026,-3.585026652,-3.954228313
224,0.029,-3.537602002,-3.741586669
225,0.0096,-4.017728767,-3.214955153
226,0.2082,-2.681519275,-2.951182022
227,0.5586,-2.252899069,-2.594583768
228,0.5418,-2.266160999,-2.403134164
229,1.7595,-1.754610729,-2.628205389
230,0.087,-3.060480747,-2.911137883
231,0.0156,-3.806875402,-2.885850064
232,0.0215,-3.66756154,-3.028275215
233,0.7249,-2.1397219,-3.245927395
234,0.3414,-2.466736483,-3.063859991
235,0.0071,-4.148741651,-3.183868931
236,0.1269,-2.896538378,-3.431274692
237,0.0054,-4.26760624,-3.359086344
238,0.042,-3.37675071,-3.307220072
239,0.7838,-2.105794741,-3.601218705
240,0.0129,-3.88941029,-3.947697457
241,0.0043,-4.366531544,-4.472347315
242,0.0001,-6,-5.051188367
243,0.0001,-6,-5.014855095
244,0.001,-5,-4.725279324
245,0.0196,-3.707743929,-4.237412785
246,0.1206,-2.918652692,-3.818728448
247,0.0275,-3.560667306,-3.657492454
248,0.0124,-3.906578315,-3.434737879
249,0.0064,-4.193820026,-3.451094243
250,0.2547,-2.593971055,-3.236557388
251,0.0999,-3.000434512,-2.961720104
252,0.3251,-2.487983031,-2.6204459
253,0.2935,-2.532391894,-2.67186949
254,0.3255,-2.487449007,-2.736443866
255,0.1409,-2.851089007,-2.842846585
256,0.0475,-3.32330639,-2.944751037
257,0.0955,-3.019996628,-2.804882351
258,0.0908,-3.041914151,-3.032097104
259,1.6289,-1.788105577,-3.217798221
260,0.0103,-3.987162775,-3.350604826
261,0.0056,-4.251811973,-3.464034974
262,0.0207,-3.684029655,-3.916535858
263,0.0246,-3.609064893,-3.874560009
264,0.0089,-4.050609993,-3.438007808
265,0.0167,-3.777283529,-3.403491733
266,0.853,-2.069050969,-3.425928035
267,0.0308,-3.511449283,-3.239073749
268,0.019,-3.721246399,-3.483617043
269,0.0765,-3.116338565,-3.949394851
270,0.001,-5,-4.256256493
271,0.004,-4.397940009,-4.439661646
272,0.0009,-5.045757491,-4.73012118
273,0.0023,-4.638272164,-4.631848841
274,0.0027,-4.568636236,-4.534988873
275,0.0031,-4.508638306,-4.041549497
276,0.0122,-3.913640169,-3.885919247
277,0.2639,-2.57856061,-3.249115632
278,0.0138,-3.860120914,-3.044213202
279,4.1246,-1.384618163,-2.792175457
280,0.0328,-3.484126156,-2.991161083
281,0.2221,-2.653451441,-2.973559559
282,0.0267,-3.573488739,-3.393461158
283,0.0169,-3.772113295,-3.331032914
284,0.0328,-3.484126156,-3.714069872
285,0.0673,-3.171984936,-3.768304917
286,0.0027,-4.568636236,-3.723832436
287,0.0143,-3.844663963,-4.227007205
288,0.0282,-3.549750892,-4.792610218
289,0.0001,-6,-4.678882971
290,0.0001,-6,-4.709950178
291,0,-4,-4.8
292,0,-4,-4.4
293,0,-4,-4
294,0,-4,-4.279588002
295,0,-4,-4.619382003
296,0.0004,-5.397940009,-4.432785838
297,0.0002,-5.698970004,-4.772579839
298,0.0857,-3.067019178,-5.172579839
299,0.0002,-5.698970004,-4.811005213
300,0.0001,-6,-4.072444638
301,0.0257,-3.590066877,-3.926753993
302,0.9859,-2.006167133,-3.986959992
303,0.4586,-2.33856595,-3.586959992
304,0.0001,-6,-3.948534618
305,0,-4,-4.607507191
306,0.0004,-5.397940009,-4.939794001
307,0.0005,-5.301029996,-4.539794001
308,0,-4,-4.539794001
309,0,-4,-4.260205999
310,0,-4,-4
311,0,-4,-4
312,0,-4,-4
313,0,-4,-4
314,0,-4,-4
315,0,-4,-4
316,0,-4,-4
317,0,-4,-4
318,0,-4,-4
319,0,-4,-4
320,0,-4,-4
321,0,-4,-4
322,0,-4,-4
323,0,-4,-4
324,0,-4,-4.4
325,0,-4,-4.4
326,0.0001,-6,-4.4
327,0,-4,-4.4
328,0,-4,-4.4
329,0,-4,-4
330,0,-4,-4
331,0,-4,-4
332,0,-4,-4
333,0,-4,-4
334,0,-4,-4
335,0,-4,-4
336,0,-4,-4
337,0,-4,-4
338,0,-4,-4
339,0,-4,-4.4
340,0,-4,-4.531515464
341,0.0001,-6,-4.775885214
342,0.0022,-4.657577319,-4.864624714
343,0.0006,-5.22184875,-4.784000609
344,0.0036,-4.443697499,-4.480297821
345,0.0253,-3.596879479,-4.447752362
346,0.0033,-4.48148606,-4.310903012
347,0.0032,-4.494850022,-4.277308339
348,0.0029,-4.537602002,-4.396696448
349,0.0053,-4.27572413,-4.315543379
350,0.0064,-4.193820026,-4.119429089
351,0.0084,-4.075720714,-3.559570488
352,0.0306,-3.514278574,-3.188881357
353,1.8268,-1.738308997,-2.758634209
354,0.3782,-2.422278475,-2.638740773
355,0.9066,-2.042584285,-2.701247805
356,0.0334,-3.476253533,-3.096474543
357,0.0149,-3.826813732,-3.221363581
358,0.0193,-3.714442691,-3.177414484
359,0.0898,-3.046723663,-3.080273598
360,1.5037,-1.8228388,-2.950216006
361,0.1022,-2.990549104,-2.881445548
362,0.0666,-3.176525771,-2.976099427
363,0.0426,-3.370590401,-3.301976726
364,0.0302,-3.519993057,-3.323248907
365,0.0353,-3.452225295,-3.146976432
366,0.08,-3.096910013,-2.754995799
367,0.5068,-2.295163394,-2.461089913
368,3.8843,-1.410687235,-2.200283151
369,0.8903,-2.050463627,-2.007078283
370,0.7109,-2.148191486,-1.950387336
371,0.7398,-2.130885673,-2.006043295
372,0.9734,-2.011708658,-1.810811848
373,2.0466,-1.68896703,-1.423753183
374,8.4274,-1.074306392,-1.00776092
375,61.2494,-0.212898161,-0.612882071
376,88.9356,-0.050924361,-0.283309217
377,91.7668,-0.037314412,-0.077715326
378,90.9698,-0.04110276,-0.042162853
379,89.88,-0.046336936,-0.039716643
380,92.2283,-0.035135796,-0.041149017
381,91.4759,-0.038693309,-0.041971939
382,90.2659,-0.044476283,-0.039680211
383,90.112,-0.045217371,-0.038413566
384,92.283,-0.034878296,-0.038974838
385,93.5831,-0.028802573,-0.040154357
386,90.8867,-0.041499665,-0.039786542
387,89.0484,-0.050373879,-0.039422862
388,90.4944,-0.043378295,-0.042924517
389,92.6702,-0.0330599,-0.044127703
390,89.8854,-0.046310845,-0.043285724
391,89.6364,-0.047515594,-0.043821034
392,89.9158,-0.046163987,-0.046501667
393,89.9384,-0.046054843,-0.046406633
394,89.8539,-0.046463068,-0.044864269
395,89.9838,-0.045835671,-0.042983115
396,91.2423,-0.039803776,-0.0424575
397,91.8844,-0.036758216,-0.042041092
398,90.4843,-0.043426769,-0.040489269
399,90.2857,-0.04438103,-0.040090932
400,91.6059,-0.038076554,-0.040904957
401,91.6617,-0.037812092,-0.040845366
402,91.0273,-0.040828339,-0.038421665
403,90.5464,-0.043128812,-0.036286372
404,92.8405,-0.032262529,-0.036296133
405,93.8858,-0.027400089,-0.036973103
406,91.6514,-0.037860897,-0.036345896
407,90.3206,-0.044213186,-0.035754296
408,91.2026,-0.039992781,-0.036429874
409,93.475,-0.029304526,-0.035216507
410,93.1584,-0.030777979,-0.032443356
411,92.9407,-0.031794061,-0.033559246
412,93.2508,-0.030347434,-0.036178224
413,90.0384,-0.045572231,-0.034323162
414,90.6986,-0.042399417,-0.0340493
415,95.1694,-0.021502669,-0.036708951
416,93.2342,-0.030424751,-0.03433527
417,90.4387,-0.043645689,-0.031876731
418,92.5329,-0.033703827,-0.037055385
419,93.3025,-0.030106719,-0.042069557
420,89.6611,-0.047395937,-0.040934209
421,88.0044,-0.055495614,-0.044298658
422,91.6286,-0.037968949,-0.046601716
423,89.0172,-0.05052607,-0.081115838
424,90.8611,-0.04162201,-0.26565486
425,60.2606,-0.219966548,-0.574722986
426,10.515,-0.978190723,-0.957228149
427,2.6103,-1.583309577,-1.378860299
428,1.0888,-1.963051888,-1.762667702
429,0.7083,-2.149782758,-1.943721291
430,0.7261,-2.139003563,-1.942351222
431,1.3078,-1.883458667,-1.95204689
432,2.6518,-1.576459234,-1.977662314
