wavelength,transmission
2600,54.82582855
2599,54.74868393
2598,54.62333679
2597,54.44942856
2596,54.34317017
2595,54.26018906
2594,54.04121399
2593,53.9498558
2592,53.69467926
2591,53.55050659
2590,53.37612534
2589,53.15231705
2588,52.98110199
2587,52.84412003
2586,52.62919235
2585,52.38518143
2584,52.20807266
2583,52.09700394
2582,51.88611603
2581,51.70480728
2580,51.64601898
2579,51.52801895
2578,51.41468048
2577,51.37114716
2576,51.35253525
2575,51.30223465
2574,51.21945572
2573,51.23927689
2572,51.21810532
2571,51.16701126
2570,51.09763336
2569,51.04448318
2568,51.05584717
2567,50.91648865
2566,50.90103912
2565,50.80358887
2564,50.74499893
2563,50.64555359
2562,50.67874908
2561,50.58412552
2560,50.50582886
2559,50.54678345
2558,50.50541306
2557,50.45373535
2556,50.39109039
2555,50.35940552
2554,50.36354828
2553,50.34220886
2552,50.34815216
2551,50.33988953
2550,50.33509064
2549,50.38053894
2548,50.42329407
2547,50.41578293
2546,50.38764954
2545,50.33412552
2544,50.3119278
2543,50.24317551
2542,50.26247406
2541,50.121315
2540,50.11640167
2539,50.02869797
2538,49.91143417
2537,49.73308563
2536,49.69274139
2535,49.47144699
2534,49.37516022
2533,49.17752838
2532,49.09712982
2531,48.78059769
2530,48.57389832
2529,48.35760117
2528,48.14226151
2527,47.93188095
2526,47.7469368
2525,47.47200775
2524,47.26478577
2523,47.04533005
2522,46.8472023
2521,46.62243271
2520,46.41248703
2519,46.26334381
2518,46.06279755
2517,45.8934288
2516,45.74684906
2515,45.68917084
2514,45.53881836
2513,45.47647095
2512,45.48711777
2511,45.45200729
2510,45.40530014
2509,45.49221039
2508,45.52822113
2507,45.55417633
2506,45.63180923
2505,45.78304291
2504,45.83476257
2503,45.9696579
2502,46.09832382
2501,46.19376755
2500,46.27755356
2499,46.47728729
2498,46.52386856
2497,46.51720047
2496,46.69289398
2495,46.74759674
2494,46.81341171
2493,46.89518356
2492,47.02204895
2491,47.08476257
2490,47.11326599
2489,47.15375137
2488,47.30826187
2487,47.32394791
2486,47.41384506
2485,47.44959259
2484,47.4598732
2483,47.51044846
2482,47.43087769
2481,47.36243057
2480,47.24791336
2479,47.15013504
2478,46.89694595
2477,46.64918518
2476,46.34119034
2475,46.09429932
2474,45.71029663
2473,45.35968018
2472,44.99371719
2471,44.57414627
2470,44.1677475
2469,43.74373245
2468,43.22554398
2467,42.86610031
2466,42.5219574
2465,42.21694946
2464,41.90388107
2463,41.75257874
2462,41.71867752
2461,41.66095734
2460,41.81737137
2459,41.97156906
2458,42.2731514
2457,42.58641434
2456,43.00407028
2455,43.43118668
2454,43.88999557
2453,44.38349915
2452,44.88001633
2451,45.37457657
2450,45.89851379
2449,46.47422028
2448,46.98747253
2447,47.57973099
2446,48.04422379
2445,48.62473679
2444,49.12894821
2443,49.61154938
2442,50.08831787
2441,50.63861465
2440,50.99539948
2439,51.338871
2438,51.66746521
2437,51.98249054
