wavelength,transmission
200,2.20E-04
201,2.26E-04
202,4.15E-04
203,3.73E-04
204,5.49E-04
205,2.97E-04
206,3.91E-04
207,6.96E-04
208,8.07E-04
209,5.78E-04
210,4.96E-04
211,4.55E-04
212,3.32E-04
213,3.20E-04
214,3.08E-04
215,3.84E-04
216,5.19E-04
217,5.24E-04
218,1.63E-04
219,4.19E-04
220,3.72E-04
221,4.83E-04
222,4.94E-04
223,4.30E-04
224,2.85E-04
225,3.71E-04
226,3.66E-04
227,5.67E-04
228,4.29E-04
229,5.44E-04
230,3.36E-04
231,4.63E-04
232,3.25E-04
233,5.14E-04
234,4.85E-04
235,4.80E-04
236,3.07E-04
237,4.46E-04
238,3.42E-04
239,5.15E-04
240,3.36E-04
241,4.69E-04
242,2.04E-04
243,3.42E-04
244,3.37E-04
245,4.40E-04
246,3.54E-04
247,4.00E-04
248,3.19E-04
249,3.25E-04
250,2.33E-04
251,4.17E-04
252,3.54E-04
253,2.50E-04
254,1.75E-04
255,5.37E-04
256,6.52E-04
257,4.57E-04
258,4.34E-04
259,3.59E-04
260,2.04E-04
261,3.13E-04
262,4.16E-04
263,3.13E-04
264,2.56E-04
265,1.35E-04
266,3.82E-04
267,1.41E-04
268,1.98E-04
269,2.61E-04
270,4.97E-04
271,3.99E-04
272,3.47E-04
273,2.90E-04
274,5.71E-04
275,3.76E-04
276,5.42E-04
277,3.53E-04
278,2.96E-04
279,2.96E-04
280,4.10E-04
281,3.76E-04
282,4.62E-04
283,3.24E-04
284,2.16E-04
285,1.76E-04
286,4.21E-04
287,2.39E-04
288,4.38E-04
289,2.04E-04
290,3.91E-05
291,3.58E-04
292,5.06E-04
293,3.53E-04
294,4.38E-04
295,1.82E-04
296,2.73E-04
297,5.06E-04
298,4.43E-04
299,3.98E-04
300,5.51E-04
301,2.95E-04
302,1.82E-04
303,5.39E-04
304,5.45E-04
305,4.43E-04
306,5.84E-04
307,2.61E-04
308,2.05E-04
309,5.61E-04
310,5.84E-04
311,4.48E-04
312,3.12E-04
313,4.98E-04
314,5.21E-04
315,3.63E-04
316,3.29E-04
317,3.46E-04
318,4.19E-04
319,3.91E-04
320,3.34E-04
321,5.20E-04
322,4.86E-04
323,3.74E-04
324,5.53E-04
325,4.86E-04
326,4.52E-04
327,5.70E-04
328,4.58E-04
329,3.40E-04
330,6.31E-04
331,2.56E-04
332,5.19E-04
333,5.25E-04
334,5.81E-04
335,3.90E-04
336,6.87E-04
337,3.34E-04
338,6.75E-04
339,6.47E-04
340,6.25E-04
341,3.17E-04
342,7.47E-04
343,4.40E-04
344,4.68E-04
345,6.30E-04
346,5.91E-04
347,3.62E-04
348,6.29E-04
349,3.34E-04
350,5.51E-04
351,5.90E-04
352,5.84E-04
353,4.39E-04
354,6.23E-04
355,4.23E-04
356,4.61E-04
357,6.67E-04
358,4.56E-04
359,4.39E-04
360,5.22E-04
361,5.06E-04
362,3.78E-04
363,7.78E-04
364,6.27E-04
365,6.11E-04
366,5.27E-04
367,5.27E-04
368,4.61E-04
369,7.99E-04
370,5.71E-04
371,6.32E-04
372,4.99E-04
373,5.49E-04
374,4.27E-04
375,8.14E-04
376,6.47E-04
377,5.75E-04
378,5.54E-04
379,8.12E-04
380,6.14E-04
381,5.58E-04
382,6.08E-04
383,3.99E-04
384,4.87E-04
385,7.73E-04
386,5.36E-04
387,5.25E-04
388,6.18E-04
389,4.09E-04
390,5.19E-04
391,7.83E-04
392,6.34E-04
393,5.52E-04
394,5.62E-04
395,4.75E-04
396,4.31E-04
397,7.27E-04
398,5.24E-04
399,6.00E-04
400,4.63E-04
401,4.58E-04
402,4.63E-04
403,7.86E-04
404,6.16E-04
405,5.72E-04
406,5.17E-04
407,4.68E-04
408,5.12E-04
409,7.57E-04
410,5.17E-04
411,5.93E-04
412,5.88E-04
413,5.49E-04
414,5.17E-04
415,7.13E-04
416,4.73E-04
417,4.67E-04
418,5.00E-04
419,4.51E-04
420,4.78E-04
421,6.74E-04
422,4.02E-04
423,4.89E-04
424,4.89E-04
425,5.00E-04
426,4.61E-04
427,7.49E-04
428,6.29E-04
429,5.97E-04
430,6.02E-04
431,4.67E-04
432,5.42E-04
433,6.88E-04
434,5.10E-04
435,5.15E-04
436,6.23E-04
437,4.07E-04
438,5.31E-04
439,6.82E-04
440,4.77E-04
441,4.93E-04
442,5.95E-04
443,4.71E-04
444,6.71E-04
445,9.94E-04
446,2.65E-02
447,8.00E-02
448,1.45E+00
449,1.07E+01
450,3.60E+01
451,6.85E+01
452,8.83E+01
453,9.38E+01
454,9.48E+01
455,9.49E+01
456,9.47E+01
457,9.49E+01
458,9.52E+01
459,9.55E+01
460,9.59E+01
461,9.62E+01
462,9.63E+01
463,9.62E+01
464,9.64E+01
465,9.65E+01
466,9.64E+01
467,9.64E+01
468,9.66E+01
469,9.66E+01
470,9.64E+01
471,9.62E+01
472,9.63E+01
473,9.64E+01
474,9.64E+01
475,9.63E+01
476,9.62E+01
477,9.62E+01
478,9.62E+01
479,9.60E+01
480,9.59E+01
481,9.58E+01
482,9.57E+01
483,9.55E+01
484,9.55E+01
485,9.55E+01
486,9.55E+01
487,9.55E+01
488,9.54E+01
489,9.53E+01
490,9.52E+01
491,9.50E+01
492,9.48E+01
493,9.47E+01
494,9.48E+01
