wavelength ,transmission
2600,62.44202423
2599,62.34190369
2598,62.22427368
2597,61.9945755
2596,61.79651642
2595,61.51652908
2594,61.33459091
2593,61.00078964
2592,60.72208786
2591,60.45604324
2590,60.2266655
2589,59.90956497
2588,59.60869217
2587,59.31449509
2586,59.02041245
2585,58.77975845
2584,58.48931503
2583,58.19432831
2582,57.92486191
2581,57.77660751
2580,57.5127182
2579,57.28400803
2578,57.11572266
2577,57.06791687
2576,57.04530334
2575,56.87265396
2574,56.87731934
2573,56.73745346
2572,56.66006851
2571,56.52340698
2570,56.45733643
2569,56.39659119
2568,56.2547226
2567,56.1842308
2566,56.10349655
2565,55.85464859
2564,55.81473541
2563,55.70121002
2562,55.59723282
2561,55.49710464
2560,55.38933945
2559,55.32247925
2558,55.19864655
2557,55.23933029
2556,55.10990524
2555,55.12617874
2554,55.04792404
2553,55.12131882
2552,55.02949905
2551,55.08740997
2550,55.14236069
2549,55.1067276
2548,55.07369232
2547,55.09946442
2546,55.17815399
2545,55.06969833
2544,55.01524734
2543,54.99310303
2542,54.94884872
2541,54.91333771
2540,54.81186676
2539,54.7040329
2538,54.63136292
2537,54.42705917
2536,54.36171722
2535,54.109375
2534,53.88496017
2533,53.7052269
2532,53.54686356
2531,53.27481461
2530,52.986866
2529,52.77323914
2528,52.50006866
2527,52.23464203
2526,51.98457336
2525,51.72000504
2524,51.42987442
2523,51.24248886
2522,50.98402405
2521,50.6636734
2520,50.49069595
2519,50.32513809
2518,50.09894943
2517,49.82551575
2516,49.69566345
2515,49.61461639
2514,49.51316071
2513,49.41590881
2512,49.40298462
2511,49.34587097
2510,49.38117981
2509,49.47271347
2508,49.51087189
2507,49.55932617
2506,49.69369125
2505,49.80910873
2504,49.8911705
2503,49.9787941
2502,50.25165558
2501,50.23355484
2500,50.36956024
2499,50.55329895
2498,50.59181595
2497,50.68664551
2496,50.82005692
2495,50.89146042
2494,50.90177536
2493,50.94958115
2492,51.0350647
2491,51.03179932
2490,51.090271
2489,51.11750793
2488,51.19254684
2487,51.24548721
2486,51.26132965
2485,51.34048462
2484,51.22730637
2483,51.2702179
2482,51.23197556
2481,51.05421066
2480,50.85947037
2479,50.62049103
2478,50.2824707
2477,49.93062592
2476,49.49827194
2475,49.07915497
2474,48.51156235
2473,47.97436142
2472,47.41207504
2471,46.85797501
2470,46.28870392
2469,45.72708511
2468,45.06301498
2467,44.48629761
2466,44.05754089
2465,43.56672287
2464,43.19221115
2463,43.0336647
2462,42.88330841
2461,42.79221725
2460,42.99243546
2459,43.17453384
2458,43.47907639
2457,43.95606995
2456,44.4446106
2455,44.96487427
2454,45.45779419
2453,46.07312775
2452,46.61480331
2451,47.17873764
2450,47.82091904
2449,48.43516922
2448,49.09286118
2447,49.72148132
2446,50.39192581
2445,51.04468918
2444,51.75352859
