wavelength ,transmission
200,0.000646
201,0.003945
202,0.000308
203,0.001841
204,0.004894
205,0.007358
206,0.003138
207,0.007124
208,0.00314
209,0.003847
210,0.00666
211,0.007246
212,0.004443
213,0.00643
214,0.001531
215,0.003404
216,0.005972
217,0.008302
218,0.004586
219,0.007259
220,0.002974
221,0.003561
222,0.006689
223,0.008193
224,0.004392
225,0.006469
226,0.002796
227,0.005214
228,0.007166
229,0.008084
230,0.005225
231,0.00637
232,0.00374
233,0.003742
234,0.006599
235,0.007285
236,0.005453
237,0.007397
238,0.003842
239,0.003496
240,0.007508
241,0.006933
242,0.005783
243,0.006815
244,0.004283
245,0.003363
246,0.00831
247,0.007505
248,0.005434
249,0.006699
250,0.003135
251,0.003484
252,0.008311
253,0.007738
254,0.005329
255,0.005903
256,0.003612
257,0.003846
258,0.009229
259,0.007398
260,0.004883
261,0.00717
262,0.004425
263,0.004083
264,0.0074
265,0.007857
266,0.004658
267,0.006828
268,0.002599
269,0.003171
270,0.008543
271,0.009571
272,0.003974
273,0.006257
274,0.003288
275,0.005461
276,0.008315
277,0.008886
278,0.003754
279,0.006376
280,0.003414
281,0.004328
282,0.007633
283,0.009342
284,0.007976
285,0.007862
286,0.00263
287,0.006272
288,0.006615
289,0.009341
290,0.004119
291,0.008432
292,0.003327
293,0.005938
294,0.00662
295,0.010246
296,0.003903
297,0.009453
298,0.00334
299,0.004814
300,0.007643
301,0.009565
302,0.004932
303,0.009226
304,0.003804
305,0.006065
306,0.008436
307,0.008549
308,0.004604
309,0.008775
310,0.003255
311,0.005736
312,0.009563
313,0.009
314,0.005851
315,0.006976
316,0.003156
317,0.004958
318,0.006306
319,0.007664
320,0.004324
321,0.007219
322,0.00377
323,0.004663
324,0.007888
325,0.008889
326,0.004555
327,0.008444
328,0.003891
329,0.005114
330,0.007557
331,0.008334
332,0.005007
333,0.008224
334,0.002902
335,0.005454
336,0.00612
337,0.009111
338,0.004682
339,0.009554
340,0.003799
341,0.005682
342,0.008115
343,0.008779
344,0.008227
345,0.011872
346,0.008669
347,0.011428
348,0.012861
349,0.014514
350,0.008228
351,0.009551
352,0.004481
353,0.006356
354,0.007566
355,0.00911
356,0.006573
357,0.007455
358,0.004148
359,0.006796
360,0.00878
361,0.008229
362,0.006029
363,0.007569
364,0.00482
365,0.007132
366,0.00889
367,0.007574
368,0.00593
369,0.008233
370,0.006152
371,0.007358
372,0.010969
373,0.019388
374,0.042891
375,0.061232
376,0.047865
377,0.030068
378,0.054779
379,0.116515
380,0.140634
381,0.089513
382,0.034236
383,0.023354
384,0.047053
385,0.24787
386,2.724089
387,15.433612
388,44.478236
389,76.684433
390,93.207103
391,95.955433
392,96.216229
393,96.376234
394,96.555445
395,96.604169
396,96.739876
397,96.875385
398,96.859888
399,96.796093
400,96.828463
401,96.975091
402,97.076278
403,97.121624
404,97.146038
405,97.153172
406,97.325749
407,97.328625
408,97.238145
409,97.209795
410,97.198325
411,97.325691
412,97.393887
413,97.105683
414,96.668521
415,96.529565
416,96.766767
417,97.052929
418,97.238457
419,97.414137
420,97.617142
421,97.748862
422,97.727429
423,97.671112
424,97.689972
425,97.651537
426,97.538462
427,97.465013
428,97.386218
429,97.384493
430,97.446021
431,97.534081
432,97.783661
433,98.046356
434,97.986522
435,97.83427
436,97.875683
437,97.956208
438,97.989752
439,98.006909
440,98.006271
441,98.041429
442,98.036739
443,97.944038
444,97.893909
445,97.88679
446,97.803704
447,97.707094
448,97.715521
449,97.645824
450,97.524595
451,97.56297
452,97.660098
453,97.750824
454,97.787282
455,97.81915
456,97.908699
457,97.908377
458,97.822853
459,97.914323
460,98.009865
461,97.932839
462,97.862489
463,97.906323
464,97.900882
465,97.8518
466,97.851265
467,97.884224
468,97.913584
469,97.885017
470,97.819633
471,97.853349
472,97.897076
473,97.872942
474,97.950745
475,98.077711
476,98.059932
477,97.996029
478,97.984027
479,98.032361
480,98.105866
481,98.135382
482,98.144923
483,98.190994
484,98.198138
485,98.148185
486,98.180904
487,98.212834
488,98.095991
489,98.026896
490,98.074135
491,98.101071
492,98.104214
493,98.038897
494,97.932381
495,97.944214
496,98.006353
497,98.046344
498,98.155666
499,98.202199
500,98.132035
501,98.159476
502,98.263558
503,98.280015
504,98.274949
505,98.294974
506,98.295608
507,98.353239
508,98.388763
509,98.292366
510,98.243928
511,98.295719
512,98.291566
513,98.221678
514,98.153756
515,98.207709
516,98.280211
517,98.078839
518,97.863984
519,98.044673
520,98.201051
521,98.059383
522,98.073366
523,98.318323
524,98.385309
525,98.283175
526,98.285532
527,98.384308
528,98.425925
529,98.382322
530,98.405659
531,98.541565
532,98.535338
533,98.41208
534,98.500045
535,98.615342
536,98.579401
537,98.588474
538,98.61072
539,98.520645
540,98.522793
541,98.587444
542,98.514661
543,98.373393
544,98.357499
545,98.467566
546,98.53711
547,98.423312
548,98.319044
549,98.418786
550,98.465439
551,98.420948
552,98.522582
553,98.588461
554,98.469042
555,98.492098
556,98.631827
557,98.603482
558,98.552363
559,98.60411
560,98.654652
561,98.646371
562,98.617232
563,98.685149
564,98.726616
565,98.718605
566,98.735831
567,98.767833
568,98.714668
569,98.596964
570,98.589023
571,98.726398
572,98.703425
573,98.525156
574,98.523241
575,98.632636
576,98.570397
577,98.559418
578,98.612216
579,98.540386
580,98.436289
581,98.490783
582,98.590865
583,98.709421
584,98.670678
585,98.552173
586,98.570778
587,98.572603
588,98.378105
589,98.319153
590,98.495137
591,98.585349
592,98.593431
593,98.583329
594,98.640432
595,98.736552
596,98.519376
597,98.150075
598,98.019625
599,97.86377
600,97.381834
601,97.157706
602,97.430901
603,97.634628
604,97.538474
605,97.650953
606,97.893445
607,97.756444
608,97.415759
609,97.638444
610,98.185344
611,98.526487
612,98.657816
613,98.721524
614,98.564516
615,98.436244
616,98.481334
617,98.390262
618,98.267101
619,98.481361
620,98.596631
621,98.50546
622,98.513937
623,98.677277
624,98.792635
625,98.839195
626,98.742065
627,98.623223
628,98.601647
629,98.60278
630,98.449903
631,98.207198
632,98.136121
633,98.379863
634,98.783084
635,98.965913
636,98.912931
637,98.837888
638,98.6644
639,98.523942
640,98.630534
641,98.674201
642,98.722274
643,98.83311
644,98.734194
645,98.405607
646,98.2665
647,98.4451
648,98.711537
649,98.948224
650,98.965056
651,98.851134
652,98.789133
653,98.735905
654,98.756058
655,98.899485
656,98.862273
657,98.74016
658,98.556399
659,98.335917
660,98.246543
661,98.45386
662,98.607259
663,98.569171
664,98.552665
665,98.54695
666,98.638484
667,98.829805
668,98.85658
669,98.680338
670,98.485868
671,98.382862
672,98.596146
673,98.900864
674,98.929111
675,98.955267
676,99.036789
677,98.909825
678,98.514953
679,98.318311
680,98.419413
681,98.718007
682,99.016824
683,99.123304
684,98.992064
685,98.771663
686,98.512279
687,98.500229
688,98.785197
689,99.006306
690,99.00475
691,98.941214
692,98.953863
693,98.738645
694,98.363608
695,98.296989
696,98.472749
697,98.759126
698,98.86003
699,98.725956
700,98.50977
701,98.471589
702,98.528026
703,98.728935
704,98.776384
705,98.435978
706,98.117581
707,98.265598
708,98.665574
709,98.814432
710,98.745751
711,98.574572
712,98.547857
713,98.77669
714,98.94261
715,98.852438
716,98.605668
717,98.378966
718,98.460967
719,98.798896
720,98.746923
721,98.467621
722,98.489734
723,98.707119
724,98.79454
725,98.772148
726,98.734278
727,98.853849
728,98.907292
729,98.817049
730,98.733979
731,98.700432
732,98.605212
733,98.610379
734,98.64478
735,98.495011
736,98.430094
737,98.416118
738,97.854247
739,97.143425
740,97.328339
741,98.060168
742,98.481897
743,98.468196
744,98.022493
745,96.21588
746,88.206715
747,64.032221
748,28.139292
749,5.314345
750,0.394821
751,0.096875
752,0.01823
753,0.004442
754,0.001565
755,0.00034248
756,0.00056544
757,0.00031768
758,0.00015248
759,0.00006168
760,0.0001856
761,0.00042504
762,0.00035072
763,0.00010328
764,0.00024344
765,4.32E-06
766,0.00020232
767,0.00032608
768,0.00040024
769,0.00018592
770,0.00016936
771,0.00008696
772,0.00021072
773,0.00044968
774,0.00037552
775,0.0001532
776,0.00023544
777,0.00012024
778,0.0002356
779,0.00052368
780,0.00032616
781,0.00020272
782,0.00016976
783,0.0000464
784,0.00019464
785,0.000466
786,0.00035912
787,0.00023576
788,0.00017816
789,0.00007136
790,0.00023584
791,0.00053984
792,0.00035096
793,0.0001948
794,0.00020304
795,0.00015384
796,0.0002524
797,0.00053976
798,0.00036736
799,0.0002688
800,0.00026056
801,0.00010456
802,0.00023608
803,0.00048224
804,0.00030992
805,0.00017864
806,0.00022784
807,0.00012944
808,0.00017872
809,0.0001212
810,0.00010488
811,0.00026896
812,0.00038376
813,0.0004248
814,0.00024432
815,0.00034272
816,0.00005544
817,0.00022784
818,0.0003756
819,0.00043304
820,0.00017848
821,0.00020304
822,0.00007984
823,0.00034272
824,0.00047424
825,0.000466
826,0.00028504
827,0.00040024
828,0.00026024
829,0.00035904
830,0.00050736
831,0.00052392
832,0.00026
833,0.0002764
834,0.00029288
835,0.00044984
836,0.00061536
837,0.00064864
838,0.00054112
839,0.00040032
840,0.00036712
841,0.00050824
842,0.00060792
843,0.00054984
844,0.00045848
845,0.00035872
846,0.00040864
847,0.00060008
848,0.0007084
849,0.00068344
850,0.000642
851,0.00047536
852,0.00060864
853,0.00077536
854,0.00080872
855,0.00080864
856,0.00090048
857,0.00069208
858,0.000692
859,0.00054208
860,0.0007632
861,0.000640365
862,0.000677357
863,0.00068487
864,0.000591712
