wavelength,transmission
200,0.00873
205,0
210,0.00332
215,0.00198
220,0.00482
225,0.000545
230,0.00304
235,0.000327
240,0.000877
245,0.00473
250,0.00242
255,0.00165
260,0.000219
265,0.00702
270,0.0023
275,0.00318
280,0.00351
285,0.00624
290,0.00153
295,0.00251
300,0.00273
305,0.00664
310,0.00272
315,0.02145
320,0.42206
325,2.77284
330,8.7376
335,17.41521
340,27.06639
345,35.69539
350,43.00859
355,48.74127
360,53.30549
365,56.87921
370,59.93762
375,62.55958
380,64.82743
385,66.81851
390,68.63538
395,70.35495
400,71.90244
405,73.31549
410,74.60301
415,75.85753
420,76.99676
425,78.04399
430,79.02129
435,79.97701
440,80.81026
445,81.60887
450,82.3209
455,83.04968
460,83.632
465,84.23409
470,84.71861
475,85.23747
480,85.62096
485,85.95037
490,86.19501
495,86.42328
500,86.51396
505,86.51796
510,86.34884
515,86.07966
520,85.57396
525,84.80957
530,83.7651
535,82.48908
540,80.76714
545,78.70462
550,76.09062
555,73.17939
560,69.53344
565,65.68785
570,61.27749
575,56.54738
580,51.40057
585,46.19203
590,40.81263
595,35.51555
600,30.28984
605,25.47699
610,20.95302
615,16.94212
620,13.35525
625,10.3649
630,7.82463
635,5.80595
640,4.17611
645,2.96462
650,2.03534
655,1.37503
660,0.89514
665,0.57783
670,0.35982
675,0.22061
680,0.12565
685,0.07537
690,0.04216
695,0.02149
700,0.00873
705,0.00555
710,0.00226
715,0.000103
720,0.00472
725,0.000205
730,0.000512
735,0.00256
740,0.00604
745,0.00204
750,0.00245
755,0.00286
760,0.00623
765,0.00143
770,0.00173
775,0.00499
780,0.00488
785,0.00142
790,0.00193
795,0.00122
800,0.0068
805,0.00406
810,0.00548
815,0.000812
820,0.000813
825,0.000102
830,0.00571
835,0.00522
840,0.00349
845,0.00464
850,0.0094
855,0.00125
860,0.03949
865,0.04145
870,0.04435
875,0.05619
880,0.07635
885,0.08227
890,0.06145
895,0.04285
900,0.03712
905,0.07008
910,0.0939
915,0.11501
920,0.09402
925,0.05523
930,0.03765
935,0.05158
940,0.04555
945,0.07447
950,0.06323
955,0.06374
960,0.05003
965,0.0366
970,0.03246
975,0.01706
980,0.02922
985,0.04388
990,0.01404
995,0.00239
1000,0.01019
1005,0.0474
1010,0.05894
1015,0.03285
1020,0.00572
1025,0.01445
1030,0.03586
1035,0.02869
1040,0.00374
1045,0.01393
1050,0.0236
1055,0.04199
1060,0.00218
1065,0.00863
1070,0.02287
1075,0.02173
1080,0.00281
1085,0.03077
1090,0.01383
1095,0.04919
1100,0.0495
1105,0.0051
1110,0.031
1115,0.02133
1120,0.03257
1125,0.05651
1130,0.02768
1135,0.00364
1140,0.0379
1145,0.02738
1150,0.04874
1155,0.02749
1160,0.01635
1165,0.03031
1170,0.01521
1175,0.01823
1180,0.02397
1185,0.01366
1190,0.05987
1195,0.14811
1200,0.15435
1205,0.07468
1210,0.03652
1215,0.06751
1220,0.0358
1225,0.00699
1230,0.06928
1235,0.12166
1240,0.10808
1245,0.07461
1250,0.00908
1255,0.07525
1260,0.0807
1265,0.02265
1270,0.0453
1275,0.12389
1280,0.13336
1285,0.1128
1290,0.11165
1295,0.11363
1300,0.08088
1305,0.02191
1310,0.00104
1315,0.06229
1320,0.20402
1325,0.3515
1330,3.95E-01
1335,0.32651
1340,0.13206
1345,0.05623
1350,0.03767
1355,0.18111
1360,0.35685
1365,4.40E-01
1370,0.32544
1375,0.33697
1380,0.57476
1385,0.50753
1390,0.43156
1395,0.58931
1400,0.69932
1405,0.78032
1410,0.86007
1415,1.00073
1420,1.11615
1425,1.19704
1430,1.26982
1435,1.34148
1440,1.48E+00
1445,1.6734
1450,1.82161
1455,1.92896
1460,2.04674
1465,2.22575
1470,2.44191
1475,2.65303
1480,2.88643
1485,3.12588
1490,3.37489
1495,3.60647
1500,3.8257
1505,4.0916
1510,4.40855
1515,4.74148
1520,5.0347
1525,5.32922
1530,5.67415
1535,6.06727
1540,6.46274
1545,6.84E+00
1550,7.20798
1555,7.59807
1560,8.04437
1565,8.50438
1570,8.94802
1575,9.39963
1580,9.87091
1585,10.34582
1590,1.08E+01
1595,1.14E+01
1600,1.19E+01
1605,12.4611
1610,12.96429
1615,13.48139
1620,14.0376
1625,14.59894
1630,15.18101
1635,15.75706
1640,16.29151
1645,16.83289
1650,17.42099
1655,18.03374
1660,18.63682
1665,19.2663
1670,19.92292
1675,20.5602
1680,21.15678
1685,21.7328
1690,22.34038
1695,22.97255
1700,23.59941
1705,24.18139
1710,24.74462
1715,25.35923
1720,2.60E+01
1725,26.55433
1730,27.12506
1735,27.70853
1740,28.29506
1745,28.87551
1750,29.43386
1755,29.96915
1760,30.47925
1765,31.04502
1770,3.17E+01
1775,32.38196
1780,32.9382
1785,33.4289
1790,33.92605
1795,3.44E+01
1800,3.49E+01
1805,35.39792
1810,35.90082
1815,36.37496
1820,36.79507
1825,37.27608
1830,37.78094
1835,38.34484
1840,38.8342
1845,39.4881
1850,39.90954
1855,40.08841
1860,40.31897
1865,40.97193
1870,41.79107
1875,42.15246
1880,42.41562
1885,42.70513
1890,43.00731
1895,43.39685
1900,43.77605
1905,44.03337
1910,44.31445
1915,44.62204
1920,45.04012
1925,45.46554
1930,45.78051
1935,46.11997
1940,46.3929
1945,46.64437
1950,46.92758
1955,47.17235
1960,47.3802
1965,47.59039
1970,47.82815
1975,4.80E+01
1980,4.82E+01
1985,4.84E+01
1990,48.56809
1995,48.75969
2000,48.97671
2005,49.15127
2010,49.31557
2015,49.47864
2020,49.64142
2025,49.82162
2030,50.00914
2035,50.17866
2040,50.33575
2045,50.49652
2050,50.66052
2055,50.78972
2060,50.90967
2065,51.05561
2070,5.12E+01
2075,5.14E+01
2080,51.51004
2085,5.16E+01
2090,51.7733
2095,51.89541
2100,52.0161
2105,52.1156
2110,52.22068
2115,52.3232
2120,52.40828
2125,52.49927
2130,52.54505
2135,52.59179
2140,52.58802
2145,52.55989
2150,52.48067
2155,52.33526
2160,52.13898
2165,51.92472
2170,51.61873
2175,51.25098
2180,50.87544
2185,50.47179
2190,50.0403
2195,49.66181
2200,49.36334
2205,49.11346
2210,48.86799
2215,48.59271
2220,48.34464
2225,48.08587
2230,47.84169
2235,47.60356
2240,47.38447
2245,47.20591
2250,46.99752
2255,46.81999
2260,46.67665
2265,46.53325
2270,46.37357
2275,46.25563
2280,46.13246
2285,46.01669
2290,45.9434
2295,45.87998
2300,45.78186
2305,45.69687
2310,45.61325
2315,45.577
2320,45.55757
2325,45.50046
2330,45.40276
2335,45.34572
2340,45.32941
2345,45.26415
2350,45.18435
2355,45.15938
2360,45.08608
2365,45.02356
2370,44.95914
2375,44.89264
2380,44.82942
2385,44.74266
2390,44.62321
2395,44.52414
2400,44.42077
2405,44.2972
2410,44.18991
2415,44.05246
2420,43.90265
2425,43.743
2430,43.58715
2435,43.39022
2440,43.16491
2445,42.96113
2450,42.73183
2455,42.43148
2460,42.16199
2465,41.87657
2470,41.52849
2475,41.15231
2480,40.7443
2485,40.34016
2490,39.92071
2495,39.49193
2500,39.01408
2505,38.52982
2510,38.03244
2515,37.48299
2520,36.84571
2525,36.36662
2530,35.97208
2535,35.50359
2540,3.50E+01
2545,34.58076
2550,33.91723
2555,33.3578
2560,3.31E+01
2565,3.28E+01
2570,3.22E+01
2575,3.17E+01
2580,31.25839
2585,30.89434
2590,30.54226
2595,30.17353
2600,29.87924
