wavelength,transmission
200,0.00928
205,0.0
210,0.00388
215,0.00143
220,0.00329
225,0.00272
230,0.000869
235,0.000762
240,0.0011
245,0.00572
250,0.00187
255,0.00132
260,0.00186
265,0.00954
270,0.00307
275,0.05713
280,0.26391
285,0.83081
290,2.21169
295,4.94853
300,9.67398
305,16.43791
310,25.07452
315,34.60735
320,44.50996
325,53.55393
330,61.47294
335,67.64438
340,72.29011
345,75.72287
350,79.19502
355,82.18226
360,83.96444
365,85.08388
370,85.90203
375,86.28512
380,86.31525
385,86.02732
390,85.23233
395,84.1446
400,83.09266
405,82.44882
410,81.87224
415,81.38022
420,80.72091
425,80.60098
430,81.03061
435,81.54941
440,81.98245
445,82.32485
450,82.31819
455,82.0329
460,81.85843
465,82.26031
470,82.6839
475,83.05835
480,83.25268
485,83.44438
490,83.74769
495,83.8713
500,83.77439
505,83.79035
510,83.44905
515,83.0433
520,82.74049
525,82.48471
530,82.39166
535,82.4586
540,82.77723
545,83.36014
550,83.74613
555,83.96373
560,83.84863
565,83.74142
570,83.48129
575,83.12416
580,82.59422
585,81.99074
590,81.23233
595,80.29918
600,79.2181
605,78.10448
610,76.86788
615,75.49521
620,73.9072
625,72.31203
630,70.55791
635,68.76013
640,66.77711
645,64.8266
650,62.74995
655,60.7095
660,58.54955
665,56.42489
670,54.19694
675,51.96314
680,49.53264
685,47.1284
690,44.61493
695,42.16894
700,39.66484
705,37.26678
710,34.87882
715,32.60189
720,30.33264
725,28.19779
730,26.0988
735,24.10284
740,22.15186
745,20.32802
750,18.53871
755,16.87096
760,15.26609
765,13.80628
770,12.4006
775,11.12713
780,9.91909
785,8.84881
790,7.83816
795,6.95238
800,6.11837
805,5.39637
810,4.72528
815,4.14591
820,3.61192
825,3.15313
830,2.72902
835,2.37606
840,2.05197
845,1.77294
850,1.52547
855,1.3222
860,1.13024
865,0.97977
870,0.84817
875,0.7618
880,0.67512
885,0.60509
890,0.52446
895,0.43807
900,0.37359
905,0.33741
910,0.31132
915,0.29262
920,0.24398
925,0.20991
930,0.16484
935,0.16109
940,0.15414
945,0.16266
950,0.13822
955,0.1228
960,0.10765
965,0.08704
970,0.08832
975,0.06053
980,0.0702
985,0.06904
990,0.04763
995,0.0288
1000,0.02579
1005,0.02536
1010,0.02651
1015,0.03067
1020,0.03784
1025,0.04178
1030,0.0131
1035,0.02931
1040,0.03908
1045,0.03628
1050,0.00572
1055,0.02754
1060,0.03908
1065,0.0105
1070,0.00416
1075,0.01757
1080,0.02485
1085,0.00499
1090,0.02246
1095,0.01321
1100,0.03431
1105,0.03141
1110,0.00239
1115,0.00603
1120,0.04059
1125,0.01561
1130,0.00125
1135,0.02788
1140,0.01249
1145,0.04685
1150,0.04468
1155,0.07707
1160,0.05416
1165,0.02698
1170,0.01344
1175,0.0123
1180,0.01417
1185,0.00719
1190,0.0461
1195,0.11964
1200,0.1531
1205,0.11755
1210,0.000522
1215,0.07346
1220,0.08058
1225,0.02953
1230,0.03934
1235,0.09662
1240,0.11799
1245,0.08994
1250,0.02119
1255,0.06429
1260,0.0951
1265,0.03883
1270,0.00428
1275,0.05678
1280,0.10811
1285,0.09808
1290,0.06584
1295,0.02045
1300,0.01242
1305,0.01972
1310,0.02891
1315,0.0048
1320,0.07427
1325,0.19551
1330,2.68E-01
1335,0.18709
1340,0.05007
1345,0.25349
1350,0.25023
1355,0.07104
1360,0.08324
1365,1.41E-01
1370,0.03296
1375,0.10248
1380,0.12741
1385,0.10532
1390,0.07048
1395,0.03419
1400,0.01567
1405,0.0024
1410,0.05038
1415,0.0729
1420,0.0438
1425,0.02034
1430,0.02889
1435,0.04715
1440,4.30E-02
1445,0.01742
1450,0.01085
1455,0.04258
1460,0.0432
1465,0.00689
1470,0.03109
1475,0.05684
1480,0.08323
1485,0.10357
1490,0.08948
1495,0.03535
1500,0.00219
1505,0.01168
1510,0.01543
1515,0.03232
1520,0.01147
1525,0.01241
1530,0.04682
1535,0.04797
1540,0.01721
1545,2.08E-02
1550,0.05622
1555,0.0633
1560,0.04463
1565,0.03096
1570,0.00646
1575,0.0097
1580,0.00448
1585,0.0295
1590,5.57E-02
1595,4.39E-02
1600,2.80E-02
1605,0.03899
1610,0.04514
1615,0.04879
1620,0.04535
1625,0.05182
1630,0.05892
1635,0.07091
1640,0.06747
1645,0.01951
1650,0.01221
1655,0.0072
1660,0.04237
1665,0.06532
1670,0.05832
1675,0.06083
1680,0.08891
1685,0.07587
1690,0.04362
1695,0.04801
1700,0.08527
1705,0.11145
1710,0.08379
1715,0.04363
1720,4.53E-02
1725,0.06858
1730,0.09051
1735,0.11286
1740,0.12757
1745,0.10898
1750,0.0665
1755,0.00992
1760,0.01316
1765,0.04021
1770,1.60E-01
1775,0.29869
1780,0.29447
1785,0.22175
1790,0.21448
1795,1.88E-01
1800,1.51E-01
1805,0.12859
1810,0.13245
1815,0.11139
1820,0.02393
1825,0.00596
1830,0.00419
1835,0.13072
1840,0.1435
1845,0.36849
1850,0.32198
1855,0.03278
1860,0.32033
1865,0.04158
1870,0.54082
1875,0.4918
1880,0.24523
1885,0.0682
1890,0.0546
1895,0.02726
1900,0.04708
1905,0.0542
1910,0.16772
1915,0.20802
1920,0.04665
1925,0.14983
1930,0.18376
1935,0.24473
1940,0.24705
1945,0.2177
1950,0.2256
1955,0.2303
1960,0.2262
1965,0.2032
1970,0.19475
1975,0.17616
1980,0.1527
1985,0.11015
1990,0.08509
1995,0.11524
2000,0.13611
2005,0.12185
2010,0.10045
2015,0.07621
2020,0.07245
2025,0.08045
2030,0.09054
2035,0.09508
2040,0.09016
2045,0.08564
2050,0.09553
2055,0.10539
2060,0.10391
2065,0.06388
2070,0.04969
2075,0.08846
2080,0.10203
2085,0.1075
2090,0.10773
2095,0.09701
2100,0.08916
2105,0.08096
2110,0.07939
2115,0.08181
2120,0.09264
2125,0.09402
2130,0.07992
2135,0.08889
2140,0.10075
2145,0.08498
2150,0.07426
2155,0.06187
2160,0.08145
2165,0.13827
2170,0.17524
2175,0.15913
2180,0.14358
2185,0.09712
2190,0.01684
2195,0.03526
2200,0.004
2205,0.05139
2210,0.09538
2215,0.07842
2220,0.08378
2225,0.10062
2230,0.0939
2235,0.12175
2240,0.1067
2245,0.07794
2250,0.09893
2255,0.12621
2260,0.11012
2265,0.07891
2270,0.09677
2275,0.12166
2280,0.14555
2285,0.12476
2290,0.11825
2295,0.15239
2300,0.14164
