wavelength,transmission
1800,20.70771
1795,20.6
1790,20.54716
1785,20.50542
1780,20.48591
1775,20.5181
1770,20.46289
1765,20.41642
1760,20.38733
1755,20.34444
1750,20.30695
1745,20.28316
1740,20.25001
1735,20.21859
1730,20.19632
1725,20.18194
1720,20.18989
1715,20.14609
1710,20.02156
1705,1.99E+01
1700,19.86082
1695,19.85843
1690,19.84879
1685,19.76855
1680,19.61442
1675,19.49499
1670,19.39606
1665,19.28072
1660,19.14709
1655,19.03848
1650,18.95029
1645,18.78969
1640,18.66831
1635,18.53247
1630,18.36309
1625,18.16626
1620,18.0458
1615,17.90244
1610,17.7513
1605,17.55616
1600,17.46436
1595,17.32057
1590,17.15643
1585,17.00986
1580,16.81519
1575,16.70559
1570,16.6278
1565,16.53676
1560,16.42249
1555,16.28946
1550,16.22848
1545,16.17693
1540,16.06527
1535,16.01543
1530,16.03137
1525,16.05211
1520,15.97588
1515,15.89697
1510,15.88884
1505,15.95816
1500,16.00113
1495,16.04726
1490,16.0386
1485,16.06664
1480,16.15167
1475,16.20784
1470,16.24403
1465,16.28312
1460,16.29792
1455,16.3514
1450,16.43843
1445,16.49087
1440,16.52996
1435,16.57183
1430,16.62064
1425,16.62335
1420,16.64465
1415,16.68762
1410,16.75879
1405,16.769
1400,16.73338
1395,16.70488
1390,16.63944
1385,16.5572
1380,16.51776
1375,16.48479
1370,16.42794
1365,16.38733
1360,16.36154
1355,16.33547
1350,16.29594
1345,16.27756
1340,16.27212
1335,16.26319
1330,16.27675
1325,16.33794
1320,16.44934
1315,16.54175
1310,16.64515
1305,16.77852
1300,16.93529
1295,17.10239
1290,1.73E+01
1285,17.59286
1280,17.88731
1275,18.19939
1270,18.55108
1265,18.9372
1260,19.34258
1255,19.7837
1250,20.27624
1245,20.80028
1240,21.35147
1235,21.96036
1230,22.60861
1225,23.24686
1220,23.89765
1215,24.55317
1210,25.28677
1205,26.07225
1200,26.87129
1195,27.72008
1190,28.57028
1185,29.44166
1180,30.35139
1175,31.2351
1170,32.08719
1165,32.93978
1160,33.83855
1155,34.76601
1150,35.66908
1145,36.53526
1140,37.37446
1135,38.2077
1130,39.01881
1125,39.82212
1120,40.60504
1115,41.32778
1110,42.03771
1105,42.7028
1100,43.28649
1095,43.82643
1090,44.32251
1085,44.77122
1080,45.15835
1075,45.49398
1070,45.79421
1065,46.02714
1060,46.16202
1055,46.26946
1050,46.3316
1045,46.28297
1040,46.20099
1035,46.11128
1030,45.95652
1025,45.73024
1020,45.49481
1015,45.24681
1010,44.92974
1005,44.5734
1000,44.18694
995,43.78878
990,43.3698
985,42.92737
980,42.51207
975,42.11654
970,41.70621
965,41.29849
960,40.89634
955,40.49169
950,40.1037
945,39.73862
940,39.3881
935,39.06394
930,38.77232
925,38.5018
920,38.23575
915,37.99575
910,37.78091
905,37.59619
900,37.45449
895,37.32524
890,37.20544
885,37.112
880,37.03541
875,36.99984
870,3.70E+01
865,36.97945
860,37.00958
855,37.00609
850,37.05746
845,37.2048
840,37.38888
835,37.62478
830,37.91561
825,38.26535
820,38.68644
815,39.19535
810,39.78455
805,40.46198
800,41.25101
795,42.14655
790,43.15854
785,44.29981
780,45.54317
775,46.90419
770,48.40077
765,49.98477
760,51.6536
755,53.40867
750,55.21876
745,57.03036
740,58.7949
735,60.45583
730,61.94382
725,63.10895
720,63.74486
715,63.67407
710,62.67657
705,60.68988
700,57.6097
695,53.03753
690,46.67309
685,38.84095
680,30.29167
675,21.74046
670,13.96836
665,7.92046
660,3.9673
655,1.7815
650,0.74032
645,0.29748
640,0.12283
635,5.94E-02
630,3.33E-02
625,0.02046
620,0.0133
615,0.01267
610,0.01319
605,0.00842
600,0.00499
595,0.00478
590,0.00447
585,0.00166
580,-1.04E-04
575,0.00229
570,0.00893
565,2.06E-02
560,3.51E-02
555,5.12E-02
550,0.06027
545,0.06348
540,0.06286
535,0.06554
530,0.07704
525,0.10288
520,0.16077
515,0.259
510,0.38741
505,0.5403
500,0.75163
495,1.02917
490,1.2961
485,1.52723
480,1.72E+00
475,1.9237
470,2.1828
465,2.40999
460,2.51355
455,2.47933
450,2.35E+00
445,2.21407
440,2.15348
435,2.24699
430,2.61393
425,3.45385
420,4.99782
415,7.65743
410,1.22E+01
405,1.96E+01
400,3.00E+01
395,42.26174
390,54.435
385,64.46903
380,71.60329
375,76.20853
370,78.87057
365,80.47259
360,81.48362
355,82.10293
350,82.55599
345,82.9697
340,83.30832
335,83.61953
330,83.81937
325,83.84731
320,83.62967
315,85.80676
310,87.05264
305,86.85987
300,86.60376
295,86.19652
290,85.61083
285,84.80501
280,83.91334
275,82.62589
270,80.74937
265,78.93928
260,77.17495
255,74.58202
250,70.24758
245,63.26713
240,52.28738
235,3.70E+01
230,1.94E+01
225,6.11857
220,0.87329
215,2.50E-02
210,-0.0017
205,9.50E-05
200,1.03E-03
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
