wavelength,transmission
3254,0.168
3315.42,0.326
3379.4,0.325
3438.26,0.8
3491.99,2.702
3515.01,6.348
3525.23,10.152
3532.89,14.115
3537.98,18.079
3543.08,22.042
3548.18,26.005
3550.72,29.968
3553.26,33.931
3555.8,37.894
3558.34,41.857
3560.88,45.82
3563.42,49.783
3568.52,53.746
3571.06,57.71
3573.6,61.673
3576.14,65.636
3578.68,69.599
3583.78,73.562
3588.88,77.367
3601.66,81.33
3647.73,80.695
3675.86,84.341
3701.44,87.828
3755.17,89.571
3816.59,90.68
3875.45,91.948
3934.3,93.215
3990.6,95.117
4049.45,96.226
4110.87,96.067
4172.29,96.542
4233.71,97.492
4297.69,97.016
4356.56,95.588
4415.43,94.319
4476.85,94.953
4535.7,96.22
4597.12,97.171
4658.54,97.17
4719.96,96.852
4783.94,96.693
4845.37,96.375
4909.35,96.058
4970.77,95.106
5029.64,93.837
5091.07,92.568
5152.49,91.775
5213.92,91.298
5275.34,91.139
5336.76,90.663
5398.19,90.028
5459.61,89.235
5521.04,88.758
5582.46,88.282
5643.88,87.964
5705.3,87.805
5766.73,87.17
5825.59,86.218
5884.46,85.108
5940.77,83.839
