wavelength,transmission
7807.54,0.119
8008.65,0.119
8209.76,0.119
8410.88,0.119
8579.83,0.754
8676.46,3.927
8708.76,7.894
8733.01,11.862
8741.17,15.829
8749.34,19.796
8757.5,23.763
8764.84,27.817
8775.1,31.697
8781.99,35.664
8790.16,39.631
8798.32,43.598
8806.49,47.565
8814.65,51.532
8819.91,57.875
8826.48,64.203
8856.94,68.517
8896.76,65.683
8933.42,63.731
8970.19,65.62
9000.21,69.305
9024.46,73.272
9048.72,77.239
9072.96,81.047
9097.22,85.014
9169.69,87.395
9241.98,83.745
9338.41,80.413
9451.13,83.428
9531.68,87.077
9636.36,90.41
9813.31,89.616
9974.14,87.553
10159.16,87.553
10320.12,89.934
10473.05,92.473
10658.07,92.631
10826.95,90.727
11003.89,89.616
11180.92,91.203
11365.98,92.314
11510.71,89.934
11623.23,86.76
11743.8,83.428
11872.43,80.73
12065.5,80.889
12202.34,83.586
12331.14,86.601
12467.98,89.458
12653.02,90.092
12805.8,87.712
12958.57,85.332
13119.39,83.11
13304.42,83.11
13473.41,85.014
13634.36,87.236
13811.38,88.664
13996.38,87.712
14173.3,85.808
14334.12,83.586
14519.12,82.634
14712.18,82.476
14897.22,83.269
15058.18,85.49
15235.17,85.808
15371.84,82.952
15460.22,79.461
15556.65,75.97
15693.33,73.431
15870.28,72.478
16039.15,70.416
16199.98,68.353
16352.76,66.131
