wavelength ,transmission
2600,68.898863
2599,68.944185
2598,69.010634
2597,69.036807
2596,69.073004
2595,69.112297
2594,69.169748
2593,69.196386
2592,69.237892
2591,69.242971
2590,69.297189
2589,69.357568
2588,69.409394
2587,69.429059
2586,69.495537
2585,69.519639
2584,69.544878
2583,69.555675
2582,69.567226
2581,69.653827
2580,69.713394
2579,69.743468
2578,69.776723
2577,69.790772
2576,69.797042
2575,69.844355
2574,69.910974
2573,69.914761
2572,69.949306
2571,69.978001
2570,70.027992
2569,70.069428
2568,70.087872
2567,70.11982
2566,70.129101
2565,70.155284
2564,70.170755
2563,70.210005
2562,70.257661
2561,70.281329
2560,70.29769
2559,70.320407
2558,70.336256
2557,70.367155
2556,70.431737
2555,70.452098
2554,70.492447
2553,70.539721
2552,70.571538
2551,70.587491
2550,70.599067
2549,70.648415
2548,70.657
2547,70.681298
2546,70.692016
2545,70.735199
2544,70.754285
2543,70.806659
2542,70.833125
2541,70.85968
2540,70.889993
2539,70.928388
2538,70.946326
2537,70.983653
2536,70.986404
2535,70.995639
2534,71.012215
2533,71.073738
2532,71.098523
2531,71.143735
2530,71.139816
2529,71.147966
2528,71.153505
2527,71.216356
2526,71.245918
2525,71.287215
2524,71.311966
2523,71.323633
2522,71.347786
2521,71.401238
2520,71.441024
2519,71.45866
2518,71.488934
2517,71.504061
2516,71.530815
2515,71.567252
2514,71.605919
2513,71.630844
2512,71.668211
2511,71.68823
2510,71.724746
2509,71.755007
2508,71.788925
2507,71.818651
2506,71.86572
2505,71.916798
2504,71.965208
2503,71.997721
2502,72.015419
2501,72.044328
2500,72.086948
2499,72.117498
2498,72.170105
2497,72.187345
2496,72.230861
2495,72.2795
2494,72.297921
2493,72.360526
2492,72.409881
2491,72.46329
2490,72.498271
2489,72.528764
2488,72.580411
2487,72.634873
2486,72.678489
2485,72.711639
2484,72.762409
2483,72.805561
2482,72.854698
2481,72.910325
2480,72.969706
2479,73.017372
2478,73.039591
2477,73.088323
2476,73.146145
2475,73.207954
2474,73.261563
2473,73.313833
2472,73.377564
2471,73.419304
2470,73.471491
2469,73.541146
2468,73.60182
2467,73.673367
2466,73.730022
2465,73.771488
2464,73.834574
2463,73.905251
2462,73.965176
2461,74.019702
2460,74.069952
2459,74.113913
2458,74.166472
2457,74.227388
2456,74.304435
2455,74.382803
2454,74.437888
2453,74.4841
2452,74.534795
2451,74.592528
2450,74.649589
2449,74.699679
2448,74.763717
2447,74.812054
2446,74.853156
2445,74.915108
2444,74.985037
2443,75.030686
2442,75.068432
