wavelength,transmission 
2600,81.50455
2599,81.3248
2598,81.17017
2597,81.02916
2596,80.88517
2595,80.70893
2594,80.5317
2593,80.37254
2592,80.25676
2591,80.10195
2590,80.00359
2589,79.88017
2588,79.75341
2587,79.69056
2586,79.64345
2585,79.51755
2584,79.45483
2583,79.40342
2582,79.36772
2581,79.41385
2580,79.41603
2579,79.40832
2578,79.42479
2577,79.47692
2576,79.50996
2575,79.57313
2574,79.65685
2573,79.70565
2572,79.76664
2571,79.87153
2570,79.97809
2569,80.11285
2568,80.26546
2567,80.41068
2566,80.52302
2565,80.65741
2564,80.80453
2563,80.94962
2562,81.06987
2561,81.19897
2560,81.27853
2559,81.38346
2558,81.5145
2557,81.58957
2556,81.71017
2555,81.80291
2554,81.8604
2553,81.93752
2552,82.02591
2551,82.08034
2550,82.10912
2549,82.12993
2548,82.12661
2547,82.06071
2546,82.04225
2545,82.04584
2544,81.98407
2543,81.90157
2542,81.75829
2541,81.62878
2540,81.5283
2539,81.47122
2538,81.33821
2537,81.21876
2536,81.08583
2535,80.91451
2534,80.76525
2533,80.6272
2532,80.44385
2531,80.24869
2530,80.10645
2529,79.96346
2528,79.82233
2527,79.71553
2526,79.58794
2525,79.46437
2524,79.32093
2523,79.19026
2522,79.11049
2521,79.05796
2520,78.9828
2519,78.94578
2518,78.88255
2517,78.86691
2516,78.8821
2515,78.92702
2514,78.97556
2513,79.03424
2512,79.09792
2511,79.18664
2510,79.29206
2509,79.45487
2508,79.6051
2507,79.75461
2506,79.95704
2505,80.17918
2504,80.40435
2503,80.65213
2502,80.93271
2501,81.17921
2500,81.43185
2499,81.67453
2498,81.9608
2497,82.2403
2496,82.50926
2495,82.77564
2494,83.03618
2493,83.26131
2492,83.49052
2491,83.71535
2490,83.93233
2489,84.1236
2488,84.28493
2487,84.41095
2486,84.50568
2485,84.60021
2484,84.66298
2483,84.66696
2482,84.66523
2481,84.60752
2480,84.51097
2479,84.39938
2478,84.26137
2477,84.06837
2476,83.87652
2475,83.63116
2474,83.3279
2473,83.00173
2472,82.65522
2471,82.27149
2470,81.85677
2469,81.44576
2468,81.02626
2467,80.5959
2466,80.12467
2465,79.64494
2464,79.17465
2463,78.73609
2462,78.27105
2461,77.81927
2460,77.39388
2459,76.99585
2458,76.59411
2457,76.22065
2456,75.86783
2455,75.51695
2454,75.19903
2453,74.90906
2452,74.65368
2451,74.4224
2450,74.23999
2449,74.0996
2448,73.97584
2447,73.8788
2446,73.8234
2445,73.82796
2444,73.85685
2443,73.93871
2442,74.04863
2441,74.20625
2440,74.39903
2439,74.6276
2438,74.9183
2437,75.26487
2436,75.65001
2435,76.05662
2434,76.50078
2433,76.99402
2432,77.51259
2431,78.06357
2430,78.66518
2429,79.29161
2428,79.91139
2427,80.55595
2426,81.23261
2425,81.94857
2424,82.66861
2423,83.36849
2422,84.07455
2421,84.77762
2420,85.47002
2419,86.12711
2418,86.7673
2417,87.40558
2416,87.99618
2415,88.53005
2414,89.0104
2413,89.42776
2412,89.81115
2411,90.14297
2410,90.41732
2409,90.64952
2408,90.82681
2407,90.92245
2406,90.95087
2405,90.8986
2404,90.79293
2403,90.62647
2402,90.40199
2401,90.12395
2400,89.79943
2399,89.4146
2398,88.98392
2397,88.52415
2396,88.02942
2395,87.50441
2394,86.9647
2393,86.40476
2392,85.83276
2391,85.26676
2390,84.70485
2389,84.13792
2388,83.59519
2387,83.07829
2386,82.58636
2385,82.10274
2384,81.66263
2383,81.26461
2382,80.89193
2381,80.57221
2380,80.29356
2379,80.06364
2378,79.90208
2377,79.77209
2376,79.69267
2375,79.66545
2374,79.67921
2373,79.73877
2372,79.86622
2371,80.02885
2370,80.21025
2369,80.45439
2368,80.75605
2367,81.09101
2366,81.47607
2365,81.93133
2364,82.43151
2363,82.92232
2362,83.44633
2361,84.01965
2360,84.63232
2359,85.2865
2358,85.93679
2357,86.58473
2356,87.23731
2355,87.92276
2354,88.56752
2353,89.22175
2352,89.8561
2351,90.47175
2350,91.02049
2349,91.53026
2348,91.99437
2347,92.43109
2346,92.77822
2345,93.04598
2344,93.2548
2343,93.43338
2342,93.52242
2341,93.52005
2340,93.4337
2339,93.31952
2338,93.13938
2337,92.88591
2336,92.55334
2335,92.15814
2334,91.74966
2333,91.2833
2332,90.7838
2331,90.24503
2330,89.70767
2329,89.11798
2328,88.50599
2327,87.86754
2326,87.29051
2325,86.66448
2324,86.08787
2323,85.50596
2322,84.93212
2321,84.40429
2320,83.89054
2319,83.40422
2318,82.99805
