wavelength ,transmission 
2600,83.24907
2599,83.47359
2598,83.80483
2597,84.23251
2596,84.76769
2595,85.30360
2594,85.89760
2593,86.51406
2592,87.12267
2591,87.73191
2590,88.32776
2589,88.87059
2588,89.40662
2587,89.88704
2586,90.31029
2585,90.65452
2584,90.93213
2583,91.13498
2582,91.35473
2581,91.42246
2580,91.43716
2579,91.33612
2578,91.16428
2577,90.97580
2576,90.68825
2575,90.37433
2574,89.96660
2573,89.40479
2572,88.77072
2571,88.11937
2570,87.28421
2569,86.46515
2568,85.61298
2567,84.79065
2566,83.96601
2565,83.22884
2564,82.45535
2563,81.78045
2562,81.17667
2561,80.66732
2560,80.21910
2559,79.85036
2558,79.55909
2557,79.34022
2556,79.19999
2555,79.10117
2554,79.08856
2553,79.15542
2552,79.29575
2551,79.51348
2550,79.86937
2549,80.29962
2548,80.81184
2547,81.37008
2546,81.94247
2545,82.56012
2544,83.20844
2543,83.87055
2542,84.52269
2541,85.22396
2540,85.91092
2539,86.58038
2538,87.28455
2537,87.95391
2536,88.64417
2535,89.29279
2534,89.88140
2533,90.41904
2532,90.87744
2531,91.32296
2530,91.64341
2529,91.86084
2528,92.07940
2527,92.19825
2526,92.23383
2525,92.27852
2524,92.25440
2523,92.17716
2522,92.03350
2521,91.86041
2520,91.68406
2519,91.47567
2518,91.22691
2517,91.01844
2516,90.80836
2515,90.55492
2514,90.34860
2513,90.17563
2512,90.04913
2511,89.95481
2510,89.86297
2509,89.80784
2508,89.78886
2507,89.79303
2506,89.84168
2505,89.91763
2504,90.02345
2503,90.13837
2502,90.23977
2501,90.33656
2500,90.44747
2499,90.59414
2498,90.76751
2497,90.91219
2496,91.06420
2495,91.17871
2494,91.25993
2493,91.33564
2492,91.41722
2491,91.49370
2490,91.55379
2489,91.59787
2488,91.65033
2487,91.67773
2486,91.66284
2485,91.65287
2484,91.68906
2483,91.73168
2482,91.74406
2481,91.75719
2480,91.77824
2479,91.78654
2478,91.80335
2477,91.83293
2476,91.89017
2475,91.92476
2474,91.97234
2473,91.99921
2472,92.03699
2471,92.05145
2470,92.05834
2469,92.04483
2468,92.01302
2467,91.92104
2466,91.78553
2465,91.59074
2464,91.36932
2463,91.11669
2462,90.78567
2461,90.39520
2460,89.96633
2459,89.49758
2458,88.99224
2457,88.42867
2456,87.82942
2455,87.16391
2454,86.47920
2453,85.78343
2452,85.08287
2451,84.39740
2450,83.70308
2449,83.02226
2448,82.38546
2447,81.78596
2446,81.22471
2445,80.69865
2444,80.21894
2443,79.83314
2442,79.51082
2441,79.22640
2440,79.01372
2439,78.88449
2438,78.84236
2437,78.88646
2436,79.02807
2435,79.23478
2434,79.47880
2433,79.77985
2432,80.13652
2431,80.57814
2430,81.05939
2429,81.55508
2428,82.05729
2427,82.55703
2426,83.05336
2425,83.50339
2424,83.90908
2423,84.26728
2422,84.57601
2421,84.80198
2420,84.93610
2419,84.98692
2418,84.95797
2417,84.85819
2416,84.70394
2415,84.45137
2414,84.07977
2413,83.66567
2412,83.19140
2411,82.64445
2410,82.12058
2409,81.58863
2408,81.00269
2407,80.43024
2406,79.87263
2405,79.32186
2404,78.83287
2403,78.38173
2402,77.97278
2401,77.65216
2400,77.39920
2399,77.22479
2398,77.12664
2397,77.10525
2396,77.16236
2395,77.26535
2394,77.45452
2393,77.73647
2392,78.06869
2391,78.46157
2390,78.91566
2389,79.40060
2388,79.92772
2387,80.48109
2386,81.00578
2385,81.53148
2384,82.04529
2383,82.51650
2382,82.94070
2381,83.33939
2380,83.68208
2379,83.99759
2378,84.23557
2377,84.38878
2376,84.50062
2375,84.57569
2374,84.59560
2373,84.56118
2372,84.54832
2371,84.51542
2370,84.42559
2369,84.32987
2368,84.23085
2367,84.15487
2366,84.11227
2365,84.07566
2364,84.08712
2363,84.15487
2362,84.27374
2361,84.42569
2360,84.62369
2359,84.84774
2358,85.11576
2357,85.42287
2356,85.76760
2355,86.13260
2354,86.49188
2353,86.84259
2352,87.15117
2351,87.44791
2350,87.69493
2349,87.89676
2348,88.06823
2347,88.18406
2346,88.22294
2345,88.16912
2344,88.02758
2343,87.81883
2342,87.52573
2341,87.20369
2340,86.85356
2339,86.47675
2338,86.07022
2337,85.65080
2336,85.23695
2335,84.83474
2334,84.47029
2333,84.16678
2332,83.92589
2331,83.70269
2330,83.54583
2329,83.48984
2328,83.51400
2327,83.59435
2326,83.75981
2325,83.99147
2324,84.25535
2323,84.57053
2322,84.91608
2321,85.28689
2320,85.66030
2319,86.01844
2318,86.34307
2317,86.62281
2316,86.79533
2315,86.84034
2314,86.76483
2313,86.52970
