wavelength,transmission
0.23,32.05956
0.24,12.79264
0.25,16.80748
0.26,24.80127
0.27,33.42666
0.28,39.33633
0.29,40.28095
0.3,40.25924
0.31,39.47243
0.32,39.29734
0.33,41.82419
0.34,49.60088
0.35,61.03755
0.36,71.53332
0.37,79.17197
0.38,83.85685
0.39,86.73133
0.4,88.55549
0.41,89.75869
0.42,90.57527
0.43,91.09418
0.44,91.45408
0.45,91.66057
0.46,91.83429
0.47,91.9087
0.48,91.91974
0.49,91.82825
0.5,91.72228
0.51,91.55857
0.52,91.35656
0.53,91.0988
0.54,90.81507
0.55,90.48587
0.56,89.87606
0.57,89.49116
0.58,89.05861
0.59,88.59494
0.6,88.08464
0.61,87.55399
0.62,86.98691
0.63,86.35923
0.64,85.69449
0.65,84.99664
0.66,84.27653
0.67,83.50056
0.68,82.68347
0.69,81.83402
0.7,80.93554
0.71,79.99127
0.72,79.02747
0.73,77.99936
0.74,76.93077
0.75,75.86267
0.76,74.78868
0.77,73.68757
0.78,72.67067
0.79,71.6982
0.8,70.91248
0.81,70.27381
0.82,69.89287
0.83,69.78336
0.84,69.96844
0.85,70.4107
0.86,71.0801
0.87,71.93133
0.88,72.90515
0.89,73.11024
0.9,74.19009
0.91,75.21998
0.92,76.25676
0.93,77.26586
0.94,78.20329
0.95,79.09572
0.96,79.93578
0.97,80.76847
0.98,81.54983
0.99,82.24814
1,82.88332
1.01,83.49179
1.02,84.06963
1.03,84.64554
1.04,85.18072
1.05,85.65769
1.06,86.07669
1.07,86.50662
1.08,86.96504
1.09,87.37565
1.1,87.72427
1.11,88.05702
1.12,88.35545
1.13,88.68749
1.14,88.97335
1.15,89.22633
1.16,89.4732
1.17,89.71499
1.18,89.94626
1.19,90.12345
1.2,90.3352
1.21,90.59816
1.22,90.77156
1.23,90.96428
1.24,91.16304
1.25,91.26728
1.26,91.40866
1.27,91.62409
1.28,91.78054
1.29,91.9044
1.3,92.01728
1.31,92.1438
1.32,92.28664
1.33,92.39717
1.34,92.46209
1.35,92.53741
1.36,92.63839
1.37,92.7547
1.38,92.87103
1.39,92.96149
1.4,93.05742
1.41,93.16561
1.42,93.24925
1.43,93.29545
1.44,93.35418
1.45,93.45122
1.46,93.55953
1.47,93.63802
1.48,93.70262
1.49,93.7707
1.5,93.82945
1.51,93.88297
1.52,93.94203
1.53,93.98329
1.54,94.03981
1.55,94.12185
1.56,94.18375
1.57,94.23097
1.58,94.28882
1.59,94.34791
1.6,94.37789
1.61,94.41373
1.62,94.46519
1.63,94.48834
1.64,94.51047
1.65,94.55517
1.66,94.63174
1.67,94.68645
1.68,94.77372
1.69,94.824
1.7,94.82738
1.71,94.89165
1.72,94.95638
1.73,94.97442
1.74,94.98419
1.75,95.00162
1.76,94.99304
1.77,94.9639
1.78,94.9451
1.79,94.9242
1.8,94.92515
1.81,94.95214
1.82,95.02135
1.83,95.0882
1.84,95.12754
1.85,95.15513
1.86,95.18204
1.87,95.18075
1.88,95.1615
1.89,95.1282
1.9,95.12116
1.91,95.12136
1.92,95.11638
1.93,95.12046
1.94,95.1387
1.95,95.17433
1.96,95.22541
1.97,95.27977
1.98,95.33463
1.99,95.36761
2,95.37332
2.01,95.36372
2.02,95.32995
2.03,95.28466
2.04,95.24032
2.05,95.21215
2.06,95.19765
2.07,95.16063
2.08,95.15447
2.09,95.20252
2.1,95.24883
2.11,95.32558
2.12,95.37717
2.13,95.43998
2.14,95.49802
2.15,95.51503
2.16,95.53172
2.17,95.49594
2.18,95.47617
2.19,95.46786
2.2,95.41233
2.21,95.37083
2.22,95.33933
2.23,95.31193
2.24,95.2869
2.25,95.27495
2.26,95.29539
2.27,95.33066
2.28,95.34393
2.29,95.41097
2.3,95.47209
2.31,95.59291
2.32,95.64344
2.33,95.62134
2.34,95.64308
2.35,95.64433
2.36,95.66537
2.37,95.5789
2.38,95.56364
2.39,95.53948
2.4,95.49139
2.41,95.44296
2.42,95.45107
2.43,95.38924
2.44,95.33851
2.45,95.32911
2.46,95.28531
2.47,95.38315
2.48,95.3911
2.49,95.52371
2.5,95.48515
2.51,95.68044
2.52,95.66555
2.53,95.71403
2.54,95.71928
2.55,95.8776
2.56,95.66478
2.57,95.73789
2.58,95.5768
2.59,95.60735
2.6,95.80077
2.61973,96.021
2.62966,96.00588
2.63959,95.99094
2.64952,95.97619
2.65971,95.96121
2.66963,95.94682
2.67954,95.93261
2.68973,95.91818
2.69963,95.90433
2.70953,95.89066
2.7197,95.87677
2.72959,95.86344
2.73948,95.85028
2.74963,95.83693
2.75951,95.82411
2.76966,95.8111
2.77953,95.79862
2.78967,95.78595
2.79953,95.7738
2.80966,95.76147
2.81951,95.74964
2.82963,95.73764
2.83947,95.72613
2.84958,95.71446
2.85941,95.70326
2.86952,95.6919
2.87961,95.68071
2.88943,95.66997
2.89952,95.65909
2.9096,95.64836
2.91941,95.63808
2.92948,95.62765
2.93955,95.61738
2.94934,95.60753
2.9594,95.59756
2.96945,95.58773
2.9795,95.57804
2.98954,95.5685
2.99958,95.55911
3.00934,95.55011
3.01937,95.541
3.02939,95.53202
3.03941,95.52319
3.04942,95.51449
3.05943,95.50593
3.06943,95.49751
3.07943,95.48921
3.08943,95.48105
3.09941,95.47303
3.1094,95.46513
3.11937,95.45736
3.12934,95.44972
3.13931,95.44221
3.14927,95.43482
3.15923,95.42756
3.16945,95.42022
3.17939,95.4132
3.18934,95.40631
3.19927,95.39954
3.2092,95.39288
3.21939,95.38616
3.22931,95.37974
3.23922,95.37344
3.2494,95.36708
3.2593,95.361
3.2692,95.35504
3.27936,95.34903
3.28924,95.34329
3.29939,95.3375
3.30927,95.33198
3.31914,95.32657
3.32927,95.32112
3.33912,95.31592
3.34924,95.31068
3.35936,95.30555
3.3692,95.30066
3.3793,95.29574
3.38913,95.29106
3.39922,95.28634
3.4093,95.28173
3.41911,95.27734
3.42918,95.27293
3.43925,95.26861
3.44931,95.2644
3.4591,95.26039
3.46915,95.25637
3.47919,95.25244
3.48922,95.2486
3.49925,95.24486
3.50927,95.24121
3.51903,95.23775
3.52904,95.23428
3.53904,95.2309
3.54904,95.22761
3.55903,95.2244
3.56902,95.22128
3.579,95.21825
3.58923,95.21522
3.5992,95.21236
3.60916,95.20958
3.61911,95.20688
3.62906,95.20426
3.639,95.20172
3.6492,95.19919
3.65913,95.19682
3.66905,95.19451
3.67897,95.19229
3.68913,95.19008
3.69904,95.188
3.70893,95.18601
3.71908,95.18402
3.72896,95.18217
3.7391,95.18034
3.74897,95.17863
3.75909,95.17694
3.76895,95.17537
3.77906,95.17382
3.7889,95.17239
3.79899,95.17098
3.80908,95.16964
3.8189,95.1684
3.82898,95.16719
3.83904,95.16605
3.8491,95.16498
3.8589,95.164
3.86894,95.16305
3.87898,95.16216
3.88901,95.16134
3.89903,95.16058
3.90905,95.15987
3.91906,95.15923
3.9288,95.15867
3.9388,95.15814
3.94904,95.15765
3.95902,95.15724
3.96899,95.15688
3.97896,95.15658
3.98892,95.15633
3.99887,95.15614
4.00881,95.156
4.019,95.1559
4.02893,95.15587
4.03885,95.15588
4.04876,95.15594
4.05892,95.15606
4.06882,95.15622
4.07896,95.15643
4.08885,95.15669
4.09872,95.15699
4.10884,95.15735
4.1187,95.15774
4.12881,95.15819
4.1389,95.15868
4.14874,95.15921
4.15882,95.15979
4.16889,95.16042
4.1787,95.16107
4.18876,95.16178
4.19881,95.16254
4.20885,95.16333
4.21888,95.16416
4.22865,95.16502
4.23867,95.16593
4.24867,95.16687
4.25867,95.16786
4.26866,95.16888
4.27865,95.16994
4.28862,95.17104
4.29883,95.1722
4.30879,95.17336
4.31874,95.17456
4.32868,95.1758
4.33861,95.17706
4.34878,95.17839
4.3587,95.17972
4.3686,95.18108
4.37875,95.18251
4.38864,95.18393
4.39876,95.18542
4.40864,95.1869
