wavelength,transmission
0.23,32.05956
0.24,12.79264
0.25,16.80748
0.26,24.80127
0.27,33.42666
0.28,39.33633
0.3,21.60199
0.31,21.39887
0.32,36.95072
0.33,66.33795
0.34,83.17188
0.35,84.81982
0.36,83.3016
0.37,81.65155
0.38,82.19792
0.39,85.45037
0.4,88.71807
0.41,91.25043
0.42,93.09852
0.43,94.34188
0.44,95.12392
0.45,95.73861
0.46,96.07818
0.47,96.27313
0.48,96.43713
0.49,96.52764
0.5,96.55209
0.51,96.50419
0.52,96.42279
0.53,96.37185
0.54,96.33421
0.55,96.34123
0.56,96.21805
0.57,96.07214
0.58,95.904
0.59,95.85272
0.6,95.75384
0.61,95.73035
0.62,95.72144
0.63,95.7127
0.64,95.71157
0.65,95.72349
0.66,95.68295
0.67,95.66181
0.68,95.58834
0.69,95.57215
0.7,95.39356
0.71,95.20549
0.72,95.09069
0.73,95.14138
0.74,95.17128
0.75,95.26094
0.76,95.30012
0.77,95.34554
0.78,95.39596
0.79,95.47471
0.8,95.53123
0.81,95.78107
0.82,95.94608
0.83,95.96554
0.84,95.97104
0.85,96.11861
0.86,96.31097
0.87,96.34213
0.88,96.46647
0.89,96.51111
0.9,96.60538
0.91,96.63673
0.92,96.65579
0.93,96.7137
0.94,96.78773
0.95,96.84723
0.96,96.88112
0.97,96.90266
0.98,96.93297
0.99,96.97016
1,97.01422
1.01,97.05934
1.02,97.09801
1.03,97.15207
1.04,97.20977
1.05,97.24538
1.06,97.26743
1.07,97.29012
1.08,97.33862
1.09,97.37035
1.1,97.40065
1.11,97.43418
1.12,97.45601
1.13,97.49647
1.14,97.53817
1.15,97.56533
1.16,97.5786
1.17,97.60988
1.18,97.63232
1.19,97.64257
1.2,97.68021
1.21,97.70709
1.22,97.70758
1.23,97.75507
1.24,97.79703
1.25,97.80677
1.26,97.83409
1.27,97.86271
1.28,97.88515
1.29,97.91034
1.3,97.91726
1.31,97.9272
1.32,97.9599
1.33,97.97902
1.34,97.96649
1.35,97.98208
1.36,97.98515
1.37,98.01334
1.38,98.04948
1.39,98.06116
1.4,98.0691
1.41,98.08687
1.42,98.09829
1.43,98.11657
1.44,98.11229
1.45,98.13352
1.46,98.16698
1.47,98.17837
1.48,98.20194
1.49,98.19862
1.5,98.17338
1.51,98.18355
1.52,98.19344
1.53,98.19331
1.54,98.21376
1.55,98.21452
1.56,98.19184
1.57,98.18979
1.58,98.21208
1.59,98.21166
1.6,98.23722
1.61,98.27239
1.62,98.29176
1.63,98.29956
1.64,98.31581
1.65,98.31914
1.66,98.34766
1.67,98.34928
1.68,98.35663
1.69,98.38561
1.7,98.37451
1.71,98.39212
1.72,98.39579
1.73,98.35314
1.74,98.36053
1.75,98.33332
1.76,98.32271
1.77,98.31282
1.78,98.34846
1.79,98.34118
1.8,98.31576
1.81,98.33046
1.82,98.32699
1.83,98.34221
1.84,98.33144
1.85,98.33888
1.86,98.39184
1.87,98.38167
1.88,98.41867
1.89,98.42162
1.9,98.42724
1.91,98.45394
1.92,98.48641
1.93,98.50565
1.94,98.51619
1.95,98.5328
1.96,98.49712
1.97,98.51597
1.98,98.5152
1.99,98.55771
2,98.53192
2.01,98.55147
2.02,98.54165
2.03,98.58507
2.04,98.49855
2.05,98.47861
2.06,98.48048
2.07,98.47655
2.08,98.4452
2.09,98.43077
2.1,98.42801
2.11,98.40172
2.12,98.39905
2.13,98.37327
2.14,98.35844
2.15,98.33982
2.16,98.42947
2.17,98.42142
2.18,98.40447
2.19,98.44215
2.2,98.37181
2.21,98.43821
2.22,98.40268
2.23,98.34804
2.24,98.33822
2.25,98.45523
2.26,98.4846
2.27,98.49701
2.28,98.43358
2.29,98.40782
2.3,98.49192
2.31,98.571
2.32,98.43042
2.33,98.45456
2.34,98.45347
2.35,98.46225
2.36,98.53161
2.37,98.42774
2.38,98.48028
2.39,98.379
2.4,98.39566
2.41,98.50038
2.42,98.3561
2.43,98.41117
2.44,98.45449
2.45,98.31859
2.46,98.45216
2.47,98.20266
2.48,98.67474
2.49,98.43298
2.5,98.51074
2.51,98.50345
2.52,98.47551
2.53,98.33077
2.54,98.53713
2.55,98.3672
2.56,98.37758
2.57,98.3705
2.58,98.34861
2.59,98.32834
2.6,98.39774
2.60979,98.54432
2.61973,98.57427
2.62966,98.55443
2.63959,98.58479
2.64952,98.56535
2.65971,98.54557
2.66963,98.57652
2.67954,98.55765
2.68973,98.53844
2.69963,98.56993
2.70953,98.55159
2.7197,98.58293
2.72959,98.56493
2.73948,98.5971
2.74963,98.57895
2.75951,98.61144
2.76966,98.59362
2.77953,98.57642
2.78967,98.55892
2.79953,98.54203
2.80966,98.52485
2.81951,98.50826
2.82963,98.49138
2.83947,98.47509
2.84958,98.45851
2.85941,98.44251
2.86952,98.42622
2.87961,98.41009
2.88943,98.39451
2.89952,98.37867
2.9096,98.36297
2.91941,98.34781
2.92948,98.33239
2.93955,98.31712
2.94934,98.30237
2.9594,98.28738
2.96945,98.27253
2.9795,98.25781
2.98954,98.24324
2.99958,98.2288
3.00934,98.21486
3.01937,98.20069
3.02939,98.18666
3.03941,98.17276
3.04942,98.159
3.05943,98.14537
3.06943,98.13188
3.07943,98.11851
3.08943,98.10528
3.09941,98.09218
3.1094,98.07921
3.11937,98.06637
3.12934,98.05366
3.13931,98.04107
3.14927,98.02862
3.15923,98.01629
3.16945,98.00379
3.17939,97.99172
3.18934,97.97977
3.19927,97.96794
3.2092,97.95624
3.21939,97.94438
3.22931,97.93293
3.23922,97.9216
3.2494,97.91012
3.2593,97.89903
3.2692,97.88806
3.27936,97.87695
3.28924,97.86622
3.29939,97.85536
3.30927,97.84486
3.31914,97.83448
3.32927,97.82398
3.33912,97.81383
3.34924,97.80356
3.35936,97.79341
3.3692,97.78361
3.3793,97.77369
3.38913,97.76411
3.39922,97.75442
3.4093,97.74485
3.41911,97.7356
3.42918,97.72625
3.43925,97.71702
3.44931,97.70789
3.4591,97.69907
3.46915,97.69017
3.47919,97.68137
3.48922,97.67268
3.49925,97.66409
3.50927,97.65562
3.51903,97.64743
3.52904,97.63916
3.53904,97.63099
3.54904,97.62293
3.55903,97.61498
3.56902,97.60712
3.579,97.59936
3.58923,97.59155
3.5992,97.584
3.60916,97.57654
3.61911,97.56918
3.62906,97.56192
3.639,97.55476
3.6492,97.54755
3.65913,97.54057
3.66905,97.53369
3.67897,97.52691
3.68913,97.52008
3.69904,97.51348
3.70893,97.50697
3.71908,97.50042
3.72896,97.49409
3.7391,97.48773
3.74897,97.48158
3.75909,97.4754
3.76895,97.46942
3.77906,97.46342
3.7889,97.45761
3.79899,97.45178
3.80908,97.44604
3.8189,97.44049
3.82898,97.43491
3.83904,97.42943
3.8491,97.42402
3.8589,97.41879
3.86894,97.41355
3.87898,97.40839
3.88901,97.40331
3.89903,97.39831
3.90905,97.39339
3.91906,97.38855
3.9288,97.38386
3.9388,97.37917
3.94904,97.37448
3.95902,97.36994
3.96899,97.36548
3.97896,97.36109
3.98892,97.35677
3.99887,97.35253
4.00881,97.34835
4.019,97.34419
4.02893,97.34016
4.03885,97.3362
4.04876,97.3323
4.05892,97.32842
4.06882,97.32466
4.07896,97.32092
4.08885,97.31729
4.09872,97.31373
4.10884,97.31019
4.1187,97.30676
4.12881,97.30335
4.1389,97.3
4.14874,97.29676
4.15882,97.29354
4.16889,97.29038
4.1787,97.28732
4.18876,97.28429
4.19881,97.28131
4.20885,97.27839
4.21888,97.27554
4.22865,97.27277
4.23867,97.27003
4.24867,97.26735
4.25867,97.26472
4.26866,97.26215
4.27865,97.25963
4.28862,97.25717
4.29883,97.25474
4.30879,97.25239
4.31874,97.25009
4.32868,97.24784
4.33861,97.24564
4.34878,97.24348
4.3587,97.24138
4.3686,97.23934
4.37875,97.23733
4.38864,97.23538
4.39876,97.23347
4.40864,97.23161
