wavelength,transmission
19.999,96.55428
19.991,96.55749
19.980,96.56171
19.969,96.56586
19.961,96.56894
19.950,96.573
19.939,96.57699
19.931,96.57994
19.921,96.58383
19.910,96.58766
19.899,96.59143
19.891,96.59422
19.880,96.59789
19.869,96.6015
19.861,96.60418
19.850,96.60769
19.839,96.61115
19.831,96.61371
19.820,96.61707
19.810,96.62037
19.799,96.62363
19.791,96.62603
19.780,96.62919
19.769,96.63229
19.761,96.63459
19.750,96.6376
19.739,96.64057
19.731,96.64275
19.720,96.64563
19.710,96.64845
19.701,96.65053
19.691,96.65327
19.680,96.65595
19.669,96.65859
19.661,96.66053
19.650,96.66308
19.639,96.66559
19.631,96.66743
19.620,96.66985
19.610,96.67223
19.601,96.67398
19.591,96.67627
19.580,96.67852
19.569,96.68072
19.561,96.68235
19.550,96.68447
19.539,96.68655
19.531,96.68808
19.520,96.69009
19.509,96.69205
19.501,96.69349
19.490,96.69538
19.480,96.69722
19.471,96.69858
19.461,96.70035
19.450,96.70208
19.439,96.70378
19.431,96.70502
19.420,96.70664
19.409,96.70822
19.401,96.70938
19.390,96.7109
19.379,96.71237
19.371,96.71345
19.360,96.71486
19.350,96.71623
19.341,96.71724
19.331,96.71855
19.320,96.71982
19.312,96.72075
19.301,96.72195
19.290,96.72313
19.279,96.72426
19.271,96.72509
19.260,96.72617
19.249,96.72721
19.241,96.72797
19.230,96.72896
19.220,96.72991
19.211,96.7306
19.201,96.73149
19.190,96.73235
19.182,96.73298
19.171,96.73379
19.160,96.73456
19.149,96.7353
19.141,96.73584
19.130,96.73653
19.119,96.73719
19.111,96.73767
19.100,96.73827
19.090,96.73885
19.081,96.73927
19.071,96.7398
19.060,96.7403
19.052,96.74065
19.041,96.7411
19.030,96.74153
19.022,96.74183
19.011,96.74221
19.000,96.74256
18.989,96.74288
18.981,96.74311
18.970,96.74338
18.959,96.74364
18.951,96.74381
18.940,96.74402
18.930,96.7442
18.921,96.74433
18.911,96.74447
18.900,96.74459
18.892,96.74466
18.881,96.74474
18.870,96.74479
18.862,96.74482
18.851,96.74483
18.840,96.74483
18.832,96.74481
18.821,96.74476
18.810,96.74469
18.799,96.7446
18.791,96.74452
18.780,96.7444
18.770,96.74425
18.761,96.74413
18.751,96.74395
18.740,96.74375
18.732,96.74359
18.721,96.74335
18.710,96.7431
18.702,96.7429
18.691,96.74261
18.680,96.74231
18.672,96.74207
18.661,96.74173
18.650,96.74138
18.642,96.74111
18.631,96.74072
18.620,96.74032
18.612,96.74001
18.601,96.73958
18.590,96.73914
18.580,96.73868
18.571,96.73832
18.561,96.73783
18.550,96.73733
18.542,96.73694
18.531,96.73641
18.520,96.73587
18.512,96.73545
18.501,96.73488
18.490,96.7343
18.482,96.73385
18.471,96.73325
18.460,96.73263
18.452,96.73215
18.441,96.73151
18.430,96.73085
18.422,96.73035
18.411,96.72968
18.400,96.72899
18.392,96.72846
18.381,96.72775
18.370,96.72703
18.360,96.7263
18.351,96.72574
18.341,96.72499
18.330,96.72422
18.322,96.72365
18.311,96.72286
18.300,96.72207
18.292,96.72147
18.281,96.72066
18.270,96.71985
18.262,96.71923
18.251,96.71839
18.240,96.71755
18.232,96.71691
18.221,96.71605
18.210,96.71518
18.202,96.71453
18.191,96.71365
18.180,96.71276
18.172,96.71208
18.161,96.71118
18.150,96.71027
18.142,96.70958
18.131,96.70866
18.120,96.70773
18.112,96.70703
18.101,96.70609
18.091,96.70514
18.082,96.70442
18.072,96.70346
18.061,96.7025
18.050,96.70153
18.042,96.7008
18.031,96.69982
18.020,96.69883
18.012,96.69809
18.001,96.6971
17.990,96.6961
17.982,96.69534
17.971,96.69434
17.960,96.69333
17.952,96.69256
17.941,96.69155
17.930,96.69052
17.922,96.68975
17.911,96.68873
17.900,96.68769
17.892,96.68692
17.881,96.68588
17.870,96.68484
17.862,96.68406
17.851,96.68301
17.840,96.68196
17.832,96.68117
17.821,96.68012
17.810,96.67907
17.802,96.67827
17.791,96.67722
17.780,96.67616
17.772,96.67536
17.761,96.6743
17.751,96.67323
17.742,96.67243
17.731,96.67137
17.721,96.6703
17.712,96.6695
17.702,96.66843
17.691,96.66736
17.682,96.66656
17.672,96.66549
17.661,96.66442
17.653,96.66362
