wavelength,transmission
0.5,14.290255545
0.501,15.29339552
0.502,16.32325363
0.503,17.38530445
0.504,18.444706915
0.505,19.52436066
0.506,20.55771637
0.507,21.558981895
0.508,22.54547405
0.509,23.503870965
0.51,24.388616565
0.511,25.241147045
0.512,26.063919065
0.513,26.84771633
0.514,27.646876335
0.515,28.39680958
0.516,29.214272495
0.517,30.019908905
0.518,30.88814831
0.519,31.737686155
0.52,32.606494905
0.521,33.42174339
0.522,34.26307297
0.523,35.061317445
0.524,35.81887245
0.525,36.595932005
0.526,37.307873725
0.527,38.057520865
0.528,38.792840005
0.529,39.496260645
0.53,40.233421325
0.531,40.92978191
0.532,41.612086295
0.533,42.285339355
0.534,42.908023835
0.535,43.50420952
0.536,44.047819135
0.537,44.52558899
0.538,44.95645714
0.539,45.348155975
0.54,45.64980698
0.541,45.90181732
0.542,46.072452545
0.543,46.222530365
0.544,46.29409981
0.545,46.29694176
0.546,46.32480812
0.547,46.28523445
0.548,46.258823395
0.549,46.18072319
0.55,46.123493195
0.551,46.04876709
0.552,45.98243332
0.553,45.935600285
0.554,45.88414192
0.555,45.89053726
0.556,45.876564025
0.557,45.9239769
0.558,45.984132765
0.559,46.040273665
0.56,46.14034462
0.561,46.257331845
0.562,46.41821289
0.563,46.56847
0.564,46.754678725
0.565,46.93092537
0.566,47.104032515
0.567,47.3129406
0.568,47.530405045
0.569,47.749206545
0.57,47.92987633
0.571,48.12421608
0.572,48.321084975
0.573,48.45822525
0.574,48.62170982
0.575,48.73957443
0.576,48.85033226
0.577,48.970136645
0.578,49.049100875
0.579,49.09497261
0.58,49.133089065
0.581,49.131786345
0.582,49.13801193
0.583,49.114088055
0.584,49.06409836
0.585,49.009960175
0.586,48.94436455
0.587,48.822364805
0.588,48.705999375
0.589,48.558767315
0.59,48.407884595
0.591,48.191993715
0.592,47.97794342
0.593,47.73334694
0.594,47.44146538
0.595,47.12861824
0.596,46.801076885
0.597,46.43172264
0.598,46.02956009
0.599,45.59185791
0.6,45.10473442
0.601,44.608701705
0.602,44.08113861
0.603,43.52840042
0.604,42.98357582
0.605,42.377653125
0.606,41.79261589
0.607,41.18107796
0.608,40.56610775
0.609,39.970956805
0.61,39.373717305
0.611,38.78898716
0.612,38.2086153
0.613,37.639463425
0.614,37.11999798
0.615,36.615329745
0.616,36.131977085
0.617,35.68501568
0.618,35.26664543
0.619,34.88519001
0.62,34.529929165
0.621,34.21434212
0.622,33.956023215
0.623,33.736166
0.624,33.5487957
0.625,33.382409095
0.626,33.287208555
0.627,33.208272935
0.628,33.167704585
0.629,33.19918728
0.63,33.244506835
0.631,33.32297516
0.632,33.4709816
0.633,33.62393856
0.634,33.8188467
0.635,34.05917358
0.636,34.28974247
0.637,34.5678196
0.638,34.874085425
0.639,35.15610695
0.64,35.50347042
0.641,35.818855285
0.642,36.123630525
0.643,36.3858366
0.644,36.646309855
0.645,36.856625555
0.646,37.00095463
0.647,37.09497452
0.648,37.118284225
0.649,37.039755825
0.65,36.87752533
0.651,36.6413393
0.652,36.288355825
0.653,35.858665465
0.654,35.352222445
0.655,34.730153085
0.656,34.0655756
0.657,33.32369041
0.658,32.513234135
0.659,31.681461335
0.66,30.776269915
0.661,29.87660551
0.662,28.933755395
0.663,27.9610033
0.664,27.00530243
0.665,26.029946804
0.666,25.0922293655
0.667,24.1453719145
0.668,23.2179944495
0.669,22.3089270605
0.67,21.4281053535
0.671,20.5757167325
0.672,19.752929924
0.673,18.946455478
0.674,18.1959474065
0.675,17.4729523635
0.676,16.778558492
0.677,16.0913312435
0.678,15.445858954
0.679,14.8638638255
0.68,14.2882154
0.681,13.7527848495
0.682,13.231875898
0.683,12.7526067485
0.684,12.297521113
0.685,11.8660032755
0.686,11.463145853
0.687,11.0831171295
0.688,10.708695054
0.689,10.374530195
0.69,10.056994201
0.691,9.756734848
0.692,9.4729734635
0.693,9.199363353
0.694,8.9597826
0.695,8.735548854
0.696,8.4980080725
0.697,8.287932514
0.698,8.084150789
0.699,7.9454923885
0.7,7.7588519475
0.701,7.572968363
0.702,7.419661938
0.703,7.2914153345
0.704,7.134243904
0.705,7.0115396995
0.706,6.9259293085
0.707,6.8074497575
0.708,6.691138805
0.709,6.6117830865
0.71,6.51500702
0.711,6.4400652065
0.712,6.344886722
0.713,6.2781972885
0.714,6.202310143
0.715,6.1319780335
0.716,6.110589685
0.717,6.007771847
0.718,5.9626622215
0.719,5.9286982435
0.72,5.9044943435
0.721,5.846019087
0.722,5.818063022
0.723,5.781904937
0.724,5.7452841425
0.725,5.718531371
0.726,5.687384486
0.727,5.668605985
0.728,5.6534214025
0.729,5.634576023
0.73,5.6140546805
0.731,5.6058374025
0.732,5.614848317
0.733,5.584930954
0.734,5.544908047
0.735,5.613140881
0.736,5.5630480645
0.737,5.5799185635
0.738,5.5684798955
0.739,5.6010725495
0.74,5.558560133
0.741,5.6014520525
0.742,5.5993650555
0.743,5.6153224705
0.744,5.5890829565
0.745,5.577099861
0.746,5.568904103
0.747,5.6169891335
0.748,5.61100501
0.749,5.6404365295
0.75,5.6591050025
0.751,5.663939356
0.752,5.6837646985
0.753,5.695885421
0.754,5.684968173
0.755,5.7497765405
0.756,5.7288271775
0.757,5.77243161
0.758,5.8292414525
0.759,5.819913628
0.76,5.81737685
0.761,5.8747910255
0.762,5.9025953415
0.763,5.9206085775
0.764,5.955696168
0.765,6.0183900015
0.766,6.0016390685
0.767,6.0455915915
0.768,6.06987542
0.769,6.1097831735
0.77,6.110775294
0.771,6.197864292
