wavelength,transmission
0.20000,0.00968
0.20100,0.00672
0.20200,0.0086
0.20300,0.00706
0.20400,0.004
0.20500,0.00282
0.20600,0.00541
0.20700,0.00282
0.20800,0.00658
0.20900,0.00446
0.21000,0.00387
0.21100,0.00539
0.21200,0.00562
0.21300,0.0014
0.21400,0.00467
0.21500,0.00537
0.21600,0.00221
0.21700,1.16E-04
0.21800,0.00383
0.21900,0.00139
0.22000,0.00544
0.22100,0.00485
0.22200,0.00242
0.22300,9.22E-04
0.22400,0.00541
0.22500,0.00448
0.22600,0.0031
0.22700,0.00344
0.22800,0.00183
0.22900,1.14E-04
0.23000,0.00422
0.23100,0.00171
0.23200,0.00457
0.23300,0.00411
0.23400,0.0016
0.23500,6.85E-04
0.23600,0.00423
0.23700,8.01E-04
0.23800,0.00573
0.23900,0.00458
0.24000,0.00183
0.24100,1.15E-04
0.24200,0.00413
0.24300,6.90E-04
0.24400,0.00448
0.24500,0.00379
0.24600,0.00196
0.24700,2.30E-04
0.24800,0.00322
0.24900,5.75E-04
0.25000,0.00425
0.25100,0.00333
0.25200,0.00184
0.25300,2.29E-04
0.25400,0.00378
0.25500,0.00183
0.25600,0.0055
0.25700,0.00366
0.25800,0.00171
0.25900,4.57E-04
0.26000,0.00423
0.26100,0.00103
0.26200,0.00571
0.26300,0.00285
0.26400,7.99E-04
0.26500,4.57E-04
0.26600,0.00399
0.26700,0.00126
0.26800,0.00582
0.26900,0.00285
0.27000,0.00251
0.27100,0.00125
0.27200,4.56E-04
0.27300,0.00445
0.27400,0.00228
0.27500,0.00114
0.27600,1.14E-04
0.27700,0
0.27800,0.00375
0.27900,0.00228
0.28000,0.00523
0.28100,0.0033
0.28200,3.41E-04
0.28300,3.41E-04
0.28400,0.00182
0.28500,0.00238
0.28600,0.00556
0.28700,0.00374
0.28800,1.13E-04
0.28900,0.00317
0.29000,0.00362
0.29100,0.00147
0.29200,0.00498
0.29300,0.0026
0.29400,1.13E-04
0.29500,0.00136
0.29600,0.00271
0.29700,4.52E-04
0.29800,0.0044
0.29900,0.00383
0.30000,5.64E-04
0.30100,6.76E-04
0.30200,0.00236
0.30300,2.25E-04
0.30400,0.00315
0.30500,0.0036
0.30600,0.00146
0.30700,3.37E-04
0.30800,0.00213
0.30900,1.12E-04
0.31000,0.00449
0.31100,0.00247
0.31200,4.49E-04
0.31300,0
0.31400,0.00202
0.31500,0.00101
0.31600,0.00414
0.31700,0.00459
0.31800,0.00347
0.31900,0.001
0.32000,0.00379
0.32100,0.00111
0.32200,0.00456
0.32300,0.00378
0.32400,3.34E-04
0.32500,0.00189
0.32600,0.00323
0.32700,0.002
0.32800,0.00478
0.32900,0.00322
0.33000,4.44E-04
0.33100,0.00167
0.33200,0.00422
0.33300,0.00122
0.33400,0.00521
0.33500,0.00355
0.33600,0.00111
0.33700,0.00166
0.33800,0.0041
0.33900,0.00155
0.34000,0.00476
0.34100,0.00332
0.34200,2.21E-04
0.34300,6.63E-04
0.34400,0.00398
0.34500,0.0032
0.34600,0.00342
0.34700,0.00287
0.34800,0.0011
0.34900,4.41E-04
0.35000,0.00375
0.35100,0.0022
0.35200,0.00496
0.35300,0.00242
0.35400,4.40E-04
0.35500,6.60E-04
0.35600,0.00231
0.35700,0.00154
0.35800,0.00407
0.35900,0.00209
0.36000,6.59E-04
0.36100,5.49E-04
0.36200,0.00296
0.36300,0.0011
0.36400,0.00373
0.36500,0.00208
0.36600,5.48E-04
0.36700,0.00153
0.36800,0.00285
0.36900,0.00131
0.37000,0.00328
0.37100,0.00164
0.37200,9.84E-04
0.37300,1.09E-04
0.37400,8.74E-04
0.37500,2.18E-04
0.37600,0.00327
0.37700,0.00185
0.37800,0.00306
0.37900,0.00229
0.38000,0.00457
0.38100,0.00261
0.38200,8.70E-04
0.38300,0.00163
0.38400,0.00348
0.38500,0.0037
0.38600,0.00565
0.38700,0.00282
0.38800,2.17E-04
0.38900,0.00141
0.39000,0.00412
0.39100,0.0026
0.39200,0.00423
0.39300,0.00303
0.39400,0
0.39500,0.00206
0.39600,0.00477
0.39700,0.00487
0.39800,0.00584
0.39900,0.00346
0.40000,2.16E-04
0.40100,0.0013
0.40200,0.00389
0.40300,0.00357
0.40400,0.00453
0.40500,0.0027
0.40600,0
0.40700,0.00216
0.40800,0.00334
0.40900,0.00248
0.41000,0.00463
0.41100,0.00291
0.41200,3.23E-04
0.41300,0.00172
0.41400,0.00247
0.41500,0.00215
0.41600,0.0043
0.41700,0.00419
0.41800,3.22E-04
0.41900,0.00268
0.42000,0.00397
0.42100,0.00204
0.42200,0.00333
0.42300,0.00204
0.42400,6.43E-04
0.42500,0.00204
0.42600,0.00268
0.42700,0.00236
0.42800,0.0045
0.42900,0.00225
0.43000,1.07E-04
0.43100,0.00246
0.43200,0.00332
0.43300,0.00342
0.43400,0.00513
0.43500,0.00267
0.43600,2.14E-04
0.43700,0.00224
0.43800,0.00299
0.43900,0.00235
0.44000,0.00437
0.44100,0.00299
0.44200,7.46E-04
0.44300,0.00266
0.44400,0.00298
0.44500,0.00234
0.44600,0.00373
0.44700,0.00256
0.44800,3.19E-04
0.44900,0.00224
0.45000,0.00255
0.45100,0.00213
0.45200,0.00436
0.45300,0.00298
0.45400,5.31E-04
0.45500,0.00255
0.45600,0.00276
0.45700,0.0034
0.45800,0.00488
0.45900,0.00276
0.46000,5.30E-04
0.46100,0.00276
0.46200,0.0035
0.46300,0.00318
0.46400,0.00456
0.46500,0.00254
0.46600,1.06E-04
0.46700,0.00244
0.46800,0.00318
0.46900,0.00307
0.47000,0.00455
0.47100,0.00254
0.47200,9.52E-04
0.47300,0.00275
0.47400,0.00222
0.47500,0.00571
0.47600,0.03085
0.47700,0.09008
0.47800,0.18869
0.47900,0.32115
0.48000,0.48442
0.48100,0.67102
0.48200,0.87731
0.48300,1.10749
0.48400,1.35901
0.48500,1.62975
0.48600,1.93075
0.48700,2.26556
0.48800,2.63137
0.48900,3.03175
0.49000,3.4645
0.49100,3.92408
0.49200,4.41505
0.49300,4.93884
0.49400,5.48835
0.49500,6.07893
0.49600,6.7177
0.49700,7.38767
0.49800,8.09434
0.49900,8.83527
0.50000,9.59886
0.50100,10.39219
0.50200,11.20633
0.50300,12.03424
0.50400,12.89491
0.50500,13.7999
0.50600,14.7434
0.50700,15.73718
0.50800,16.78192
0.50900,17.85613
0.51000,18.98551
0.51100,20.16703
0.51200,21.37781
0.51300,22.65695
0.51400,24.01139
0.51500,25.45683
0.51600,27.03318
0.51700,28.72339
0.51800,30.5067
0.51900,32.35796
0.52000,34.21272
0.52100,36.00227
0.52200,37.70592
0.52300,39.30407
0.52400,40.78196
0.52500,42.18716
0.52600,43.50013
0.52700,44.70721
0.52800,45.84844
0.52900,46.8971
0.53000,47.83651
0.53100,48.74061
0.53200,49.58985
0.53300,50.35039
0.53400,51.09348
0.53500,51.80521
0.53600,52.45446
0.53700,53.11612
0.53800,53.75504
0.53900,54.33025
0.54000,54.91002
0.54100,55.46261
0.54200,55.9378
0.54300,56.43288
0.54400,56.91376
0.54500,57.34221
0.54600,57.79724
0.54700,58.23862
0.54800,58.61771
0.54900,59.01618
0.55000,59.39241
0.55100,59.71451
0.55200,60.05145
0.55300,60.35595
0.55400,60.59409
0.55500,60.87148
0.55600,61.13895
0.55700,61.35861
0.55800,61.58986
0.55900,61.80934
0.56000,61.97181
0.56100,62.17426
0.56200,62.35079
0.56300,62.52508
0.56400,62.69578
0.56500,62.82496
0.56600,62.99468
0.56700,63.14438
0.56800,63.23242
0.56900,63.37172
0.57000,63.50032
0.57100,63.60463
0.57200,63.74428
0.57300,63.85895
0.57400,63.90391
0.57500,64.01201
0.57600,64.1125
0.57700,64.19053
0.57800,64.30989
0.57900,64.40069
0.58000,64.44
0.58100,64.52779
0.58200,64.62942
0.58300,64.6899
0.58400,64.75913
0.58500,64.83518
0.58600,64.86241
0.58700,64.94124
0.58800,65.02732
0.58900,65.07958
0.59000,65.16613
0.59100,65.21851
0.59200,65.22583
0.59300,65.30537
0.59400,65.37296
0.59500,65.3996
0.59600,65.47006
0.59700,65.53289
0.59800,65.54529
0.59900,65.60274
0.60000,65.65909
0.60100,65.68421
0.60200,65.75258
0.60300,65.80235
0.60400,65.81076
0.60500,65.86948
0.60600,65.91845
0.60700,65.95264
0.60800,66.01684
0.60900,66.05475
0.61000,66.06145
0.61100,66.10625
0.61200,66.14088
0.61300,66.15556
0.61400,66.2187
0.61500,66.27188
0.61600,66.2448
0.61700,66.29777
0.61800,66.37418
0.61900,66.36216
0.62000,66.41359
0.62100,66.46171
0.62200,66.44102
0.62300,66.48888
0.62400,66.52093
0.62500,66.53878
0.62600,66.58854
0.62700,66.60426
0.62800,66.59067
0.62900,66.64334
0.63000,66.65532
0.63100,66.69772
0.63200,66.7563
0.63300,66.77954
0.63400,66.75482
0.63500,66.796
0.63600,66.83048
0.63700,66.83403
0.63800,66.89477
0.63900,66.90729
0.64000,66.88862
0.64100,66.9484
0.64200,66.96728
0.64300,66.96168
0.64400,67.01529
0.64500,67.04523
0.64600,67.01768
0.64700,67.06498
0.64800,67.08984
0.64900,67.1049
0.65000,67.13683
0.65100,67.15467
0.65200,67.1287
0.65300,67.18697
0.65400,67.21683
0.65500,67.22619
0.65600,67.25276
0.65700,67.28562
0.65800,67.26245
0.65900,67.29868
0.66000,67.33184
0.66100,67.30663
0.66200,67.36749
0.66300,67.385
0.66400,67.35214
0.66500,67.41741
0.66600,67.42397
0.66700,67.42487
0.66800,67.46748
0.66900,67.49158
0.67000,67.46346
0.67100,67.51213
0.67200,67.53941
0.67300,67.51921
0.67400,67.56834
0.67500,67.58311
0.67600,67.53942
0.67700,67.60079
0.67800,67.62577
0.67900,67.6273
0.68000,67.66595
0.68100,67.66286
0.68200,67.65642
0.68300,67.70907
0.68400,67.7156
0.68500,67.70516
0.68600,67.7608
0.68700,67.76276
0.68800,67.74442
0.68900,67.78436
0.69000,67.78048
0.69100,67.80735
0.69200,67.85578
0.69300,67.8239
0.69400,67.84926
0.69500,67.86872
0.69600,67.86584
0.69700,67.87596
0.69800,67.91046
0.69900,67.90103
0.70000,67.94723
0.70100,67.93501
0.70200,67.94001
0.70300,67.94836
0.70400,67.99738
0.70500,67.97317
0.70600,67.99432
0.70700,68.01607
0.70800,68.00792
0.70900,68.02213
0.71000,68.06266
0.71100,68.06198
0.71200,68.10176
0.71300,68.10522
0.71400,68.08046
0.71500,68.10476
0.71600,68.12395
0.71700,68.13748
0.71800,68.13795
0.71900,68.14706
0.72000,68.1761
0.72100,68.15062
0.72200,68.20015
0.72300,68.18374
0.72400,68.1891
0.72500,68.21538
0.72600,68.24709
0.72700,68.23112
0.72800,68.27558
0.72900,68.28905
0.73000,68.24794
0.73100,68.29901
0.73200,68.30499
0.73300,68.29884
0.73400,68.33533
0.73500,68.3388
0.73600,68.30032
0.73700,68.36105
0.73800,68.34395
0.73900,68.34242
0.74000,68.40426
0.74100,68.38596
0.74200,68.36165
0.74300,68.42858
0.74400,68.42087
0.74500,68.40699
0.74600,68.45008
0.74700,68.45013
0.74800,68.42883
0.74900,68.45709
0.75000,68.47293
0.75100,68.46735
0.75200,68.5019
0.75300,68.48251
0.75400,68.48194
0.75500,68.51891
0.75600,68.51765
0.75700,68.49942
0.75800,68.53869
0.75900,68.54918
0.76000,68.51529
0.76100,68.58049
0.76200,68.57062
0.76300,68.57034
0.76400,68.60613
0.76500,68.60118
0.76600,68.57477
0.76700,68.62243
0.76800,68.61123
0.76900,68.61095
0.77000,68.6542
0.77100,68.66136
0.77200,68.63375
0.77300,68.65358
0.77400,68.67584
0.77500,68.67101
0.77600,68.68207
0.77700,68.69702
0.77800,68.65603
0.77900,68.71407
0.78000,68.72817
0.78100,68.71838
0.78200,68.73914
0.78300,68.7371
0.78400,68.72121
0.78500,68.76184
0.78600,68.77068
0.78700,68.7631
0.78800,68.80178
0.78900,68.80084
0.79000,68.77707
0.79100,68.79466
0.79200,68.80479
0.79300,68.81367
0.79400,68.82877
0.79500,68.82422
0.79600,68.81221
0.79700,68.84882
0.79800,68.83066
0.79900,68.84593
0.80000,68.87519
0.80100,68.87594
0.80200,68.87064
0.80300,68.89053
0.80400,68.87842
0.80500,68.87449
0.80600,68.93496
0.80700,68.92782
0.80800,68.88989
0.80900,68.93606
0.81000,68.9215
0.81100,68.91724
0.81200,68.94238
0.81300,68.9173
0.81400,68.94984
0.81500,68.95932
0.81600,68.94145
0.81700,68.95408
0.81800,68.97186
0.81900,68.98171
0.82000,69.00617
0.82100,69.00419
0.82200,68.99542
0.82300,68.99468
0.82400,69.02955
0.82500,69.00689
0.82600,69.02969
0.82700,69.06106
0.82800,69.03547
0.82900,69.02826
0.83000,69.07078
0.83100,69.081
0.83200,69.07088
0.83300,69.0927
0.83400,69.09409
0.83500,69.09266
0.83600,69.12261
0.83700,69.12614
0.83800,69.13613
0.83900,69.17081
0.84000,69.14514
0.84100,69.13551
0.84200,69.16917
0.84300,69.17853
0.84400,69.18443
0.84500,69.19029
0.84600,69.21501
0.84700,69.20447
0.84800,69.20336
0.84900,69.18249
0.85000,69.1965
0.85100,69.23426
0.85200,69.20326
0.85300,69.18811
0.85400,69.23174
0.85500,69.24851
0.85600,69.23799
0.85700,69.29251
0.85800,69.25124
0.85900,69.23561
0.86000,69.28017
0.86100,69.27898
0.86200,69.29908
0.86300,69.29544
0.86400,69.28806
0.86500,69.29757
0.86600,69.31174
0.86700,69.32921
0.86800,69.33078
0.86900,69.34678
0.87000,69.35573
0.87100,69.36317
0.87200,69.38297
0.87300,69.38711
0.87400,69.3869
0.87500,69.39295
0.87600,69.38934
0.87700,69.39043
0.87800,69.39458
0.87900,69.39863
0.88000,69.42378
0.88100,69.4514
0.88200,69.44566
0.88300,69.43196
0.88400,69.44305
0.88500,69.44549
0.88600,69.45385
0.88700,69.46269
0.88800,69.46142
0.88900,69.4908
0.89000,69.49491
0.89100,69.48586
0.89200,69.49368
0.89300,69.50585
0.89400,69.52192
0.89500,69.53102
0.89600,69.54318
0.89700,69.5331
0.89800,69.53552
0.89900,69.5513
0.90000,69.5517
0.90100,69.56585
0.90200,69.58537
0.90300,69.58076
0.90400,69.58224
0.90500,69.59798
0.90600,69.58443
0.90700,69.57519
0.90800,69.60313
0.90900,69.62286
0.91000,69.60402
0.91100,69.59413
0.91200,69.61809
0.91300,69.63332
0.91400,69.65261
0.91500,69.65208
0.91600,69.64778
0.91700,69.64036
0.91800,69.6495
0.91900,69.67155
0.92000,69.7033
0.92100,69.71324
0.92200,69.6986
0.92300,69.68794
0.92400,69.68792
0.92500,69.69788
0.92600,69.73382
0.92700,69.75693
0.92800,69.7311
0.92900,69.72168
0.93000,69.74603
0.93100,69.76772
0.93200,69.75472
0.93300,69.73351
0.93400,69.73318
0.93500,69.7509
0.93600,69.77581
0.93700,69.78284
0.93800,69.77976
0.93900,69.797
0.94000,69.79252
0.94100,69.77622
0.94200,69.7786
0.94300,69.80663
0.94400,69.80808
0.94500,69.80977
0.94600,69.8119
0.94700,69.80939
0.94800,69.83182
0.94900,69.8333
0.95000,69.82524
0.95100,69.83938
0.95200,69.85424
0.95300,69.86572
0.95400,69.86708
0.95500,69.87236
0.95600,69.87146
0.95700,69.86053
0.95800,69.86988
0.95900,69.89683
0.96000,69.89931
0.96100,69.8877
0.96200,69.88552
0.96300,69.88684
0.96400,69.89132
0.96500,69.90468
0.96600,69.91645
0.96700,69.9244
0.96800,69.94035
0.96900,69.94953
0.97000,69.92469
0.97100,69.92755
0.97200,69.93274
0.97300,69.93585
0.97400,69.92957
0.97500,69.94473
0.97600,69.9475
