wavelength,transmission,
200,-3.17E-06,
201,-5.11E-06,
202,-4.28E-06,
203,-1.93E-06,
204,-1.83E-06,
205,1.01E-06,
206,-7.07E-07,
207,-5.44E-06,
208,-3.01E-06,
209,2.40E-06,
210,1.70E-06,
211,-2.19E-06,
212,-3.58E-06,
213,1.49E-06,
214,1.19E-06,
215,-2.76E-06,
216,-4.92E-07,
217,-1.18E-06,
218,-9.78E-07,
219,-1.37E-06,
220,-2.04E-06,
221,-3.01E-06,
222,-2.90E-07,
223,4.15E-06,
224,3.27E-06,
225,-1.92E-07,
226,1.53E-06,
227,3.83E-06,
228,1.74E-05,
229,4.75E-05,
230,6.81E-05,
231,5.48E-05,
232,2.77E-05,
233,1.83E-05,
234,1.78E-05,
235,1.37E-05,
236,8.01E-06,
237,6.69E-06,
238,3.01E-06,
239,-3.76E-07,
240,2.53E-06,
241,4.59E-06,
242,5.04E-06,
243,5.50E-06,
244,4.37E-06,
245,3.25E-06,
246,5.92E-06,
247,7.01E-06,
248,3.95E-06,
249,5.23E-06,
250,8.15E-06,
251,6.94E-06,
252,9.02E-06,
253,1.64E-05,
254,2.27E-05,
255,3.56E-05,
256,9.65E-05,
257,3.84E-04,
258,2.05E-03,
259,5.37E-03,
260,1.31E-02,
261,3.75E-02,
262,8.71E-02,
263,0.1602055,
264,0.2514325,
265,0.3275314,
266,0.3570215,
267,0.3607125,
268,0.3738864,
269,0.400959,
270,0.4317057,
271,0.4578378,
272,0.4678442,
273,0.4563242,
274,0.4391443,
275,0.4361574,
276,0.4541988,
277,0.4800119,
278,0.4972716,
279,0.5084378,
280,0.5164011,
281,0.5210996,
282,0.5254909,
283,0.5304081,
284,0.531315,
285,0.5313851,
286,0.5354858,
287,0.5403667,
288,0.5421234,
289,0.5409663,
290,0.5395459,
291,0.5432264,
292,0.5547631,
293,0.5682384,
294,0.5795601,
295,0.5852306,
296,0.5816574,
297,0.5720018,
298,0.5631481,
299,0.5623767,
300,0.5704775,
301,0.5788707,
302,0.579687,
303,0.5706569,
304,0.5528892,
305,0.523483,
306,0.4888095,
307,0.4668238,
308,0.4700151,
309,0.4909111,
310,0.5071918,
311,0.5095087,
312,0.5189854,
313,0.5527321,
314,0.5874734,
315,0.6055094,
316,0.6139658,
317,0.6231703,
318,0.6287577,
319,0.6268712,
320,0.6181153,
321,0.6053029,
322,0.594323,
323,0.5749053,
324,0.5489975,
325,0.5487937,
326,0.5627341,
327,0.5465717,
328,0.5291609,
329,0.5639474,
330,0.6213731,
331,0.6513878,
332,0.6525402,
333,0.650534,
334,0.6569366,
335,0.6580921,
336,0.6451575,
337,0.6346611,
338,0.6439464,
339,0.6633246,
