wavelength,transmission
200,-1.57E-05
201,-1.14E-05
202,-1.23E-05
203,-1.87E-05
204,-2.18E-05
205,-1.94E-05
206,-1.49E-05
207,-1.21E-05
208,-1.63E-05
209,-1.51E-05
210,-1.24E-05
211,-1.49E-05
212,-1.64E-05
213,-1.58E-05
214,-1.58E-05
215,-1.61E-05
216,-1.72E-05
217,-1.42E-05
218,-1.35E-05
219,-1.46E-05
220,-1.29E-05
221,-1.39E-05
222,-2.06E-05
223,-2.04E-05
224,-1.51E-05
225,-1.62E-05
226,-2.14E-05
227,-2.25E-05
228,-1.14E-05
229,-1.03E-05
230,-1.24E-05
231,-1.01E-05
232,-1.21E-05
233,-1.29E-05
234,-1.09E-05
235,-9.71E-06
236,-9.04E-06
237,-1.19E-05
238,-1.27E-05
239,-1.08E-05
240,-1.10E-05
241,-8.60E-06
242,-7.65E-06
243,-1.10E-05
244,-1.06E-05
245,-1.02E-05
246,-1.07E-05
247,-8.02E-06
248,-1.00E-05
249,-9.52E-06
250,-8.49E-06
251,-1.03E-05
252,-8.38E-06
253,-7.82E-06
254,-9.98E-06
255,-9.16E-06
256,-9.60E-06
257,-1.05E-05
258,-7.78E-06
259,-9.68E-06
260,-1.12E-05
261,-1.01E-05
262,-9.13E-06
263,-9.14E-06
264,-9.68E-06
265,-7.51E-06
266,-1.05E-05
267,-1.17E-05
268,-9.97E-06
269,-1.03E-05
270,-8.80E-06
271,-8.36E-06
272,-8.45E-06
273,-9.17E-06
274,-8.99E-06
275,-7.00E-06
276,-1.08E-05
277,-9.00E-06
278,-9.91E-06
279,-1.17E-05
280,-8.55E-06
281,-7.82E-06
282,-8.91E-06
283,-6.55E-06
284,-7.82E-06
285,-8.91E-06
286,-6.18E-06
287,-6.18E-06
288,-6.00E-06
289,-5.63E-06
290,-9.36E-06
291,-4.45E-06
292,-6.36E-07
293,6.90E-06
294,4.21E-05
295,2.66E-04
296,1.89E-03
297,7.46E-03
298,2.40E-02
299,6.54E-02
300,0.130434
301,0.1947764
302,0.2432268
303,0.2874239
304,0.3311711
305,0.3748711
306,0.4249865
307,0.4739817
308,0.5063961
309,0.529272
310,0.56526
311,0.6075944
312,0.6375758
313,0.649653
314,0.6586022
315,0.6763884
316,0.692838
317,0.693203
318,0.6891205
319,0.6986798
320,0.7166102
321,0.7314349
322,0.7366897
323,0.7425508
324,0.7549943
325,0.7632715
326,0.7682481
327,0.7686152
328,0.770861
329,0.7844889
330,0.798925
331,0.7965096
332,0.7872417
333,0.7832068
334,0.7887482
335,0.8016862
336,0.8152618
337,0.8155508
338,0.8041556
339,0.7960946
340,0.7906087
341,0.7965018
342,0.8197806
343,0.8415267
344,0.8387831
345,0.8095112
346,0.7610423
347,0.7132945
348,0.6955956
349,0.6970804
350,0.6848449
351,0.6771964
352,0.7046584
353,0.7453517
354,0.7613637
355,0.7766322
356,0.8184292
357,0.8632982
358,0.8839917
359,0.8914428
360,0.8925142
361,0.8867543
362,0.8756862
363,0.8673596
364,0.8684664
365,0.8737429
366,0.877356
367,0.880839
368,0.8799968
369,0.8806018
370,0.8881022
371,0.8999159
372,0.9049437
373,0.9030136
374,0.9040381
375,0.9050826
376,0.9027569
377,0.8986386
378,0.8932351
379,0.8687227
380,0.8534057
381,0.8661323
382,0.8960057
383,0.9157844
384,0.9197531
385,0.9173305
386,0.9122084
387,0.898763
388,0.8683837
389,0.8136899
390,0.7659595
391,0.7653845
392,0.8030278
393,0.8252708
394,0.7747356
395,0.6324685
396,0.4604784
397,0.3416952
398,0.2713983
399,0.1816502
400,8.18E-02
401,2.58E-02
402,9.66E-03
403,4.86E-03
404,2.66E-03
405,1.43E-03
406,7.80E-04
407,5.10E-04
408,4.45E-04
409,5.20E-04
410,6.59E-04
411,6.73E-04
412,5.18E-04
413,3.45E-04
414,2.59E-04
415,2.08E-04
416,1.40E-04
417,7.89E-05
418,3.35E-05
419,1.74E-05
420,1.16E-05
421,2.08E-05
422,7.18E-05
423,2.94E-04
424,7.09E-04
425,8.71E-04
426,5.32E-04
427,1.50E-04
428,1.95E-05
429,1.31E-06
430,-7.71E-06
431,-6.04E-06
432,-9.54E-06
433,-1.06E-05
434,-6.56E-06
435,-7.96E-06
436,-6.03E-06
437,-7.69E-06
438,-7.16E-06
439,-8.38E-06
440,-8.90E-06
441,-7.42E-06
442,-6.98E-06
443,-4.80E-06
444,2.52E-05
445,1.37E-04
446,2.62E-04
447,2.38E-04
448,1.04E-04
449,2.70E-05
450,5.92E-06
451,-5.39E-06
452,-6.44E-06
453,-9.13E-06
454,-9.21E-06
455,-9.38E-06
456,-2.78E-06
457,2.20E-05
458,5.37E-05
459,9.13E-05
460,2.32E-04
461,6.52E-04
462,8.83E-04
463,4.98E-04
464,9.89E-05
465,5.36E-06
466,2.44E-05
467,1.29E-04
468,2.90E-04
469,2.98E-04
470,1.44E-04
471,6.15E-05
472,5.62E-05
473,2.31E-05
474,-5.17E-06
475,-7.84E-06
476,-1.02E-05
477,-9.65E-06
478,-9.30E-06
479,-9.90E-06
480,-7.06E-06
481,-8.60E-06
482,-5.85E-06
483,-6.45E-06
484,-8.77E-06
485,-7.57E-06
486,-8.43E-06
487,-7.74E-06
488,-8.08E-06
489,-7.83E-06
490,-2.75E-06
491,1.32E-05
492,2.56E-05
493,1.18E-05
494,-5.67E-06
495,-7.30E-06
496,-9.45E-06
497,-1.09E-05
498,-8.16E-06
499,1.27E-05
500,1.24E-04
501,2.95E-04
502,2.90E-04
503,1.02E-04
504,-5.06E-06
505,-8.83E-06
506,-7.12E-06
507,-6.68E-06
508,-2.49E-06
509,-1.54E-06
510,-3.77E-06
511,-3.77E-06
512,-4.19E-06
513,8.92E-05
514,5.22E-04
515,1.13E-03
516,1.06E-03
517,3.72E-04
518,5.13E-07
519,-6.32E-06
520,-7.87E-06
521,-7.09E-06
522,-8.46E-06
523,-7.52E-06
524,-8.79E-06
525,-9.39E-06
526,-1.02E-05
527,-3.16E-06
528,9.39E-07
529,4.61E-06
530,1.48E-05
531,2.58E-05
532,3.58E-05
533,4.43E-05
534,4.61E-05
535,4.49E-05
536,4.16E-05
537,3.79E-05
538,3.48E-05
539,3.32E-05
540,3.00E-05
541,2.06E-05
542,1.23E-05
543,4.77E-06
544,-1.11E-06
545,-2.90E-06
546,-5.54E-06
547,-5.54E-06
548,-7.67E-06
549,-6.82E-06
550,-7.16E-06
551,-5.37E-06
552,-5.37E-06
553,-7.50E-06
554,-5.37E-06
555,-6.31E-06
556,-5.88E-06
557,-1.88E-06
558,-1.36E-06
559,5.12E-07
560,-2.30E-06
561,-7.58E-06
562,-8.53E-06
563,-8.61E-06
564,-7.59E-06
565,-9.04E-06
566,-8.10E-06
567,-7.42E-06
568,-8.61E-06
569,-3.83E-06
570,6.82E-07
571,6.14E-06
572,1.90E-05
573,2.51E-05
574,1.73E-05
575,5.71E-06
576,-2.64E-06
577,-6.56E-06
578,-5.79E-06
579,-6.81E-06
580,-4.26E-06
581,6.64E-06
582,1.25E-05
583,7.84E-06
584,1.70E-06
585,-3.66E-06
586,-5.79E-06
587,-4.60E-06
588,-6.22E-06
589,-7.49E-06
590,-7.75E-06
591,-6.90E-06
592,-5.11E-06
593,-3.83E-06
594,1.70E-07
595,7.58E-06
596,2.22E-05
597,4.25E-05
598,5.59E-05
599,6.73E-05
600,9.93E-05
601,1.58E-04
602,2.07E-04
603,2.02E-04
604,1.51E-04
605,1.00E-04
606,7.24E-05
607,5.47E-05
608,4.37E-05
609,3.76E-05
610,3.23E-05
611,3.23E-05
612,3.29E-05
613,3.60E-05
614,4.75E-05
615,6.67E-05
616,1.13E-04
617,2.18E-04
618,4.38E-04
619,7.43E-04
620,9.32E-04
621,8.73E-04
622,6.86E-04
623,5.63E-04
624,5.78E-04
625,7.38E-04
626,9.34E-04
627,9.17E-04
628,6.41E-04
629,3.39E-04
630,1.60E-04
631,8.33E-05
632,4.92E-05
633,3.22E-05
634,2.28E-05
635,1.91E-05
636,1.37E-05
637,1.47E-05
638,1.79E-05
639,2.24E-05
640,3.47E-05
641,5.08E-05
642,7.77E-05
643,1.13E-04
644,1.47E-04
645,1.69E-04
646,1.71E-04
647,1.67E-04
648,1.74E-04
649,2.03E-04
650,2.93E-04
651,4.79E-04
652,6.85E-04
653,6.83E-04
654,4.53E-04
655,2.19E-04
656,9.81E-05
657,5.20E-05
658,3.22E-05
659,2.11E-05
660,1.75E-05
661,1.30E-05
662,1.32E-05
663,1.52E-05
664,1.61E-05
665,2.27E-05
666,2.80E-05
667,4.49E-05
668,7.64E-05
669,1.34E-04
670,2.26E-04
671,3.71E-04
672,5.12E-04
673,6.09E-04
674,6.48E-04
675,5.98E-04
676,4.39E-04
677,2.45E-04
678,1.11E-04
679,4.56E-05
680,1.72E-05
681,9.23E-06
682,3.56E-06
683,-2.12E-06
684,-1.10E-06
685,-4.66E-06
686,-6.69E-06
687,-3.13E-06
688,-6.10E-06
689,-8.71E-06
690,-6.34E-06
691,-5.84E-06
692,-4.15E-06
693,-8.54E-06
694,-5.67E-06
695,-3.13E-06
696,-7.19E-06
697,-6.09E-06
698,-6.26E-06
699,-7.10E-06
700,-5.15E-06
701,-4.48E-06
702,-7.18E-06
703,-5.66E-06
704,-9.21E-06
705,-6.08E-06
706,-4.48E-06
707,-8.61E-06
708,-6.58E-06
709,-9.54E-06
710,-6.41E-06
711,-8.61E-06
712,-5.48E-06
713,-4.30E-06
714,-7.00E-06
715,-8.18E-06
716,-1.00E-05
717,-8.43E-06
718,-5.48E-06
719,-7.59E-06
720,-4.89E-06
721,-6.58E-06
722,-7.75E-06
723,-4.12E-06
724,-4.46E-06
725,3.37E-07
726,-5.48E-06
727,5.05E-07
728,-5.64E-06
729,-2.36E-06
730,-2.44E-06
731,-3.70E-06
732,-1.68E-06
733,-5.22E-06
734,-1.77E-06
735,-6.48E-06
736,-2.10E-06
737,-1.68E-06
738,-3.11E-06
739,1.51E-06
740,1.34E-06
741,7.14E-06
742,1.00E-05
743,2.71E-05
744,3.45E-05
745,5.80E-05
746,8.94E-05
747,1.29E-04
748,1.62E-04
749,1.86E-04
750,1.83E-04
751,1.62E-04
752,1.26E-04
753,9.55E-05
754,7.10E-05
755,5.20E-05
756,3.63E-05
757,2.44E-05
758,1.75E-05
759,1.54E-05
760,8.55E-06
761,1.11E-05
762,3.94E-06
763,-6.04E-06
764,1.50E-05
765,9.89E-06
766,1.62E-05
767,2.24E-05
768,3.77E-05
769,7.49E-05
770,2.54E-04
771,8.20E-04
772,1.40E-03
773,1.02E-03
774,3.05E-04
775,7.50E-05
776,2.84E-05
777,1.51E-05
778,5.95E-06
779,6.87E-06
780,-2.51E-07
781,2.68E-06
782,2.18E-06
783,-1.93E-06
784,-3.85E-06
785,-3.77E-06
786,-4.86E-06
787,-9.46E-06
788,8.38E-08
789,-3.52E-06
790,-4.10E-06
791,-6.87E-06
792,-2.85E-06
793,-4.44E-06
794,-4.86E-06
795,-7.21E-06
796,-1.01E-05
797,-6.11E-06
798,-5.19E-06
799,-1.01E-05
800,-1.38E-05
801,-7.04E-06
802,-1.11E-05
803,-5.45E-06
804,-5.11E-06
805,-6.13E-06
806,-2.77E-06
807,-4.20E-06
808,-4.37E-06
809,-1.03E-05
810,-8.74E-06
811,-8.91E-06
812,-6.47E-06
813,-8.83E-06
814,-9.10E-06
815,-6.74E-06
816,-6.23E-06
817,-5.65E-06
818,-4.05E-06
819,-7.94E-06
820,-9.64E-06
821,-4.49E-06
822,-5.08E-06
823,-2.37E-06
824,-7.13E-06
825,-6.12E-06
826,-9.45E-06
827,-3.32E-06
828,-3.67E-06
829,7.69E-07
830,-3.50E-06
831,-3.51E-06
832,-3.00E-06
833,-4.37E-06
834,-4.29E-07
835,3.44E-07
836,-2.32E-06
837,-4.82E-06
838,-2.93E-06
839,-9.66E-06
840,-2.41E-06
841,-7.76E-07
842,-3.28E-06
843,-8.72E-06
844,-6.83E-06
845,5.19E-07
846,-3.89E-06
847,-1.73E-06
848,-3.98E-06
849,-4.93E-06
850,-8.39E-06
851,-5.70E-06
852,-6.04E-06
853,-4.06E-06
854,-8.63E-08
855,-2.33E-06
856,2.07E-06
857,1.11E-05
858,-1.03E-06
859,-2.24E-06
860,8.84E-06
861,-8.65E-06
862,-2.88E-05
863,1.04E-05
864,1.13E-05
865,9.20E-06
866,8.35E-06
867,2.25E-05
868,1.60E-05
869,3.87E-05
870,5.56E-05
871,6.45E-05
872,7.97E-05
873,8.79E-05
874,8.57E-05
875,8.16E-05
876,7.51E-05
877,9.51E-05
878,6.74E-05
879,3.40E-05
880,7.02E-05
881,9.96E-05
882,7.14E-05
883,7.83E-05
884,9.15E-05
885,9.44E-05
886,1.31E-04
887,1.91E-04
888,2.54E-04
889,2.82E-04
890,3.15E-04
891,3.99E-04
892,4.40E-04
893,4.57E-04
894,4.82E-04
895,5.53E-04
896,5.91E-04
897,6.18E-04
898,6.42E-04
899,6.66E-04
900,6.88E-04
901,6.89E-04
902,6.66E-04
903,6.85E-04
904,7.26E-04
905,7.48E-04
906,7.82E-04
907,7.67E-04
908,7.73E-04
909,8.02E-04
910,8.06E-04
911,8.56E-04
912,8.98E-04
913,9.13E-04
914,9.49E-04
915,9.62E-04
916,1.01E-03
917,1.09E-03
918,1.08E-03
919,9.87E-04
920,8.64E-04
921,7.64E-04
922,7.44E-04
923,7.20E-04
924,6.75E-04
925,6.29E-04
926,5.62E-04
927,5.12E-04
928,4.57E-04
929,4.30E-04
930,3.94E-04
931,3.64E-04
932,3.65E-04
933,3.38E-04
934,3.08E-04
935,2.91E-04
936,3.05E-04
937,2.98E-04
938,2.75E-04
939,2.76E-04
940,2.81E-04
941,2.79E-04
942,2.74E-04
943,2.76E-04
944,2.96E-04
945,2.83E-04
946,2.72E-04
947,2.70E-04
948,2.86E-04
949,2.90E-04
950,2.99E-04
951,2.88E-04
952,2.73E-04
953,2.90E-04
954,2.73E-04
955,2.49E-04
956,2.53E-04
957,2.34E-04
958,2.14E-04
959,1.75E-04
960,1.71E-04
961,1.39E-04
962,1.16E-04
963,1.11E-04
964,1.16E-04
965,1.17E-04
966,7.49E-05
967,4.66E-05
968,4.51E-05
969,3.90E-05
970,3.94E-05
971,3.41E-05
972,5.88E-05
973,8.97E-05
974,1.06E-04
975,3.02E-05
976,-5.58E-05
977,-7.32E-05
978,-4.31E-05
979,-1.69E-05
980,-6.48E-07
981,2.26E-06
982,2.05E-05
983,4.76E-05
984,5.87E-05
985,5.46E-05
986,4.53E-05
987,1.21E-05
988,5.91E-05
989,3.32E-05
990,6.47E-05
991,1.12E-04
992,1.29E-04
993,1.43E-04
994,1.39E-04
995,1.94E-04
996,2.51E-04
997,2.59E-04
998,3.05E-04
999,3.15E-04
1000,3.75E-04
1001,4.65E-04
1002,5.27E-04
1003,5.83E-04
1004,6.51E-04
1005,7.17E-04
1006,7.62E-04
1007,8.47E-04
1008,9.36E-04
1009,1.03E-03
1010,1.15E-03
1011,1.22E-03
1012,1.29E-03
1013,1.38E-03
1014,1.46E-03
1015,1.46E-03
1016,1.41E-03
1017,1.44E-03
1018,1.50E-03
1019,1.53E-03
1020,1.55E-03
1021,1.60E-03
1022,1.56E-03
1023,1.59E-03
1024,1.61E-03
1025,1.62E-03
