# wavelength,transmission
2.000000000000000111e-01,7.581617837164494117e-28
2.001000125015627018e-01,3.508934236759850187e-24
2.002000250031253925e-01,8.020331546535025823e-24
2.003000375046881110e-01,1.279998387806550785e-23
2.004000500062508017e-01,1.703093036416302912e-23
2.005000625078134924e-01,2.021624240278132950e-23
2.006000750093761831e-01,2.211687067021449800e-23
2.007000875109388738e-01,2.269407868065599394e-23
2.008001000125015645e-01,2.205680256094584149e-23
2.009001125140642829e-01,2.041423922693033671e-23
2.010001250156269736e-01,1.803392955511575826e-23
2.011001375171896643e-01,1.520556965696610633e-23
2.012001500187523551e-01,1.221075221287542893e-23
2.013001625203150458e-01,9.298811249348310503e-24
2.014001750218777365e-01,6.668917996850985534e-24
2.015001875234404549e-01,4.458552805639755014e-24
2.016002000250031456e-01,2.738458787313119165e-24
2.017002125265658363e-01,1.514167331354727406e-24
2.018002250281285270e-01,7.341731346310101152e-25
2.019002375296912177e-01,3.048291810313533516e-25
2.020002500312539084e-01,1.120312278104783446e-25
2.021002625328165991e-01,4.754391577419170341e-26
2.022002750343793176e-01,3.827201320905296001e-26
2.023002875359420083e-01,6.553781920113972922e-26
2.024003000375046990e-01,1.502729828554332426e-25
2.025003125390673897e-01,3.352716106117562340e-25
2.026003250406300804e-01,6.700203246463515111e-25
2.027003375421927989e-01,1.198138827297411826e-24
2.028003500437554896e-01,1.947458456257796067e-24
2.029003625453181803e-01,2.922762680544669123e-24
2.030003750468808710e-01,4.101212553056752765e-24
2.031003875484435617e-01,5.443596544303422155e-24
2.032004000500062524e-01,6.947164872743939534e-24
2.033004125515689708e-01,8.630660291855295470e-24
2.034004250531316615e-01,1.052466449637112447e-23
2.035004375546943522e-01,1.267179213911940185e-23
2.036004500562570430e-01,1.512734623895380755e-23
2.037004625578197337e-01,1.796042725504007375e-23
2.038004750593824244e-01,2.125548550620327131e-23
2.039004875609451428e-01,2.511430248528921672e-23
2.040005000625078335e-01,2.965838089318953504e-23
2.041005125640705242e-01,3.091231707410756035e-19
2.042005250656332149e-01,3.619693372041977627e-19
2.043005375671959056e-01,4.182978726151712628e-19
2.044005500687585963e-01,4.751068586094742169e-19
2.045005625703212870e-01,5.287149419115035008e-19
2.046005750718840055e-01,5.749132206513803733e-19
2.047005875734466962e-01,6.092027984764443166e-19
2.048006000750093869e-01,6.271175691065957920e-19
2.049006125765720776e-01,6.246319201577025070e-19
2.050006250781347683e-01,5.986533992210720634e-19
2.051006375796974868e-01,5.491177530413139091e-19
2.052006500812601775e-01,4.832960646999724976e-19
2.053006625828228682e-01,4.098466594905870332e-19
2.054006750843855589e-01,3.363744456066610171e-19
2.055006875859482496e-01,2.688593302367901423e-19
2.056007000875109403e-01,2.113978411015498594e-19
2.057007125890736587e-01,1.662592112130283760e-19
2.058007250906363494e-01,1.342576626274110978e-19
2.059007375921990401e-01,1.154433467872847176e-19
2.060007500937617309e-01,1.101153635202090724e-19
2.061007625953244216e-01,1.191685634896635343e-19
2.062007750968871123e-01,1.420357717760379823e-19
2.063007875984498307e-01,1.784652634094244321e-19
2.064008001000125214e-01,2.280324144537998437e-19
2.065008126015752121e-01,2.890987815594387158e-19
2.066008251031379028e-01,3.581565033029639822e-19
2.067008376047005935e-01,4.295649912873190877e-19
2.068008501062632842e-01,4.956874232858574495e-19
2.069008626078260027e-01,5.474336844392243031e-19
2.070008751093886934e-01,5.752140698421829569e-19
2.071008876109513841e-01,5.723525318830380042e-19
2.072009001125140748e-01,5.422572622719749230e-19
2.073009126140767655e-01,4.919813928811916089e-19
2.074009251156394562e-01,4.291654939881680175e-19
2.075009376172021747e-01,3.611199623910434489e-19
2.076009501187648654e-01,2.941519059863850399e-19
2.077009626203275561e-01,2.331377380389982599e-19
2.078009751218902468e-01,1.813403175081543677e-19
2.079009876234529375e-01,1.404678877567927459e-19
2.080010001250156282e-01,1.109713181364570726e-19
2.081010126265783189e-01,9.209060035840265464e-20
2.082010251281410373e-01,8.141492940875483864e-20
2.083010376297037280e-01,7.700704775761615665e-20
2.084010501312664188e-01,7.769926358687193817e-20
2.085010626328291095e-01,8.285565163986127742e-20
2.086010751343918002e-01,9.216517784007375874e-20
2.087010876359545186e-01,1.054652374653936032e-19
2.088011001375172093e-01,1.225951531654149598e-19
2.089011126390799000e-01,1.432792495440050875e-19
2.090011251406425907e-01,1.670392033951397283e-19
2.091011376422052814e-01,1.932875401131535676e-19
2.092011501437679721e-01,2.218177217234412320e-19
2.093011626453306628e-01,2.524934993870975916e-19
2.094011751468933813e-01,2.851246619377006358e-19
2.095011876484560720e-01,3.194660633126189071e-19
2.096012001500187627e-01,3.552175626061107875e-19
2.097012126515814534e-01,3.920249259538708444e-19
2.098012251531441441e-01,4.294817400392082993e-19
2.099012376547068626e-01,4.671323858242856641e-19
2.100012501562695533e-01,5.044761178436020644e-19
2.101012626578322440e-01,5.408439335003572174e-19
2.102012751593949347e-01,5.750066891141851844e-19
2.103012876609576254e-01,6.055150024861386396e-19
2.104013001625203161e-01,6.308493720334817433e-19
2.105013126640830345e-01,6.494709020113138950e-19
2.106013251656457252e-01,6.598831440011162133e-19
2.107013376672084159e-01,6.607048678085029634e-19
2.108013501687711067e-01,6.507534314834904198e-19
2.109013626703337974e-01,6.291382516728805610e-19
2.110013751718964881e-01,5.953636827086186515e-19
2.111013876734592065e-01,5.502314790604136338e-19
2.112014001750218972e-01,4.978778456197694875e-19
2.113014126765845879e-01,4.428336562838526028e-19
2.114014251781472786e-01,3.889952693227090681e-19
2.115014376797099693e-01,3.394940574355702022e-19
2.116014501812726600e-01,2.966809839256649380e-19
2.117014626828353785e-01,2.622225669977899261e-19
2.118014751843980692e-01,2.373047075650680923e-19
2.119014876859607599e-01,2.229418542987331228e-19
2.120015001875234506e-01,2.203908729062974585e-19
2.121015126890861413e-01,2.307238707870640202e-19
2.122015251906488320e-01,2.523862552914198878e-19
2.123015376922115505e-01,2.833146576623739227e-19
2.124015501937742412e-01,3.211454734746856278e-19
2.125015626953369319e-01,3.627927737381830281e-19
