# wavelength,transmission
2.000000000000000111e-01,3.162095146986085084e-17
2.001000125015627018e-01,2.285707039507698139e-14
2.002000250031253925e-01,2.564519910944191685e-14
2.003000375046881110e-01,2.796185115948345029e-14
2.004000500062508017e-01,2.983845476151444517e-14
2.005000625078134924e-01,3.130726060353442080e-14
2.006000750093761831e-01,3.240135255821855226e-14
2.007000875109388738e-01,3.315465704300620728e-14
2.008001000125015645e-01,3.360195098626751475e-14
2.009001125140642829e-01,3.377886835829742130e-14
2.010001250156269736e-01,3.372190522574567925e-14
2.011001375171896643e-01,3.346842328804659721e-14
2.012001500187523551e-01,3.305665185445811340e-14
2.013001625203150458e-01,3.252568822047342197e-14
2.014001750218777365e-01,3.191549640261621724e-14
2.015001875234404549e-01,3.126690419098534341e-14
2.016002000250031456e-01,3.062159847937745220e-14
2.017002125265658363e-01,3.002212223651710732e-14
2.018002250281285270e-01,2.951187584348711407e-14
2.019002375296912177e-01,2.913509629870258130e-14
2.020002500312539084e-01,2.893684296025154696e-14
2.021002625328165991e-01,2.894890111530696678e-14
2.022002750343793176e-01,2.914740224180311028e-14
2.023002875359420083e-01,2.949393636235185354e-14
2.024003000375046990e-01,2.994930947330687417e-14
2.025003125390673897e-01,3.047355531745823866e-14
2.026003250406300804e-01,3.102594216263466273e-14
2.027003375421927989e-01,3.156497442532507363e-14
2.028003500437554896e-01,3.204838897908789012e-14
2.029003625453181803e-01,3.243314598709741825e-14
2.030003750468808710e-01,3.267541409745754058e-14
2.031003875484435617e-01,3.274646529239071226e-14
2.032004000500062524e-01,3.268028300433381767e-14
2.033004125515689708e-01,3.252721100409883141e-14
2.034004250531316615e-01,3.233855829551173028e-14
2.035004375546943522e-01,3.216661717055454888e-14
2.036004500562570430e-01,3.206467773910441394e-14
2.037004625578197337e-01,3.208703881414409486e-14
2.038004750593824244e-01,3.228901503136329950e-14
2.039004875609451428e-01,3.272694008050560151e-14
2.040005000625078335e-01,3.345816592128050964e-14
2.041005125640705242e-01,3.050152080408880257e-10
2.042005250656332149e-01,3.166260058603775521e-10
2.043005375671959056e-01,3.294783594056779346e-10
