# wavelength,transmission
2.000000000000000111e-01,2.438231622828971703e-27
2.001000125015627018e-01,1.130533793498040229e-23
2.002000250031253925e-01,2.589137887591041765e-23
2.003000375046881110e-01,4.140782413018792185e-23
2.004000500062508017e-01,5.521707180852580157e-23
2.005000625078134924e-01,6.569701016205006758e-23
2.006000750093761831e-01,7.204824959783181865e-23
2.007000875109388738e-01,7.411524504399859530e-23
2.008001000125015645e-01,7.222202175222625042e-23
2.009001125140642829e-01,6.702323889038404464e-23
2.010001250156269736e-01,5.937134376795227143e-23
2.011001375171896643e-01,5.020058512395597447e-23
2.012001500187523551e-01,4.042866646274685309e-23
2.013001625203150458e-01,3.087682981706796347e-23
2.014001750218777365e-01,2.220916642053636245e-23
2.015001875234404549e-01,1.489195345304246318e-23
2.016002000250031456e-01,9.173815153636942410e-24
2.017002125265658363e-01,5.087502625272971534e-24
2.018002250281285270e-01,2.474075920762884384e-24
2.019002375296912177e-01,1.030261157510134349e-24
2.020002500312539084e-01,3.797469659888751318e-25
2.021002625328165991e-01,1.616213747255559193e-25
2.022002750343793176e-01,1.304714621123222320e-25
2.023002875359420083e-01,2.240454990968065469e-25
2.024003000375046990e-01,5.151250705823395768e-25
2.025003125390673897e-01,1.152368802637824231e-24
2.026003250406300804e-01,2.308973003493456666e-24
2.027003375421927989e-01,4.139474873980328796e-24
2.028003500437554896e-01,6.745007202247009565e-24
2.029003625453181803e-01,1.014730121899330660e-23
2.030003750468808710e-01,1.427172677312240998e-23
2.031003875484435617e-01,1.898551004229909038e-23
2.032004000500062524e-01,2.428240159982940280e-23
2.033004125515689708e-01,3.023185242212310315e-23
2.034004250531316615e-01,3.694606967883736696e-23
2.035004375546943522e-01,4.458137590490816728e-23
2.036004500562570430e-01,5.334129849274641086e-23
2.037004625578197337e-01,6.348144088947333630e-23
2.038004750593824244e-01,7.531618730910884223e-23
2.039004875609451428e-01,8.922729266613898586e-23
2.040005000625078335e-01,1.056744087600316038e-22
2.041005125640705242e-01,1.104831519039884329e-18
2.042005250656332149e-01,1.297973500533238755e-18
2.043005375671959056e-01,1.505161432567768274e-18
2.044005500687585963e-01,1.715742807140051880e-18
2.045005625703212870e-01,1.916426114307254496e-18
2.046005750718840055e-01,2.091772381969419811e-18
2.047005875734466962e-01,2.225017047199667144e-18
2.048006000750093869e-01,2.299232480229906559e-18
2.049006125765720776e-01,2.298840940039607102e-18
2.050006250781347683e-01,2.211487045846147117e-18
2.051006375796974868e-01,2.035914474154944915e-18
2.052006500812601775e-01,1.798255962129443221e-18
2.053006625828228682e-01,1.530255066317317890e-18
2.054006750843855589e-01,1.260173842442341961e-18
2.055006875859482496e-01,1.010553702571149286e-18
2.056007000875109403e-01,7.971212281216440310e-19
2.057007125890736587e-01,6.288727464700673862e-19
2.058007250906363494e-01,5.093708067918792942e-19
2.059007375921990401e-01,4.392861198488213723e-19
2.060007500937617309e-01,4.202200991231176214e-19
2.061007625953244216e-01,4.560485336208767369e-19
2.062007750968871123e-01,5.450674970766814626e-19
2.063007875984498307e-01,6.867634549105488433e-19
2.064008001000125214e-01,8.799619738142262097e-19
2.065008126015752121e-01,1.118808285234879846e-18
2.066008251031379028e-01,1.390170670250263321e-18
2.067008376047005935e-01,1.672513059207769936e-18
2.068008501062632842e-01,1.936285142744812456e-18
2.069008626078260027e-01,2.145879307837881033e-18
2.070008751093886934e-01,2.263203809542032944e-18
2.071008876109513841e-01,2.260980111737472112e-18
2.072009001125140748e-01,2.151208941849157659e-18
2.073009126140767655e-01,1.960448940256786016e-18
2.074009251156394562e-01,1.718015167200765627e-18
2.075009376172021747e-01,1.452427739452556839e-18
2.076009501187648654e-01,1.188722494341761375e-18
2.077009626203275561e-01,9.466537216122854498e-19
2.078009751218902468e-01,7.398187135420032473e-19
2.079009876234529375e-01,5.757331300518966813e-19
2.080010001250156282e-01,4.568849389846151226e-19
2.081010126265783189e-01,3.807889092076695879e-19
2.082010251281410373e-01,3.380395898254489955e-19
2.083010376297037280e-01,3.210076993053532983e-19
2.084010501312664188e-01,3.251289860725023641e-19
2.085010626328291095e-01,3.479786778976223626e-19
2.086010751343918002e-01,3.884477672273243129e-19
2.087010876359545186e-01,4.460255056460570415e-19
2.088011001375172093e-01,5.201917438048425781e-19
2.089011126390799000e-01,6.099221650729976955e-19
2.090011251406425907e-01,7.133090286531839748e-19
2.091011376422052814e-01,8.279504078720646497e-19
2.092011501437679721e-01,9.530485437497915701e-19
2.093011626453306628e-01,1.088098790528702992e-18
2.094011751468933813e-01,1.232358880103656705e-18
2.095011876484560720e-01,1.384842380904518390e-18
2.096012001500187627e-01,1.544316002788886793e-18
2.097012126515814534e-01,1.709300963849746940e-18
2.098012251531441441e-01,1.878078638477167681e-18
2.099012376547068626e-01,2.048700704909655275e-18
2.100012501562695533e-01,2.219004003628883299e-18
2.101012626578322440e-01,2.386072956391243041e-18
2.102012751593949347e-01,2.544523749694432513e-18
2.103012876609576254e-01,2.687954095334209777e-18
2.104013001625203161e-01,2.809580593420546040e-18
2.105013126640830345e-01,2.902446539300549637e-18
2.106013251656457252e-01,2.959679002008869328e-18
2.107013376672084159e-01,2.974796176291434378e-18
2.108013501687711067e-01,2.942066109564017875e-18
2.109013626703337974e-01,2.856918037847135993e-18
2.110013751718964881e-01,2.716407741017971683e-18
2.111013876734592065e-01,2.523310032365256586e-18
2.112014001750218972e-01,2.295521595533758603e-18
2.113014126765845879e-01,2.053113877550116757e-18
2.114014251781472786e-01,1.813717948814472720e-18
2.115014376797099693e-01,1.591870044470467932e-18
2.116014501812726600e-01,1.398843053427792107e-18
2.117014626828353785e-01,1.242976568977720763e-18
2.118014751843980692e-01,1.130518301143883591e-18
2.119014876859607599e-01,1.066989680109960970e-18
2.120015001875234506e-01,1.059088332503927359e-18
2.121015126890861413e-01,1.112614883633920459e-18
2.122015251906488320e-01,1.220719455443466578e-18
2.123015376922115505e-01,1.373911668017067001e-18
2.124015501937742412e-01,1.561102737373772886e-18
2.125015626953369319e-01,1.767615258539251748e-18
2.126015751968996226e-01,1.974221322138557104e-18
2.127015876984623133e-01,2.157233891619095041e-18
2.128016002000250040e-01,2.289676462562529734e-18
2.129016127015877224e-01,2.343556437962252440e-18
2.130016252031504131e-01,2.293268430200800103e-18
2.131016377047131038e-01,2.127903544819338292e-18
2.132016502062757946e-01,1.874774712507428959e-18
2.133016627078384853e-01,1.571264091436922722e-18
2.134016752094011760e-01,1.252817588440666838e-18
2.135016877109638944e-01,9.494319869755423645e-19
2.136017002125265851e-01,6.833126278912740716e-19
2.137017127140892758e-01,4.677329138076140051e-19
2.138017252156519665e-01,3.071275878396528846e-19
2.139017377172146572e-01,1.984517243487890846e-19
2.140017502187773479e-01,1.338366307364503921e-19
2.141017627203400664e-01,1.031431507739961072e-19
2.142017752219027571e-01,9.544654609300395525e-20
2.143017877234654478e-01,1.054085440433887526e-19
2.144018002250281385e-01,1.323280391512945269e-19
2.145018127265908292e-01,1.778001961740920540e-19
2.146018252281535199e-01,2.437725482339786332e-19
2.147018377297162384e-01,3.310085388682804080e-19
2.148018502312789291e-01,4.379679574125241851e-19
2.149018627328416198e-01,5.601130797871520792e-19
2.150018752344043105e-01,6.896490752306311259e-19
2.151018877359670012e-01,8.178508416055064419e-19
2.152019002375296919e-01,9.428447126441200867e-19
2.153019127390924103e-01,1.065780505996505976e-18
2.154019252406551010e-01,1.189014513176954065e-18
2.155019377422177917e-01,1.315948572224725512e-18
