# wavelength,transmission
2.000000000000000111e-01,7.581617837164493667e-32
2.001000125015627018e-01,3.508934236759850373e-28
2.002000250031253925e-01,8.020331546535022945e-28
2.003000375046881110e-01,1.279998387806550788e-27
2.004000500062508017e-01,1.703093036416303321e-27
2.005000625078134924e-01,2.021624240278133122e-27
2.006000750093761831e-01,2.211687067021450108e-27
2.007000875109388738e-01,2.269407868065599144e-27
2.008001000125015645e-01,2.205680256094583580e-27
2.009001125140642829e-01,2.041423922693033822e-27
2.010001250156269736e-01,1.803392955511576352e-27
2.011001375171896643e-01,1.520556965696610677e-27
2.012001500187523551e-01,1.221075221287542968e-27
2.013001625203150458e-01,9.298811249348308686e-28
2.014001750218777365e-01,6.668917996850983875e-28
2.015001875234404549e-01,4.458552805639755676e-28
2.016002000250031456e-01,2.738458787313118934e-28
2.017002125265658363e-01,1.514167331354727663e-28
2.018002250281285270e-01,7.341731346310102011e-29
2.019002375296912177e-01,3.048291810313533915e-29
2.020002500312539084e-01,1.120312278104783565e-29
2.021002625328165991e-01,4.754391577419171113e-30
2.022002750343793176e-01,3.827201320905296241e-30
2.023002875359420083e-01,6.553781920113976191e-30
2.024003000375046990e-01,1.502729828554332130e-29
2.025003125390673897e-01,3.352716106117562765e-29
2.026003250406300804e-01,6.700203246463516098e-29
2.027003375421927989e-01,1.198138827297412127e-28
2.028003500437554896e-01,1.947458456257796282e-28
2.029003625453181803e-01,2.922762680544668967e-28
2.030003750468808710e-01,4.101212553056752867e-28
2.031003875484435617e-01,5.443596544303422416e-28
2.032004000500062524e-01,6.947164872743937871e-28
2.033004125515689708e-01,8.630660291855295154e-28
2.034004250531316615e-01,1.052466449637112299e-27
2.035004375546943522e-01,1.267179213911940118e-27
2.036004500562570430e-01,1.512734623895381095e-27
2.037004625578197337e-01,1.796042725504008342e-27
2.038004750593824244e-01,2.125548550620327067e-27
2.039004875609451428e-01,2.511430248528922051e-27
2.040005000625078335e-01,2.965838089318953425e-27
2.041005125640705242e-01,3.091231707410755517e-23
2.042005250656332149e-01,3.619693372041978066e-23
2.043005375671959056e-01,4.182978726151712485e-23
2.044005500687585963e-01,4.751068586094743436e-23
2.045005625703212870e-01,5.287149419115035006e-23
2.046005750718840055e-01,5.749132206513803949e-23
2.047005875734466962e-01,6.092027984764445620e-23
2.048006000750093869e-01,6.271175691065957544e-23
2.049006125765720776e-01,6.246319201577026745e-23
2.050006250781347683e-01,5.986533992210720034e-23
2.051006375796974868e-01,5.491177530413139900e-23
2.052006500812601775e-01,4.832960646999726244e-23
2.053006625828228682e-01,4.098466594905870237e-23
2.054006750843855589e-01,3.363744456066610132e-23
2.055006875859482496e-01,2.688593302367901178e-23
2.056007000875109403e-01,2.113978411015498436e-23
2.057007125890736587e-01,1.662592112130283809e-23
2.058007250906363494e-01,1.342576626274111262e-23
2.059007375921990401e-01,1.154433467872847299e-23
2.060007500937617309e-01,1.101153635202090852e-23
2.061007625953244216e-01,1.191685634896635703e-23
2.062007750968871123e-01,1.420357717760379760e-23
2.063007875984498307e-01,1.784652634094244676e-23
2.064008001000125214e-01,2.280324144537998440e-23
2.065008126015752121e-01,2.890987815594386467e-23
2.066008251031379028e-01,3.581565033029640454e-23
2.067008376047005935e-01,4.295649912873189467e-23
2.068008501062632842e-01,4.956874232858575047e-23
2.069008626078260027e-01,5.474336844392244052e-23
2.070008751093886934e-01,5.752140698421832366e-23
2.071008876109513841e-01,5.723525318830381552e-23
2.072009001125140748e-01,5.422572622719750047e-23
2.073009126140767655e-01,4.919813928811917688e-23
2.074009251156394562e-01,4.291654939881680774e-23
2.075009376172021747e-01,3.611199623910434921e-23
2.076009501187648654e-01,2.941519059863850120e-23
2.077009626203275561e-01,2.331377380389983234e-23
2.078009751218902468e-01,1.813403175081543503e-23
2.079009876234529375e-01,1.404678877567927199e-23
2.080010001250156282e-01,1.109713181364570616e-23
2.081010126265783189e-01,9.209060035840265671e-24
2.082010251281410373e-01,8.141492940875486039e-24
2.083010376297037280e-01,7.700704775761614918e-24
2.084010501312664188e-01,7.769926358687192324e-24
2.085010626328291095e-01,8.285565163986127183e-24
2.086010751343918002e-01,9.216517784007375726e-24
2.087010876359545186e-01,1.054652374653935969e-23
2.088011001375172093e-01,1.225951531654149631e-23
2.089011126390799000e-01,1.432792495440051339e-23
2.090011251406425907e-01,1.670392033951397666e-23
2.091011376422052814e-01,1.932875401131535855e-23
2.092011501437679721e-01,2.218177217234412264e-23
2.093011626453306628e-01,2.524934993870975807e-23
2.094011751468933813e-01,2.851246619377005623e-23
2.095011876484560720e-01,3.194660633126188929e-23
2.096012001500187627e-01,3.552175626061108430e-23
2.097012126515814534e-01,3.920249259538708716e-23
2.098012251531441441e-01,4.294817400392083974e-23
2.099012376547068626e-01,4.671323858242857003e-23
2.100012501562695533e-01,5.044761178436022135e-23
2.101012626578322440e-01,5.408439335003572266e-23
2.102012751593949347e-01,5.750066891141850802e-23
2.103012876609576254e-01,6.055150024861386558e-23
2.104013001625203161e-01,6.308493720334819485e-23
2.105013126640830345e-01,6.494709020113138200e-23
2.106013251656457252e-01,6.598831440011162709e-23
2.107013376672084159e-01,6.607048678085031131e-23
2.108013501687711067e-01,6.507534314834905512e-23
2.109013626703337974e-01,6.291382516728808251e-23
2.110013751718964881e-01,5.953636827086185384e-23
2.111013876734592065e-01,5.502314790604135717e-23
2.112014001750218972e-01,4.978778456197694413e-23
2.113014126765845879e-01,4.428336562838527255e-23
2.114014251781472786e-01,3.889952693227090539e-23
2.115014376797099693e-01,3.394940574355702123e-23
2.116014501812726600e-01,2.966809839256649888e-23
2.117014626828353785e-01,2.622225669977899239e-23
2.118014751843980692e-01,2.373047075650680566e-23
2.119014876859607599e-01,2.229418542987331035e-23
2.120015001875234506e-01,2.203908729062974663e-23
2.121015126890861413e-01,2.307238707870640965e-23
2.122015251906488320e-01,2.523862552914198905e-23
2.123015376922115505e-01,2.833146576623738842e-23
2.124015501937742412e-01,3.211454734746855531e-23
2.125015626953369319e-01,3.627927737381830136e-23
2.126015751968996226e-01,4.042480922933073853e-23
2.127015876984623133e-01,4.406065613082727609e-23
2.128016002000250040e-01,4.663250648260058569e-23
2.129016127015877224e-01,4.757168121092995163e-23
2.130016252031504131e-01,4.636829196818097368e-23
2.131016377047131038e-01,4.282554303506593169e-23
2.132016502062757946e-01,3.753298001105248886e-23
2.133016627078384853e-01,3.127597125679781798e-23
2.134016752094011760e-01,2.478500886088528908e-23
2.135016877109638944e-01,1.866402118263330169e-23
2.136017002125265851e-01,1.334631615064070382e-23
2.137017127140892758e-01,9.077421319708061386e-24
2.138017252156519665e-01,5.923673157679606425e-24
2.139017377172146572e-01,3.805261961446232850e-24
2.140017502187773479e-01,2.552571010355672312e-24
2.141017627203400664e-01,1.957860618024470597e-24
2.142017752219027571e-01,1.804218202041150029e-24
2.143017877234654478e-01,1.985216971643793856e-24
2.144018002250281385e-01,2.484101168214637038e-24
2.145018127265908292e-01,3.327990894526219526e-24
2.146018252281535199e-01,4.550710236881644366e-24
2.147018377297162384e-01,6.163882216076103641e-24
2.148018502312789291e-01,8.136138172750982085e-24
2.149018627328416198e-01,1.038044806065905458e-23
2.150018752344043105e-01,1.274969015149077235e-23
2.151018877359670012e-01,1.508042853976070365e-23
2.152019002375296919e-01,1.733738829662249751e-23
2.153019127390924103e-01,1.954144240249698117e-23
2.154019252406551010e-01,2.173543719358786540e-23
2.155019377422177917e-01,2.398088706605114740e-23
2.156019502437804825e-01,2.635610878076810973e-23
2.157019627453431732e-01,2.895580754305564895e-23
2.158019752469058639e-01,3.189212353149008244e-23
2.159019877484685823e-01,3.529714488401778547e-23
2.160020002500312730e-01,3.932689089376288611e-23
2.161020127515939637e-01,4.410045186051602693e-23
2.162020252531566544e-01,4.949162952889604261e-23
2.163020377547193451e-01,5.526628324025945568e-23
2.164020502562820358e-01,6.112931266721264281e-23
2.165020627578447265e-01,6.672660753313497469e-23
2.166020752594074450e-01,7.165453651826990423e-23
2.167020877609701357e-01,7.547692874272656614e-23
2.168021002625328264e-01,7.774955192856480583e-23
2.169021127640955171e-01,7.805214638855064336e-23
2.170021252656582078e-01,7.602773270753164053e-23
2.171021377672209263e-01,7.158968941161032551e-23
2.172021502687836170e-01,6.535987231863341286e-23
2.173021627703463077e-01,5.811079298285570167e-23
2.174021752719089984e-01,5.055149603396066347e-23
2.175021877734716891e-01,4.328151671705659440e-23
2.176022002750343798e-01,3.676665705967539129e-23
2.177022127765970705e-01,3.133697493234525252e-23
2.178022252781597889e-01,2.720760366389983690e-23
2.179022377797224796e-01,2.452283398552020162e-23
2.180022502812851704e-01,2.342351874601170087e-23
2.181022627828478611e-01,2.401359332252659329e-23
2.182022752844105518e-01,2.608578999214622731e-23
2.183022877859732702e-01,2.941396850783070269e-23
2.184023002875359609e-01,3.376853643175001888e-23
2.185023127890986516e-01,3.885073991456892973e-23
2.186023252906613423e-01,4.425508272383297733e-23
2.187023377922240330e-01,4.945917272675014098e-23
2.188023502937867237e-01,5.383995451811901124e-23
2.189023627953494144e-01,5.671525846017679629e-23
2.190023752969121329e-01,5.740989343751920706e-23
2.191023877984748236e-01,5.552333299120346139e-23
2.192024003000375143e-01,5.147066523640594601e-23
2.193024128016002050e-01,4.590968823472397703e-23
2.194024253031628957e-01,3.950605650143303349e-23
2.195024378047256142e-01,3.287139786235994186e-23
2.196024503062883049e-01,2.651835565590175863e-23
2.197024628078509956e-01,2.083255721768981049e-23
2.198024753094136863e-01,1.606188701411631026e-23
2.199024878109763770e-01,1.232365483337348799e-23
2.200025003125390677e-01,7.499044455372009055e-20
2.201025128141017861e-01,6.146536372080176387e-20
2.202025253156644768e-01,5.363777639450582435e-20
2.203025378172271675e-01,5.013217062026532441e-20
2.204025503187898583e-01,5.011134573249252798e-20
2.205025628203525490e-01,5.312002616151616059e-20
2.206025753219152397e-01,5.894626912003546970e-20
2.207025878234779581e-01,6.750189519880991297e-20
2.208026003250406488e-01,7.872247613257868446e-20
2.209026128266033395e-01,9.248685834380679354e-20
2.210026253281660302e-01,1.085557890881366504e-19
2.211026378297287209e-01,1.266470560392143858e-19
2.212026503312914116e-01,1.467961013616374232e-19
2.213026628328541301e-01,1.691236816550732802e-19
2.214026753344168208e-01,1.937487356031382216e-19
2.215026878359795115e-01,2.207876369150029098e-19
2.216027003375422022e-01,2.503533807283180081e-19
2.217027128391048929e-01,2.825547006353135577e-19
2.218027253406675836e-01,3.174951145656455821e-19
2.219027378422303021e-01,3.552718988882507424e-19
2.220027503437929928e-01,3.959749862880433149e-19
2.221027628453556835e-01,4.394099644949628977e-19
2.222027753469183742e-01,4.842396788750469477e-19
2.223027878484810649e-01,5.285747216374691409e-19
2.224028003500437556e-01,5.702050399207875165e-19
2.225028128516064740e-01,6.066562119172360689e-19
2.226028253531691647e-01,6.352812854725577242e-19
2.227028378547318554e-01,6.533899536855953972e-19
2.228028503562945462e-01,6.584160528072900881e-19
2.229028628578572369e-01,6.481232450609326817e-19
2.230028753594199276e-01,6.208472925875290382e-19
2.231028878609826460e-01,5.768732160149463600e-19
2.232029003625453367e-01,5.212268891824315371e-19
2.233029128641080274e-01,4.597283717779473820e-19
2.234029253656707181e-01,3.975531162261287950e-19
2.235029378672334088e-01,3.389418392870913333e-19
2.236029503687960995e-01,2.870760314062156434e-19
2.237029628703588180e-01,2.441147222810951523e-19
2.238029753719215087e-01,2.113866546238313762e-19
2.239029878734841994e-01,1.897329018517564895e-19
2.240030003750468901e-01,1.799983508751935768e-19
2.241030128766095808e-01,1.827615200418691497e-19
2.242030253781722715e-01,1.963820510089486544e-19
2.243030378797349900e-01,2.191631598979394269e-19
2.244030503812976807e-01,2.494481163891490188e-19
2.245030628828603714e-01,2.851228461701534177e-19
2.246030753844230621e-01,3.232992425841945443e-19
2.247030878859857528e-01,3.601825701838747141e-19
2.248031003875484435e-01,3.911440252326462549e-19
2.249031128891111619e-01,4.110051400743240393e-19
2.250031253906738526e-01,4.145493971208282038e-19
2.251031378922365433e-01,3.987278872313133371e-19
2.252031503937992341e-01,3.670179662383952820e-19
2.253031628953619248e-01,3.247941718062124046e-19
2.254031753969246155e-01,2.774104287063837285e-19
2.255031878984873339e-01,2.296570220759049828e-19
2.256032004000500246e-01,1.853892809493726640e-19
2.257032129016127153e-01,1.473383311817342676e-19
2.258032254031754060e-01,1.171136340966015252e-19
2.259032379047380967e-01,9.540622047749987629e-20
2.260032504063007874e-01,8.240056646055442088e-20
2.261032629078635059e-01,7.787621810922343107e-20
2.262032754094261966e-01,8.055034744486958968e-20
2.263032879109888873e-01,8.965179779232129164e-20
2.264033004125515780e-01,1.049512772741917677e-19
2.265033129141142687e-01,1.263790138085197597e-19
2.266033254156769594e-01,1.537103402055903962e-19
2.267033379172396779e-01,1.863235242744597388e-19
2.268033504188023686e-01,2.230349527594194895e-19
2.269033629203650593e-01,2.620172944182259738e-19
2.270033754219277500e-01,3.007962680196481257e-19
2.271033879234904407e-01,3.369125790955431336e-19
2.272034004250531314e-01,3.698107518233272772e-19
2.273034129266158498e-01,3.996379251688785754e-19
2.274034254281785405e-01,4.267731204744421499e-19
2.275034379297412312e-01,4.517815991860383378e-19
2.276034504313039220e-01,4.753782960575882107e-19
2.277034629328666127e-01,4.984008679989628293e-19
2.278034754344293034e-01,5.217927546325492313e-19
2.279034879359920218e-01,5.465965613171996449e-19
2.280035004375547125e-01,5.739580254235641760e-19
2.281035129391174032e-01,6.046069795789940528e-19
2.282035254406800939e-01,6.373745040301730771e-19
2.283035379422427846e-01,6.704948638718930161e-19
2.284035504438054753e-01,7.020086994806424167e-19
2.285035629453681938e-01,7.297827294371419072e-19
2.286035754469308845e-01,7.515571158410943056e-19
2.287035879484935752e-01,7.650209370419555596e-19
2.288036004500562659e-01,7.679159766561280113e-19
2.289036129516189566e-01,7.581686801311784594e-19
2.290036254531816473e-01,7.340496933045070212e-19
2.291036379547443658e-01,6.953570253822887935e-19
2.292036504563070565e-01,6.459089800091361671e-19
2.293036629578697472e-01,5.902509219411512698e-19
2.294036754594324379e-01,5.325458102849983057e-19
2.295036879609951286e-01,4.763949496495099701e-19
2.296037004625578193e-01,4.247498746709269010e-19
2.297037129641205377e-01,3.799140430443222115e-19
2.298037254656832284e-01,3.436323759751928289e-19
2.299037379672459191e-01,3.172663937218407529e-19
2.300037504688086099e-01,3.020527048823994393e-19
2.301037629703713006e-01,2.985919287171353863e-19
2.302037754719339913e-01,3.049846591109683001e-19
2.303037879734967097e-01,3.191115575353806788e-19
2.304038004750594004e-01,3.389960993513175148e-19
2.305038129766220911e-01,3.625587390049161784e-19
2.306038254781847818e-01,3.874627311834007289e-19
2.307038379797474725e-01,4.110491456205241608e-19
2.308038504813101632e-01,4.303589429846182818e-19
2.309038629828728817e-01,4.422464623323299928e-19
2.310038754844355724e-01,4.435796753024126369e-19
2.311038879859982631e-01,4.324324908010165058e-19
2.312039004875609538e-01,4.105830807820701600e-19
2.313039129891236445e-01,3.808002698273435264e-19
2.314039254906863352e-01,3.458863166067018412e-19
2.315039379922490537e-01,3.084914213266344535e-19
2.316039504938117444e-01,2.709747115737084244e-19
2.317039629953744351e-01,2.353117594165561228e-19
2.318039754969371258e-01,2.030486165376432701e-19
2.319039879984998165e-01,1.753051483371945070e-19
2.320040005000625349e-01,1.528281508094233048e-19
2.321040130016251979e-01,1.358501854391708092e-19
2.322040255031879163e-01,1.236990946992226184e-19
2.323040380047506070e-01,1.156904355550790975e-19
2.324040505063132978e-01,1.113267481539740489e-19
2.325040630078759885e-01,1.102782544896856401e-19
2.326040755094386792e-01,1.123636757675184770e-19
2.327040880110013976e-01,1.175313390715435559e-19
2.328041005125640883e-01,1.258407248593379450e-19
2.329041130141267790e-01,1.374445884592463168e-19
2.330041255156894697e-01,1.525717668319008993e-19
2.331041380172521604e-01,1.714374895197016139e-19
2.332041505188148789e-01,1.940068614605710099e-19
2.333041630203775418e-01,2.201133654187427896e-19
2.334041755219402603e-01,2.494754463690674422e-19
2.335041880235029510e-01,2.816712608869927363e-19
2.336042005250656417e-01,3.161228449064283101e-19
2.337042130266283324e-01,3.520896022703528468e-19
2.338042255281910231e-01,3.886709787523863244e-19
2.339042380297537416e-01,4.248181467811330151e-19
2.340042505313164323e-01,4.593544919766592487e-19
2.341042630328791230e-01,4.911119255354237632e-19
2.342042755344418137e-01,5.192631464584872591e-19
2.343042880360045044e-01,5.430949862402392125e-19
2.344043005375672228e-01,5.619450332120624045e-19
2.345043130391298858e-01,5.752140508320613885e-19
2.346043255406926042e-01,5.823775093673303449e-19
2.347043380422552949e-01,5.829966050862957628e-19
2.348043505438179857e-01,5.767293547186642207e-19
2.349043630453806764e-01,5.633425892719793370e-19
2.350043755469433671e-01,5.427259651992177484e-19
2.351043880485060855e-01,5.153797074552347741e-19
2.352044005500687762e-01,4.835180399601882111e-19
2.353044130516314669e-01,4.495921508612357148e-19
2.354044255531941576e-01,4.158397986015801461e-19
2.355044380547568483e-01,3.842430290057626867e-19
2.356044505563195668e-01,3.565214188860426275e-19
2.357044630578822297e-01,3.341654473546643924e-19
2.358044755594449482e-01,3.185142598020891651e-19
2.359044880610076389e-01,3.108804319416568219e-19
2.360045005625703296e-01,3.127212941100515389e-19
2.361045130641330203e-01,3.250380231346690049e-19
2.362045255656957110e-01,3.463906424810820618e-19
2.363045380672584295e-01,3.747936515829103237e-19
2.364045505688211202e-01,4.080620350828103884e-19
2.365045630703838109e-01,4.436518466114802281e-19
2.366045755719465016e-01,4.786033690764901553e-19
2.367045880735091923e-01,5.095802752172440195e-19
2.368046005750719107e-01,5.329954514160236612e-19
2.369046130766345737e-01,5.452137802440206909e-19
2.370046255781972921e-01,5.428243213316984149e-19
2.371046380797599828e-01,5.240599723769230314e-19
