# wavelength,transmission
2.000000000000000111e-01,3.774352357320389325e-22
2.001000125015627018e-01,6.410815822154709240e-19
2.002000250031253925e-01,9.728335962233838662e-19
2.003000375046881110e-01,1.233636141365009047e-18
2.004000500062508017e-01,1.428441844367415372e-18
2.005000625078134924e-01,1.562332244707639278e-18
2.006000750093761831e-01,1.640519407887792015e-18
2.007000875109388738e-01,1.668347326457459408e-18
2.008001000125015645e-01,1.651293102381250603e-18
2.009001125140642829e-01,1.594967904316186172e-18
2.010001250156269736e-01,1.505117693344351436e-18
2.011001375171896643e-01,1.387623710701343051e-18
2.012001500187523551e-01,1.248502721052028927e-18
2.013001625203150458e-01,1.093907004890691154e-18
2.014001750218777365e-01,9.301240936847915749e-19
2.015001875234404549e-01,7.635762414395444086e-19
2.016002000250031456e-01,6.008196264356153005e-19
2.017002125265658363e-01,4.485433278272915989e-19
2.018002250281285270e-01,3.135679976244576021e-19
2.019002375296912177e-01,2.028439264024812887e-19
2.020002500312539084e-01,1.234492341908822471e-19
2.021002625328165991e-01,8.072970863248712895e-20
2.022002750343793176e-01,7.270687870850556441e-20
2.023002875359420083e-01,9.550190504800155585e-20
2.024003000375046990e-01,1.451510958916781292e-19
2.025003125390673897e-01,2.176081045438848681e-19
2.026003250406300804e-01,3.087456213452787933e-19
2.027003375421927989e-01,4.143565430381592740e-19
2.028003500437554896e-01,5.301546025996992738e-19
2.029003625453181803e-01,6.517744427128002088e-19
2.030003750468808710e-01,7.747711160791079525e-19
2.031003875484435617e-01,8.957005326413504935e-19
2.032004000500062524e-01,1.015353014714888275e-18
2.033004125515689708e-01,1.135600031295058463e-18
2.034004250531316615e-01,1.258346822863518824e-18
2.035004375546943522e-01,1.385532927273979394e-18
2.036004500562570430e-01,1.519132574955378818e-18
2.037004625578197337e-01,1.661154949159410030e-18
2.038004750593824244e-01,1.813644306917146785e-18
2.039004875609451428e-01,1.978679956322889289e-18
2.040005000625078335e-01,2.158376085509448897e-18
2.041005125640705242e-01,2.079543529566396154e-14
2.042005250656332149e-01,2.259610207767675190e-14
2.043005375671959056e-01,2.439297496917577913e-14
2.044005500687585963e-01,2.610735594327498270e-14
2.045005625703212870e-01,2.765899046233999271e-14
2.046005750718840055e-01,2.896608974234610600e-14
2.047005875734466962e-01,2.994536158324476796e-14
2.048006000750093869e-01,3.051205000936112608e-14
2.049006125765720776e-01,3.057998395383178659e-14
2.050006250781347683e-01,3.006163522277106561e-14
2.051006375796974868e-01,2.890826962252986977e-14
2.052006500812601775e-01,2.722865679368984163e-14
2.053006625828228682e-01,2.517266256344972525e-14
2.054006750843855589e-01,2.289287503436806391e-14
2.055006875859482496e-01,2.054452951589598137e-14
2.056007000875109403e-01,1.828546663135266681e-14
2.057007125890736587e-01,1.627612459099672562e-14
2.058007250906363494e-01,1.467956661127586363e-14
2.059007375921990401e-01,1.366154446187346094e-14
2.060007500937617309e-01,1.339059911245950389e-14
2.061007625953244216e-01,1.398009425427189752e-14
2.062007750968871123e-01,1.531719325984635999e-14
2.063007875984498307e-01,1.723106267204894226e-14
2.064008001000125214e-01,1.954781522229540997e-14
2.065008126015752121e-01,2.209040691862430835e-14
2.066008251031379028e-01,2.467855846495427003e-14
2.067008376047005935e-01,2.712870176342974368e-14
2.068008501062632842e-01,2.925395226886912528e-14
2.069008626078260027e-01,3.086410797586002887e-14
2.070008751093886934e-01,3.176567586162830894e-14
2.071008876109513841e-01,3.181869189639806347e-14
2.072009001125140748e-01,3.110313730352076320e-14
2.073009126140767655e-01,2.975498372840514718e-14
2.074009251156394562e-01,2.791280144713750779e-14
2.075009376172021747e-01,2.571774828024350693e-14
2.076009501187648654e-01,2.331354176598410975e-14
2.077009626203275561e-01,2.084641414517168325e-14
2.078009751218902468e-01,1.846504972062362038e-14
2.079009876234529375e-01,1.632050416865720341e-14
2.080010001250156282e-01,1.456610536380947439e-14
2.081010126265783189e-01,1.332234925403900744e-14
2.082010251281410373e-01,1.257492710016606304e-14
2.083010376297037280e-01,1.227581650059705233e-14
2.084010501312664188e-01,1.237607663844423805e-14
2.085010626328291095e-01,1.282593449791029062e-14
2.086010751343918002e-01,1.357485519889504484e-14
2.087010876359545186e-01,1.457159601065942726e-14
2.088011001375172093e-01,1.576424362829624197e-14
2.089011126390799000e-01,1.710023431011506464e-14
2.090011251406425907e-01,1.852635649024006832e-14
2.091011376422052814e-01,1.999654218654812386e-14
2.092011501437679721e-01,2.149439251688885538e-14
2.093011626453306628e-01,2.301055475578026537e-14
2.094011751468933813e-01,2.453545553222548206e-14
2.095011876484560720e-01,2.605929387774560195e-14
2.096012001500187627e-01,2.757203682337710292e-14
2.097012126515814534e-01,2.906341762683165345e-14
2.098012251531441441e-01,3.052293671292162085e-14
2.099012376547068626e-01,3.193986541111184394e-14
2.100012501562695533e-01,3.330325256618704444e-14
2.101012626578322440e-01,3.459795861007215759e-14
2.102012751593949347e-01,3.579324538541535738e-14
2.103012876609576254e-01,3.685427645436337311e-14
2.104013001625203161e-01,3.774579016200892336e-14
2.105013126640830345e-01,3.843209810945934254e-14
2.106013251656457252e-01,3.887707820402727038e-14
2.107013376672084159e-01,3.904416216531363314e-14
2.108013501687711067e-01,3.889631736514474002e-14
2.109013626703337974e-01,3.839602287714642085e-14
2.110013751718964881e-01,3.750523967176369387e-14
2.111013876734592065e-01,3.621097384891518776e-14
2.112014001750218972e-01,3.459863229818283907e-14
2.113014126765845879e-01,3.277858469829009605e-14
2.114014251781472786e-01,3.086279653947922434e-14
2.115014376797099693e-01,2.896485756098882760e-14
2.116014501812726600e-01,2.720000197319777850e-14
2.117014626828353785e-01,2.568512025785111479e-14
2.118014751843980692e-01,2.453876233673816504e-14
2.119014876859607599e-01,2.388113189709011897e-14
2.120015001875234506e-01,2.383407150103161875e-14
2.121015126890861413e-01,2.447134251456712137e-14
2.122015251906488320e-01,2.567691847500431449e-14
2.123015376922115505e-01,2.728733678670166011e-14
2.124015501937742412e-01,2.913682429364967920e-14
2.125015626953369319e-01,3.105730747869282695e-14
2.126015751968996226e-01,3.287841091142325492e-14
2.127015876984623133e-01,3.442744360187611725e-14
2.128016002000250040e-01,3.552937298999778051e-14
2.129016127015877224e-01,3.600678629751102134e-14
2.130016252031504131e-01,3.567983921946973373e-14
2.131016377047131038e-01,3.442890485177361621e-14
2.132016502062757946e-01,3.237244440256991981e-14
2.133016627078384853e-01,2.968791662043758158e-14
2.134016752094011760e-01,2.655536351018516717e-14
2.135016877109638944e-01,2.315746612287893317e-14
2.136017002125265851e-01,1.967957615989186777e-14
2.137017127140892758e-01,1.630972279032300046e-14
2.138017252156519665e-01,1.323859407594761017e-14
2.139017377172146572e-01,1.065949239778937700e-14
2.140017502187773479e-01,8.768263013861062804e-15
2.141017627203400664e-01,7.709972186795511052e-15
2.142017752219027571e-01,7.428660472702808855e-15
2.143017877234654478e-01,7.819151155854862382e-15
2.144018002250281385e-01,8.774749470514501535e-15
2.145018127265908292e-01,1.018732228052776493e-14
2.146018252281535199e-01,1.194735560741030390e-14
2.147018377297162384e-01,1.394398950083446150e-14
2.148018502312789291e-01,1.606502975317032933e-14
2.149018627328416198e-01,1.819693595981320420e-14
2.150018752344043105e-01,2.022478559875509015e-14
2.151018877359670012e-01,2.206110962403309410e-14
2.152019002375296919e-01,2.372690211815733715e-14
2.153019127390924103e-01,2.526936353692350580e-14
2.154019252406551010e-01,2.673627367889837488e-14
2.155019377422177917e-01,2.817602154437983421e-14
2.156019502437804825e-01,2.963762940130365700e-14
2.157019627453431732e-01,3.117077092156431244e-14
2.158019752469058639e-01,3.282578324512168190e-14
2.159019877484685823e-01,3.465367282430311080e-14
2.160020002500312730e-01,3.670611467631873437e-14
2.161020127515939637e-01,3.900608689094855644e-14
2.162020252531566544e-01,4.146583745095405685e-14
2.163020377547193451e-01,4.397012139244089934e-14
2.164020502562820358e-01,4.640206029681897326e-14
2.165020627578447265e-01,4.864314452336551116e-14
2.166020752594074450e-01,5.057323870912356764e-14
2.167020877609701357e-01,5.207058824327173498e-14
2.168021002625328264e-01,5.301183093760808030e-14
2.169021127640955171e-01,5.327201169711168729e-14
2.170021252656582078e-01,5.272430152742180236e-14
2.171021377672209263e-01,5.129770720089871688e-14
2.172021502687836170e-01,4.913846198054067440e-14
2.173021627703463077e-01,4.644685841378155566e-14
2.174021752719089984e-01,4.342600378365256574e-14
2.175021877734716891e-01,4.028156020378328510e-14
2.176022002750343798e-01,3.722168848863654726e-14
2.177022127765970705e-01,3.445703633353083509e-14
2.178022252781597889e-01,3.220077144970582052e-14
2.179022377797224796e-01,3.066866030389176167e-14
2.180022502812851704e-01,3.007919228921416355e-14
2.181022627828478611e-01,3.057440679718866810e-14
2.182022752844105518e-01,3.200072114995540772e-14
2.183022877859732702e-01,3.413290232137548007e-14
2.184023002875359609e-01,3.674281276669547416e-14
2.185023127890986516e-01,3.959928379019984778e-14
2.186023252906613423e-01,4.246799793250156017e-14
2.187023377922240330e-01,4.511138092509098685e-14
2.188023502937867237e-01,4.728850378115922880e-14
2.189023627953494144e-01,4.875499561620136379e-14
2.190023752969121329e-01,4.926296879963173931e-14
2.191023877984748236e-01,4.863974430926200348e-14
2.192024003000375143e-01,4.700468300721114582e-14
2.193024128016002050e-01,4.454765045222074632e-14
2.194024253031628957e-01,4.146123862177040134e-14
2.195024378047256142e-01,3.794083027597356796e-14
2.196024503062883049e-01,3.418466080622194738e-14
2.197024628078509956e-01,3.039387717064928112e-14
2.198024753094136863e-01,2.677259349368250763e-14
2.199024878109763770e-01,2.352794288001867682e-14
2.200025003125390677e-01,1.625143203064025645e-10
2.201025128141017861e-01,1.476786815493940359e-10
2.202025253156644768e-01,1.384953079356204997e-10
2.203025378172271675e-01,1.344394244862873654e-10
2.204025503187898583e-01,1.349786082175388914e-10
2.205025628203525490e-01,1.395732903474452368e-10
2.206025753219152397e-01,1.476770397318914780e-10
2.207025878234779581e-01,1.587366231752067879e-10
2.208026003250406488e-01,1.721918380111362194e-10
2.209026128266033395e-01,1.874751119445420418e-10
2.210026253281660302e-01,2.040108663178250711e-10
2.211026378297287209e-01,2.213189132125440881e-10
2.212026503312914116e-01,2.392980089390193901e-10
2.213026628328541301e-01,2.579342823460877523e-10
2.214026753344168208e-01,2.772126928460131319e-10
2.215026878359795115e-01,2.971168785183312998e-10
2.216027003375422022e-01,3.176290077063417467e-10
2.217027128391048929e-01,3.387296344134449922e-10
2.218027253406675836e-01,3.603975578802582294e-10
2.219027378422303021e-01,3.826096867968004114e-10
2.220027503437929928e-01,4.053409062191371134e-10
2.221027628453556835e-01,4.284350889168144505e-10
2.222027753469183742e-01,4.512538174386147353e-10
2.223027878484810649e-01,4.730325951912854641e-10
2.224028003500437556e-01,4.929882975289565799e-10
2.225028128516064740e-01,5.103183750551029991e-10
2.226028253531691647e-01,5.241999113629549268e-10
2.227028378547318554e-01,5.337885309510186917e-10
2.228028503562945462e-01,5.382171527002187680e-10
2.229028628578572369e-01,5.365945839001094771e-10
2.230028753594199276e-01,5.280039596444717730e-10
2.231028878609826460e-01,5.119753081851096100e-10
2.232029003625453367e-01,4.897753886270706177e-10
2.233029128641080274e-01,4.631083660806672908e-10
2.234029253656707181e-01,4.337245477949691627e-10
2.235029378672334088e-01,4.034232099505657927e-10
2.236029503687960995e-01,3.740557331717577317e-10
2.237029628703588180e-01,3.475290579240006098e-10
2.238029753719215087e-01,3.258094720161782984e-10
2.239029878734841994e-01,3.109267435706162441e-10
2.240030003750468901e-01,3.049785953026974521e-10
2.241030128766095808e-01,3.093702238619293519e-10
2.242030253781722715e-01,3.227372174417415415e-10
2.243030378797349900e-01,3.430232664360813278e-10
2.244030503812976807e-01,3.681039464466376619e-10
2.245030628828603714e-01,3.957816407729263199e-10
2.246030753844230621e-01,4.237788336259933313e-10
2.247030878859857528e-01,4.497278911826735437e-10
2.248031003875484435e-01,4.711709923823183206e-10
2.249031128891111619e-01,4.855589093530904052e-10
2.250031253906738526e-01,4.902498541160120485e-10
