wavelength ,transmission
200,87.42839
201,87.77782
202,88.0833
203,88.34447
204,88.63473
205,88.90193
206,89.09737
207,89.33685
208,89.52925
209,89.62326
210,89.78714
211,89.90145
212,90.01561
213,90.11251
214,90.20165
215,90.2305
216,90.30229
217,90.35076
218,90.35607
219,90.40095
220,90.41387
221,90.38098
222,90.47105
223,90.48544
224,90.48172
225,90.5406
226,90.5586
227,90.52458
228,90.57682
229,90.6169
230,90.6068
231,90.71046
232,90.72859
233,90.75572
234,90.83079
235,90.91761
236,90.96413
237,91.06312
238,91.15471
239,91.17458
240,91.28686
241,91.36544
242,91.41145
243,91.4935
244,91.57248
245,91.58959
246,91.68351
247,91.77863
248,91.77577
249,91.83112
250,91.90164
251,91.87905
252,91.98394
253,91.98422
254,91.99367
255,92.01606
256,92.07748
257,92.0553
258,92.08649
259,92.12882
260,92.09136
261,92.15847
262,92.17665
263,92.15989
264,92.20548
265,92.21954
266,92.20027
267,92.25838
268,92.28366
269,92.2507
270,92.31917
271,92.32267
272,92.29323
273,92.35812
274,92.37256
275,92.32782
276,92.39217
277,92.42233
278,92.39715
279,92.44789
280,92.45639
281,92.46478
282,92.47307
283,92.48125
284,92.48933
285,92.4973
286,92.50518
287,92.51296
288,92.52064
289,92.52823
290,92.53572
291,92.54312
292,92.55044
293,92.55766
294,92.5648
295,92.57185
296,92.57882
297,92.58571
298,92.59251
299,92.59923
300,92.60588
301,92.61245
302,92.61894
303,92.62536
304,92.6317
305,92.63797
306,92.64417
307,92.6503
308,92.65636
309,92.66236
310,92.66828
311,92.67414
312,92.67994
313,92.68567
314,92.69134
315,92.69694
316,92.70249
317,92.70797
318,92.7134
319,92.71877
320,92.72408
321,92.72933
322,92.73453
323,92.73967
324,92.74476
325,92.7498
326,92.75478
327,92.75971
328,92.76459
329,92.76942
330,92.7742
331,92.77893
332,92.78362
333,92.78825
334,92.79284
335,92.79739
336,92.80188
337,92.80634
338,92.81074
339,92.81511
340,92.81943
341,92.82371
342,92.82795
