wavelength,transmission
204.1,88.3755
207.08,88.9811
216.56,88.7705
227.56,89.1261
241.5,89.6396
256.9,90.1926
279.59,90.5087
300.11,91.0223
309.62,91.1804
327.17,91.1278
336.67,91.0752
363.73,91.1676
371.77,91.2203
384.94,91.3257
401.77,91.4443
422.98,91.6156
431.04,91.7473
451.5,91.6027
460.26,91.4711
485.85,91.4976
494.62,91.4977
512.19,91.6821
518.04,91.7611
524.63,91.8797
538.54,92.0378
545.86,92.1958
574.38,92.1828
583.88,92.1697
602.89,92.1435
607.99,91.9856
612.36,91.854
618.92,91.5381
624.75,91.3143
633.49,91.0116
639.33,90.8668
653.19,90.472
664.14,90.3931
683.87,90.2089
688.97,90.0641
699.18,89.7746
706.48,89.6035
716.68,89.2086
720.31,88.9585
729.06,88.6031
735.62,88.3925
744.37,88.103
748.01,87.9582
753.12,87.9187
759.67,87.537
764.77,87.3132
773.51,86.9973
780.81,86.7736
790.28,86.4709
802.69,86.1945
818.77,86.142
826.1,86.3922
837.82,86.6424
840.76,86.8399
852.49,87.2086
854.7,87.3666
864.97,87.7747
870.84,88.0118
878.18,88.3541
883.31,88.5253
892.86,88.9598
903.87,89.5128
909.74,89.7103
919.3,90.316
927.38,90.7768
939.13,91.3824
950.14,91.9223
968.47,92.449
989.71,92.9231
1011.69,93.4499
