,Unnamed: 0,Wavelength (nm),% Transmission,% Transmission.1
,,2600,84.75854100000001,86.011865
,,2599,84.75907600000001,85.992782
,,2598,84.783873,86.001558
,,2597,84.783822,86.019023
,Product Raw Data,2596,84.81246800000001,86.055959
,Temperature-Balancing Filters,2595,84.815228,86.03716800000001
,,2594,84.815391,86.010109
FGT Filters,Item #,2593,84.827295,86.045232
,DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,2592,84.85846000000001,86.044984
,,2591,84.83583,85.9948
,,2590,84.848149,86.021207
,,2589,84.82933200000001,86.04014600000001
,,2588,84.80149200000001,86.039665
,,2587,84.844119,86.06018200000001
,"This data may be used in publications. However, please cite Thorlabs as the source.",2586,84.821139,86.03451700000001
,,2585,84.82442400000001,86.03756700000001
,,2584,84.846152,86.01468100000001
,Additional Information:,2583,84.85688,86.01052200000001
,,2582,84.846249,86.035714
,,2581,84.83356500000001,86.04093800000001
,,2580,84.81448900000001,86.024074
,,2579,84.840209,86.006066
,,2578,84.842622,86.01385900000001
,,2577,84.84833900000001,86.01734900000001
,,2576,84.84387600000001,85.98893000000001
,,2575,84.864812,86.004275
,,2574,84.83940100000001,86.022773
,,2573,84.840033,86.02927000000001
,,2572,84.847447,85.990313
,,2571,84.85477,85.984868
,,2570,84.882143,85.991873
,,2569,84.90940900000001,85.95076
,,2568,84.896344,85.96971400000001
,,2567,84.897266,85.99167200000001
,,2566,84.924774,85.992947
,,2565,84.915287,86.02528600000001
,,2564,84.910432,85.98575600000001
,,2563,84.905242,85.990628
,,2562,84.922774,85.99869100000001
,,2561,84.907757,85.980379
,,2560,84.920798,85.980305
,,2559,84.898285,85.990695
,,2558,84.900788,85.96541900000001
,,2557,84.883414,85.955194
,,2556,84.88335500000001,85.970025
,,2555,84.890236,85.957885
,,2554,84.89886200000001,85.980647
,,2553,84.898345,85.967922
,,2552,84.908456,85.96954600000001
,,2551,84.94138000000001,85.972886
,,2550,84.94177900000001,86.00470800000001
,,2549,84.942251,85.98472000000001
,,2548,84.987362,85.972858
,,2547,84.95891400000001,85.97060400000001
,,2546,84.95414600000001,85.95966
,,2545,84.92659300000001,85.952543
,,2544,84.921598,85.914658
,,2543,84.9649,85.939845
,,2542,84.939442,85.963284
,,2541,84.941349,85.96255000000001
,,2540,84.92533200000001,85.930249
,,2539,84.938516,85.928436
,,2538,84.95341400000001,85.928853
,,2537,84.970319,85.924746
,,2536,84.98086500000001,85.95918300000001
,,2535,84.96601100000001,85.934449
,,2534,84.96507700000001,85.922798
,,2533,84.993734,85.907628
,,2532,85.00017000000001,85.892683
,,2531,84.976284,85.92609800000001
,,2530,84.978037,85.894338
,,2529,84.98088,85.891333
,,2528,84.973439,85.883053
,,2527,84.971833,85.894283
,,2526,84.97928900000001,85.925673
,,2525,84.981452,85.902444
,,2524,84.97955800000001,85.90107
,,2523,84.967854,85.88842600000001
,,2522,84.971607,85.88302900000001
,,2521,85.00645,85.874852
,,2520,85.01578,85.893369
,,2519,85.007278,85.884825
,,2518,84.986631,85.86243400000001
,,2517,84.981311,85.87085900000001
,,2516,84.99919,85.86456100000001
,,2515,85.003414,85.873467
,,2514,84.99239800000001,85.88664800000001
,,2513,84.99644500000001,85.892626
,,2512,85.00819,85.89035
,,2511,85.007875,85.87459600000001
,,2510,85.00896800000001,85.86853
,,2509,85.00339000000001,85.856493
,,2508,85.00948000000001,85.85391200000001
,,2507,85.01028000000001,85.88677200000001
,,2506,85.014662,85.85483
,,2505,85.011351,85.852072
,,2504,85.019557,85.84102100000001
,,2503,85.02281500000001,85.826463
,,2502,84.99177,85.845991
,,2501,84.982625,85.849162
,,2500,85.006707,85.834828
,,2499,85.031445,85.82497000000001
,,2498,85.010821,85.81902000000001
,,2497,85.017302,85.82939400000001
,,2496,85.052678,85.830126
,,2495,85.06103300000001,85.836517
,,2494,85.053787,85.829801
,,2493,85.037277,85.820068
,,2492,85.027254,85.796082
,,2491,85.037149,85.788105
,,2490,85.021484,85.79997300000001
,,2489,85.01824400000001,85.81469100000001
,,2488,85.033986,85.804163
,,2487,85.047852,85.79185000000001
,,2486,85.03900200000001,85.79846
,,2485,85.034502,85.8007
,,2484,85.039777,85.79043700000001
,,2483,85.04758100000001,85.797735
,,2482,85.057855,85.791043
,,2481,85.053916,85.797157
,,2480,85.05260200000001,85.796774
,,2479,85.052738,85.787278
,,2478,85.047236,85.782138
,,2477,85.04666200000001,85.76283000000001
,,2476,85.06855,85.76226100000001
,,2475,85.05584300000001,85.76877900000001
,,2474,85.055655,85.77428900000001
,,2473,85.048364,85.78076300000001
,,2472,85.040906,85.759145
,,2471,85.05019200000001,85.739293
,,2470,85.065754,85.74434500000001
,,2469,85.08031600000001,85.73458600000001
,,2468,85.06322700000001,85.726642
,,2467,85.044182,85.73663400000001
,,2466,85.06230500000001,85.735224
,,2465,85.082814,85.723749
,,2464,85.079435,85.71191900000001
,,2463,85.070206,85.717138
,,2462,85.08037,85.731187
,,2461,85.08757100000001,85.72639600000001
,,2460,85.08417100000001,85.71726100000001
,,2459,85.07978,85.70272
,,2458,85.08317000000001,85.697947
,,2457,85.07693400000001,85.71383300000001
,,2456,85.07899,85.72194400000001
,,2455,85.101578,85.723229
,,2454,85.089674,85.70787200000001
,,2453,85.101786,85.69970400000001
,,2452,85.137017,85.686204
,,2451,85.116589,85.67148300000001
,,2450,85.095174,85.66763300000001
,,2449,85.113195,85.664096
,,2448,85.11911900000001,85.66183600000001
,,2447,85.101651,85.66167700000001
,,2446,85.088812,85.673247
,,2445,85.09436500000001,85.66798800000001
,,2444,85.102333,85.660865
,,2443,85.10755900000001,85.664636
,,2442,85.112139,85.67018800000001
,,2441,85.121592,85.66221900000001
,,2440,85.12526700000001,85.64618
,,2439,85.133166,85.63659200000001
,,2438,85.1444,85.635434
,,2437,85.133713,85.617334
,,2436,85.128923,85.614996
,,2435,85.124387,85.611666
,,2434,85.11773500000001,85.599621
,,2433,85.113265,85.612094
,,2432,85.120523,85.613011
,,2431,85.13217,85.606634
,,2430,85.123975,85.598957
,,2429,85.127589,85.59679
,,2428,85.131269,85.60652900000001
,,2427,85.12201900000001,85.604725
,,2426,85.13272900000001,85.589267
,,2425,85.147765,85.587691
,,2424,85.146489,85.58927800000001
,,2423,85.149313,85.56964500000001
,,2422,85.159164,85.55914700000001
,,2421,85.149529,85.57160800000001
,,2420,85.128218,85.58072700000001
,,2419,85.119701,85.580591
,,2418,85.12728700000001,85.569877
,,2417,85.13892700000001,85.56523
,,2416,85.14224700000001,85.570515
,,2415,85.140479,85.570902
,,2414,85.14507300000001,85.54800300000001
,,2413,85.143061,85.533423
,,2412,85.13215500000001,85.542226
,,2411,85.132458,85.534698
,,2410,85.136678,85.516264
,,2409,85.133364,85.49991700000001
,,2408,85.14585000000001,85.49176700000001
,,2407,85.140501,85.49210400000001
,,2406,85.114084,85.477396
,,2405,85.11248300000001,85.47202200000001
,,2404,85.11802800000001,85.481958
,,2403,85.120823,85.476285
,,2402,85.124819,85.46015200000001
,,2401,85.13745200000001,85.44467
,,2400,85.134561,85.432855
,,2399,85.114641,85.450974
,,2398,85.103493,85.46398
,,2397,85.10319700000001,85.442874
,,2396,85.107241,85.42917700000001
,,2395,85.098608,85.430355
,,2394,85.095596,85.43172
,,2393,85.10033,85.41188100000001
,,2392,85.098076,85.395104
,,2391,85.09808500000001,85.38196
,,2390,85.09376300000001,85.377695
,,2389,85.093889,85.379377
,,2388,85.09024600000001,85.36360900000001
,,2387,85.08100300000001,85.353677
,,2386,85.079346,85.350631
,,2385,85.085054,85.34312200000001
,,2384,85.073549,85.316862
,,2383,85.055923,85.319604
,,2382,85.04734400000001,85.324448
,,2381,85.037734,85.320125
,,2380,85.031896,85.318633
,,2379,85.032273,85.30721100000001
,,2378,85.037092,85.278964
,,2377,85.04778900000001,85.26202500000001
,,2376,85.05059200000001,85.255881
,,2375,85.039429,85.26335
,,2374,85.03685300000001,85.271465
,,2373,85.02574700000001,85.266169
,,2372,85.005205,85.245191
,,2371,84.9914,85.240116
,,2370,84.99215500000001,85.217117
,,2369,85.000461,85.17304100000001
,,2368,84.986435,85.158742
,,2367,84.98157400000001,85.159712
,,2366,84.990111,85.15279000000001
,,2365,84.982658,85.142633
,,2364,84.97647900000001,85.144819
,,2363,84.96288700000001,85.158851
,,2362,84.960468,85.143685
,,2361,84.963215,85.120213
,,2360,84.959979,85.11964900000001
,,2359,84.966937,85.107077
,,2358,84.955712,85.112218
,,2357,84.944381,85.11865200000001
,,2356,84.935174,85.08958700000001
,,2355,84.926347,85.075117
,,2354,84.92447700000001,85.07953400000001
,,2353,84.907185,85.07028600000001
,,2352,84.917749,85.055063
,,2351,84.92668300000001,85.040385
,,2350,84.92435900000001,85.06154000000001
,,2349,84.91659200000001,85.038849
,,2348,84.878721,85.005858
,,2347,84.864615,84.995119
,,2346,84.85954500000001,84.978797
,,2345,84.847284,84.96817
,,2344,84.856443,84.95953700000001
,,2343,84.838632,84.97097500000001
,,2342,84.827405,84.95760800000001
,,2341,84.81667200000001,84.94779000000001
,,2340,84.81457400000001,84.93079900000001
,,2339,84.80329900000001,84.92380100000001
,,2338,84.79634700000001,84.914507
,,2337,84.798057,84.89652500000001
,,2336,84.809641,84.875506
,,2335,84.79740000000001,84.901959
,,2334,84.78657000000001,84.884707
,,2333,84.771653,84.86843400000001
,,2332,84.76314,84.85393900000001
,,2331,84.75133600000001,84.829561
,,2330,84.76385300000001,84.817959
,,2329,84.761111,84.80064200000001
,,2328,84.744245,84.777144
,,2327,84.734772,84.78859200000001
,,2326,84.7266,84.780158
,,2325,84.740487,84.774505
,,2324,84.702484,84.761632
,,2323,84.69496500000001,84.74161600000001
,,2322,84.689986,84.73633500000001
,,2321,84.67652100000001,84.715714
,,2320,84.66976600000001,84.693314
,,2319,84.65993900000001,84.693348
,,2318,84.672661,84.691095
,,2317,84.660148,84.68835200000001
,,2316,84.643575,84.666227
,,2315,84.62966300000001,84.656666
,,2314,84.62655000000001,84.640116
,,2313,84.602514,84.60683900000001
,,2312,84.58235400000001,84.602973
,,2311,84.574476,84.58846100000001
,,2310,84.57911,84.58548300000001
,,2309,84.560214,84.55156600000001
,,2308,84.56579,84.57154200000001
,,2307,84.573891,84.53704
,,2306,84.562824,84.51488
,,2305,84.538065,84.51094400000001
,,2304,84.537225,84.499533
,,2303,84.51168100000001,84.46579700000001
,,2302,84.49695100000001,84.46491900000001
,,2301,84.500567,84.45402100000001
,,2300,84.49686700000001,84.452758
,,2299,84.465693,84.431247
,,2298,84.439688,84.41674400000001
,,2297,84.422764,84.40083200000001
,,2296,84.438241,84.375466
,,2295,84.415199,84.373405
,,2294,84.40759,84.37954400000001
,,2293,84.406192,84.365054
,,2292,84.388779,84.355259
,,2291,84.367372,84.343044
,,2290,84.368667,84.31847300000001
,,2289,84.360703,84.29160200000001
