wavelength,transmission
203.49,21.042
207.9,26.4
213.14,31.758
216.54,39.337
221.31,49.213
225.55,59.776
228.09,67.278
229.77,72.388
234.39,77.299
239.82,79.036
243.98,73.629
248.14,66.188
251.04,58.498
256.02,50.76
259.76,43.17
268.92,32.951
281.02,28.586
291.06,31.464
298.59,34.144
308.2,36.476
336.63,40.148
365.05,43.325
375.09,48.484
383.88,53.595
393.44,58.432
402.74,63.236
406.74,68.276
416.04,73.395
429.99,78.357
452.56,84.973
479.76,89.621
510.29,93.245
549.42,95.215
591.87,94.903
629.66,92.385
644.91,90.496
662.15,89.552
674.75,87.82
691.32,85.773
702.59,83.884
715.18,81.601
724.46,79.082
737.72,77.665
747,75.303
762.24,71.052
770.19,68.217
782.78,66.485
788.74,64.281
794.71,62.312
811.95,60.975
815.26,59.4
817.24,56.25
821.21,53.494
836.47,54.676
841.76,51.999
849.05,49.164
853.69,47.747
854.36,49.873
863.65,51.764
866.95,48.85
869.59,43.732
869.6,46.252
876.21,41.212
890.13,36.882
900.07,34.205
919.95,29.875
926.09,27.563
933.98,25.376
949.77,24.439
962.41,25.44
973.72,23.065
980.02,20.284
988.44,17.66
999.75,15.692
1015.53,11.38
1023.82,8.833
1033,6.354
1040.51,4.171
1059.31,3.18
1076.02,2.735
1091.89,1.694
1098.58,0.702
