wavelength,transmission
301.51,5.887
317.48,9.476
332.32,13.066
346.01,16.827
356.29,20.759
366.56,24.69
376.83,28.793
385.97,32.895
395.1,36.827
404.23,40.929
413.37,45.032
422.5,48.964
431.63,53.066
439.62,57.169
446.47,60.246
455.61,64.348
465.88,68.28
479.57,72.041
493.27,75.801
513.8,78.707
537.76,80.929
565.14,82.297
592.51,81.784
619.88,81.1
646.11,79.562
668.91,76.998
688.29,73.921
707.68,70.844
723.64,67.425
740.74,64.006
755.56,60.417
770.38,56.656
785.19,53.066
798.87,49.306
812.55,45.545
827.37,41.955
841.05,38.194
854.73,34.434
868.41,30.673
883.22,27.083
898.04,23.323
912.86,19.733
927.68,16.143
945.92,12.724
964.17,9.647
984.69,6.571
